#separator:tab
#html:true
#guid column:1
#tags column:3
"B-N|kF-#aW"	(1) -(r)on; (2) -or	agental suffix (suf)	
rBj5mcYmR)	(1) ahamar; (2) sammar	*neighbor (n)	
C8c+R=5h&7	(1) amarth; (2) ammarth	fate, doom (n)	
EwK%v8*b}i	(1) and; (2) ann (adj)	long (adj)	
bSS7d&A/]d	(1) ann; (2) anw	gift (n)	
t1N8v=t$S=	(1) anna-; (2) hanna- (Emotion)	to thank (vb)	
"y_Cpc#k#f="	(1) annad; (2) hannad	thanks (n)	
J>@u5Io6&{	(1) aphad-; (2) hil-	to follow (vb)	
"PwM=j$#//n"	(1) aphadon; (2) echil	follower (n)	
nIFoSUazWd	(1) aphed-; (2) dambed-	to answer (vb)	
s^:k_4[i^f	(1) arahadhw; (2) archadhu; (3) archaf	throne, (lit.) high seat (n)	
c=kEZ5=UvW	(1) aranarth; (2) arnad	*kingdom (n)	
Frdir8iBX1	(1) arben; (2) rohir	knight (n)	
Jw>dgUkd{_	(1) ardhon; (2) gardhon	province (n)	
E&x7I?G/Sq	(1) astor; (2) astorad	loyalty (n)	
NEmE:}1X@|	(1) athal; (2) othol	stranger, guest (n)	
ILk>Flxp2Z	(1) athragardh; (2) athragared	interaction (n)	
"t7NrC.G#Lv"	(1) balaen; (2) bâl	divine (adj)	
w5q9DE~hu;	(1) balas; (2) bâl	divinity, divine power (n)	
p~sOq,ncc.	(1) bam; (2) maf; (3) maw	sheep (n)	
"D#.BvVaYwH"	(1) banath; (2) beinas	beauty (n)	
O?`0{i%.SA	(1) brand; (2) brann (adj)	towering, tall and massive, [N.] high; lofty, noble, fine (adj)	
obiE)YWKih	(1) caen; (2) pae; (3) paean	ten (cardinal)	
cL:LKFLnY|	(1) caenui; (2) paenui	tenth (ordinal)	
NnW]/wA`.8	(1) cambaen; (2) caphaen	forty (cardinal)	
IPe:nR|E8>	(1) camm; (2) maw	hand (n)	
e,ZdB/%p%S	(1) canab; (2) paegan	fourteen (cardinal)	
G.yQ{*CdA)	(1) canhui; (2) canthui; (3) cantui	fourth (ordinal)	
I8vY,54r-2	(1) carn; (2) carth	deed (n)	
u~pEK|M&tt	(1) coll; (2) naw (adj)	hollow (adj)	
e.UfRCXelF	(1) colron; (2) cyll	bearer (n)	
fz_HwF1-dF	(1) corod; (2) rind; (3) ringorn	circle (n)	
K}(P>]6@2v	(1) cothren; (2) cuid	hostile (adj)	
G{gkCa(H~^	(1) dadwen-; (2) dammen-	to return, go back (vb)	
n27,G,)CbX	(1) dael; (2) del; (3) gorog; (4) gorth	horror (n)	
s+]yWifOJ2	(1) dail; (2) deil	beautiful, fine, delicate, lovely (adj)	
EM;_8HL.AH	(1) dond; (2) donn	fist (n)	
"H*.V_2Ud{#"	(1) duwath; (2) dúath	night shadow, dark/black shadow, [N.] night-shade (n)	
HuX3Xf6pdO	(1) díhena-; (2) gohena-	*to forgive (vb)	
D,Pr}}I/<^	(1) dínen; (2) tínen	silent (adj)	
d$BVf9[9xh	(1) echuira-; (2) echuiru-	to come to life (vb)	
Ag68Md_z.6	(1) edhelvein; (2) vanedhel; (3) wanedhel	elven fair (adj)	
u&o?p3DRYs	(1) edwen; (2) tadui	second (ordinal)	
"xy2<oajq#T"	(1) egelren; (2) elegren	different, strange (adj)	
iI5=gO&tV8	(1) egol; (2) elch	else, something else (adv n)	
I:-T=IJwVD	(1) eitha-; (2) ethia-	to ease, assist (vb)	
d]?</8Xtpa	(1) elen; (2) gill; (3) êl	star (n)	
w?jtCSnuFm	(1) enaid; (2) enaidh	central, middle (adj)	
PtxrEOEry:	(1) enchui; (2) encui; (3) enecthui	sixth (ordinal)	
LK5,Iw%M-l	(1) enebaen; (2) enephaen	sixty (cardinal)	
x~$,sUs731	(1) enem; (2) eneph; (3) paeneg	sixteen (cardinal)	
iAWw*.3$9i	(1) ent; (2) est; (3) idi(r); (4) ith	they, 3rd pl. pronoun (pron)	
NEb+<X0mET	(1) eriab; (2) thindrostir	badger (n)	
s>nn+Kh?EI	(1) est; (2) eth; (3) is	he, she, it, 3rd sg. pronoun (pron)	
Nu)-`7xz4a	(1) esten(t); (2) thenn; (3) thent	short (adj)	
"O*N$Ytb#<C"	(1) fanha-; (2) fanna-	to veil, cloak (vb)	
fj>Fl6|e/2	(1) faul; (2) faus(t)	thirst (n)	
iZatiqhc}B	(1) for; (2) fuir	north (adj)	
iw>@L!C=Pr	(1) glind; (2) glinn	*song (n)	
"o}b`#Y1k3Q"	(1) golas; (2) golass	foliage, collection of leaves (n)	
Eyz9@V9F|P	(1) graug; (2) raug	demon, powerful hostile and terrible creature (n)	
PXO]MNWR3T	(1) grond; (2) gronn	weighty, ponderous (adj)	
O.q%C?K5]|	(1) gwabeth; (2) pethas	sentence, phrase (n)	
"F|ft[4])#_"	(1) gwachonas; (2) gwadoras	union, association, fellowship, society (n)	
Rj8|=`>mx<	(1) gwe; (2) pe	we (inclusive) (pron)	
w%sUa%q%(l	(1) gwem; (2) leweg	worm (n)	
vrBl~:AwOc	(1) gwen; (2) pen	us (inclusive) (pron)	
IL`<>L_mdC	(1) gwâw; (2) hwaewar; (3) hwâ; (4) wá(wa)	breeze[?] (n)	
jt1}^Oyc}b	(1) gwîn; (2) pîn (pron)	our (inclusive) (pron)	
taIV+1k[dU	(1) hadhma-; (2) hadhwa-	to seat (vb)	
f=d>8,rK`|	(1) hanar; (2) hawn	brother (n)	
B^4wHm,YwK	(1) hav-; (2) her-	to pray (vb)	
yTsG/M8W,+	(1) heruin; (2) heryn	lady (n)	
g;o1NJ+eQ@	(1) him; (2) oel (adj)	cool (adj)	
FU3nYH=SAp	(1) hin; (2) hí; (3) sí(r); (4) thî	now (adv)	
BvAT&H?v51	(1) hithren; (2) mithren; (3) thinn	grey (adj)	
wQIEn$nVY]	(1) honeg; (2) honig	brother (diminutive) (n)	
dp+DH~ga=(	(1) hŷl; (2) porochuil	hen (n)	
BQ5.=gPmoN	(1) ias; (2) mas	where (adv)	
Idb=rTehuX	(1) iath; (2) iâd; (3) iâth (Social Relations)	fence (n)	
ES_r`I*}}-	(1) inga-; (2) pista-	to suppose (vb)	
M$=;9}mM^y	(1) inib; (2) yneb	*twelve (cardinal)	
H&A20o;!-5	(1) laich; (2) leich	sweet (adj)	
Ny,p)Xvx27	(1) laus; (2) loch	ringlet (n)	
wTCrllRs7d	(1) lebdas; (2) tas	index finger (n)	
MqvB,4~*lr	(1) lebed; (2) naub	thumb (n)	
ocDjP5+xLD	(1) lebem; (2) paeleben	fifteen (cardinal)	
j-LBNZjrd?	(1) lebig; (2) niged	little finger (n)	
K:*Yu<;,(V	(1) ledil; (2) padol	key (n)	
jch>~<~Nkw	(1) lefnui; (2) lemmui; (3) levnui	fifth (ordinal)	
Q,%&7-m<2`	(1) lhae-; (2) lhassa-	to hear (vb)	
>pqi|{OOC	(1) lhingril; (2) ungol	spider (n)	
yFZADe>XVf	(1) los; (2) loss	snow (n)	
Fj~J[(<NYq	(1) maew; (2) mŷl	gull (n)	
wQrauKKp07	(1) mann; (2) math	food (n)	
z6K<-1c>*+	(1) mein; (2) minui	first (ordinal)	
"Jn{p#F0Atb"	(1) melethor; (2) seron	lover (n)	
fcmQmwIZSb	(1) mib-; (2) mítha-	to kiss (vb)	
iNBz2?be5w	(1) miru; (2) ŷ	wine (n)	
l)fFAm_&y[	(1) nail; (2) nelui	third (ordinal)	
D=VU-z7,@_	(1) nalla; (2) nallan; (3) nallar; (4) nalloth	call (n)	
NFt/r4q)mn	(1) nederph; (2) paeneder	nineteen (cardinal)	
qJZ,1l{>_4	(1) nedia-; (2) nod-	to count (vb)	
dr8.q~<AUP	(1) nedrui; (2) nerthui	ninth (ordinal)	
m1H+tgST+H	(1) neleb; (2) paenel	thirteen (cardinal)	
wUy~.cgu/b	(1) neledh; (2) nêl	three (cardinal)	
dO`Dm:1/RE	(1) nethel; (2) nîth	sister (n)	
nJ1LVy/<m4	(1) nivol; (2) nîf	phantom, a seeming (n)	
uqnWdjv!xm	(1) norra-; (2) nuru-	to growl, grumble (vb)	
cmW]2UHj6&	(1) nuir; (2) orvedui	yesterday (n)	
Cli8w(m!1x	(1) ochui; (2) odothui; (3) othui	seventh (ordinal)	
s&xC;&!H&l	(1) odo; (2) odog	seven (cardinal)	
l@r::dT]>r	(1) odob; (2) odoph; (3) paenodog	seventeen (cardinal)	
z8?|!fYGg>	(1) odobaen; (2) odophaen	seventy (cardinal)	
OwpN66%ndT	(1) orest; (2) oreth	hour (n)	
j0fM28|cbu	(1) paedolodh; (2) tolob	eighteen (cardinal)	
IOg!,p(,h=	(1) pechof; (2) pegof	squirrel (n)	
m]25^)V.>~	(1) pel-; (2) pelu-	to fence, enclose (vb)	
zs;)1>/.x|	(1) per-; (2) perna-	to turn (vb)	
kHg]02oj1C	(1) pim; (2) pimp	tail (n)	
Dd5MA-]+!e	(1) rach; (2) rachas (Emotion)	danger (n)	
c^9)pjyQ@3	(1) rachathren; (2) rachui	dangerous (adj)	
y?fQnJa[%d	(1) raef; (2) raew (Motion and Transportation)	net (n)	
GwQKNrA`4K	(1) raegdan; (2) rhugaron	sinner (n)	
xVtD:q]~LK	(1) raen; (2) rhaen	crooked (adj)	
fRc,+}:V92	(1) raitha-; (2) reitha-; (3) rig-; (4) ritha-; (5) rítha- (Physical Acts and Materials)	to try, strive (vb)	
dg>O<{yxQp	(1) rhaed; (2) rhîd	peculiar hue, (special) fashion (n)	
jT9%s%p[sS	(1) rhosc; (2) rhosg	russet, [N.] brown (adj)	
reg~uw<r*d	(1) rhîf; (2) rîw	brink, brim (n)	
z]^R0sq-t{	(1) rochben; (2) rochon	rider (n)	
D7{5(a47ii	(1) rosg; (2) rusc	fox (n)	
DH&hN-<[aR	(1) rust; (2) urun	copper (n)	
yq(6v3?rP$	(1) sa; (2) san; (3) taw (pron)	that (pron)	
I,8!9$AgX|	(1) sadar; (2) sadron	trusty follower, loyal companion (n)	
Q;K){Rs4P.	(1) se; (2) sen; (3) then	this (pron)	
miwFP*![x/	(1) suithlas; (2) yllas	tea, *(lit.) drink of leaf (n)	
v>ow~14Nf8	(1) thain; (2) theinas	law, rule (n)	
v0@p@X*e/U	(1) thorn; (2) thoron	eagle (n)	
l2LG!I;h@:	(1) tin; (2) tîn (n)	spark, sparkle, twinkle of stars (n)	
qP_[zc_/qC	(1) tolch; (2) toleg	*sticker-up (n)	
pO8E[Y3gmM	(1) tolhui; (2) tollui; (3) tolothen; (4) tolthui	eighth (ordinal)	
OVim8HJT7x	(1) tolod; (2) tolodh	eight (cardinal)	
"m0?uHr#yAs"	(1) tuila-; (2) tuilu-	to bud, open (of flowers and leaves) (vb)	
IB^&e][uqb	(1) úlan(n); (2) úland	narrow, (lit.) not broad (adj)	
Gvg%@(MCqZ	(a)moth	fen, marsh (n)	
C>QWrMoh*O	(h)law	flood (n)	
Q2)($*;@Zz	-ad (Grammar)	(1) dual; (2) noun-suffix (suf)	
d<-v?5JZe$	-ad	gerund (suf)	
l?dV{1MnpE	-ant	3rd person past tense (suf)	
"GMFop`u4#/"	-a	[old] genitive suffix (suf)	
RhmX}041g?	-dor	*king, lord (suf)	
l/1dvkP1}V	-ed	(1) 3rd person singular possessive suffix; (2) gerund (suf)	
"b#mUGGFHSS"	-egir	2nd person plural familiar possessive suffix (suf)	
EbPO9D5Z!4	-eg	(1) 2nd person singular familiar possessive suffix; (2) diminutive/singular ending (suf)	
GQ4CnEIrl.	-elir	2nd person plural polite possessive suffix (suf)	
f[f@N(]US&	-el	2nd person singular polite possessive suffix (suf)	
O5d~;t]C=<	-emir	1st person plural exclusive possessive (suf)	
DmSYvt8NmC	-ent	their, 3rd pl. poss. suffix (suf)	
GzBd@Cny?s	-en	my, 1st sg. poss. suffix (suf)	
DIK6x^kd//	-garn	-made (suf)	
i:4{.L!).w	-gon	lord, prince; [N.] valour (suf)	
qwOsL-vl:]	-ian(d)	-land, country (suf)	
yDL2:Q}tRi	-iel (Grammar)	perfective-participle (suf)	
xk)]CPy=46	-iel (Mankind)	daughter; feminine suffix (suf)	
bc*n5a(3i3	-ig	diminutive/singular ending (suf)	
JDCJYo}iz2	-il	feminine suffix (suf)	
xBDVKcO9V;	-ion (Mankind)	-son (suf)	
v{_JQxxZ$`	-ir	past of intransitive verbs (suf)	
pPeYc8Ubrp	-i	adjectival suffix (suf)	
y$h`U6;,l@	-nt	past of transitive verbs (suf)	
Oe;ESDV>}I	-og	singular suffix (suf)	
bNUklL;hC$	-ol	continuative [active] participle; adjective suffix (suf)	
Jbq0MN85/0	-on (Mankind)	masculine suffix (suf)	
ni75KvX*?2	-o	imperative (suf)	
jh*L}-T)|:	-ra	many Sindarin adverbs end in [this] (suf)	
$<f/bUOv%	-riel	crowned maiden (suf)	
"BG56#7I^8;"	-ui	-ful, having quality, adjective suffix; [as verbal suffix] possibility, suitability, *-able (suf)	
I@Z=VoJe)Y	-u	a person or being (suf)	
H7NfZ>1De~	-weg (Grammar)	active in doing (suf)	
rlN.(h7$N%	-weg	*name suffix (suf)	
y/hui8!gEd	-wen	maiden, *female suffix (suf)	
F3Mmd0GIO%	-we	person, being, individual; [N.] masculine suffix (suf)	
hI=nfCAdZ[	Adan	Man (as a species) (n)	
eYp1(^sN6d	Aeni	(female) angel (n)	
Qa4Au%IF,6	Aenu	(male) angel (n)	
pNuJNv147V	Anor	Sun (n)	
eyM9^]lrc_	Balan	Vala, [N.] Power, ⚠️God (n)	
QN^Q,oF>N,	Cadlaer	July, *After-summer (n)	
jITCmm^zu{	Cerveth	July (n)	
V<ifx5sj%	Eblaer	June, ?Before-summer (n)	
k/x|kWH-RC	Eledhon	*Elf-man (n)	
MS1T}t?$97	Elleth	Elf-maid (n)	
dKAZFM!K~3	Ellon	Elf-man (n)	
ewh(=ZLGiC	Eru	God (n)	
HUET$OR~<[	Feir	Mortal, [N.] mortal man (n)	
sBS,z}s>=9	Firieth	(Female) Mortal (n)	
Dx32kyhA%7	Firion	(Male) Mortal (n)	
ryEbO5-!6M	Forchalad	aurora, (lit.) northern radiance (n)	
"em>1wxw#cI"	Fíreb	Mortal (n)	
t`D*Bkn[aH	Gavar	*Refuser (n)	
j@n82jp6*0	Girithron	December, *Shuddering-one (n)	
f&rn=MDUF|	Golodh	one of the wise folk, Noldo (n)	
pVkhG%Ha=C	Gwaeron	March, *Windy-one (n)	
E_*}Kk+P}7	Gwirith	April, *Freshness (n)	
E%rgaU9?AP	Hadhod	Dwarf (n)	
E)Sf9jK,_V	Harchalad	aurora, (lit.) southern radiance (n)	
j0y-8SRSU<	Hithui	November, *Misty-one (n)	
qWT.AuF0},	Ivanneth	September, *Yavanna-ness (n)	
MW2?NPq*Lq	Lothron	May, *Flower-ness (n)	
j_wC^k^_-$	Narbeleth	October, Sun-fading, Sun-waning (n)	
B_&w2%v5S3	Narwain	January, *(lit.) New Fire (n)	
IA|lxJIpXp	Noegin	Petty Dwarf (n)	
EfS8e=YE_L	Nogotheg	Dwarflet (n)	
p_05ek,U27	Noll	Noldo (n)	
O@O^zN~9wz	Nínui	February, *Watery (n)	
zc@:|1|MyT	Nórui	June, *Fiery (n)	
"H}j/#}$N0("	Ogol	?Elf (n)	
HWvA]kY>aT	Onod	Ent (n)	
vnK?d`CmTr	Oraeron	Sea-day, *Thursday (n)	
CWJt(2hHUa	Oranor	*(lit.) Sun-day, Sunday (n)	
c0%=tU+jtH	Orbelain	*Day of the Valar, Friday (n)	
cUG)=8tVhW	Orgaladhad	Day of the Two Trees, *Tuesday (n)	
B1{.]R[&+;	Orgaladh	Day of the Tree, *Tuesday (n)	
s~}9p^e}5Z	Orgilion	*Star-day, Saturday (n)	
EPQ^h}GM5C	Orithil	*Moon-day, Monday (n)	
UV<P;>`m0	Ormenel	*Heavens-day, Wednesday (n)	
enJsrP)AlE	Perian	Halfling, Hobbit (n)	
lo8iD~sBkW	Rodon	Vala (n)	
"e71]2/#p={"	Rodyn	alternate name of the last day of the Eldarin six-day week (n)	
hk:smnj=Bp	Torog	Troll (n)	
MPjwCQ&sgH	a (conj)	and; †by, near, beside (conj)	
DZh[bgY8j3	abgen-	to foresee, expect (vb)	
"L4Q#L6vjb:"	ablad	prohibition, refusal (n)	
x(&)t/[ZtB	abor	tomorrow, (lit.) after-day (n)	
"xk#11K.upe"	ab	after (prep)	
CZN^;vtNbF	ach (conj)	*but (conj)	
DV9[@SPNj^	ach (n)	(1) bone; (2) neck, *(upper) spine (n)	
jithFn@u_-	achad	rock ridge, neck (geographically) (n)	
fI)=oX/}43	achar-	to avenge, do back, react, requite (vb)	
y@,i]7Y:_G	achared	vengeance (n)	
sh^.XLd@P8	acharn	vengeance, (an act of) revenge (n)	
gpH+;YJzEX	achas	dread, fear (n)	
FLmLSRAxxR	ad-	back, again, re- (pref)	
"O6{#45z?,X"	adaba-	to build, erect, establish (vb)	
"QW8)%-#<qq"	adaneth	(mortal) woman (n)	
P)6wGM|iPW	adar	father (n)	
eb?(m$adW(	adbed-	to rephrase (vb)	
gz!%g|<a)>	aden	until (prep)	
z`c5?kMJ~7	adertha-	to reunite (vb)	
IKr4yr?0[U	aderthad	reuniting (n)	
FD/d3QNZ<!	adlanna-	to slope, slant (vb)	
o0zUc+z1BT	adlannas	downfall, ruin (n)	
e@T|ZI!+(L	adlant	oblique, slanted (adj)	
CB::R3[dAy	adlod	sloping, tilted (adj)	
F>,dZ+gl(4	aduial	(evening) twilight, *evening (n)	
H>|(DDU[<p	advir	heirloom (n)	
t,5StR@Rs|	aebin	cherry (tree) (n)	
Jb9Q{eP,s%	aeda-	to revere, worship (vb)	
i&f<>^/n1?	aedaith	reverence, worship, religion (n)	
s/.3koq5jD	aedh	nest (n)	
v$4bt[(EB4	aegas	mountain peak (n)	
Q;Hc(d_aP-	aeglir	line of peaks, [N.] range of mountain peaks; ⚠️[ᴱN.] peak, mountain top (n)	
lQ9_/yD!=;	aeglos	icicle, (lit.) snow-point; snowthorn (a plant) (n)	
QVj@KQ*Lf|	aeg	sharp, [N.] pointed, piercing (adj)	
o|O(zXfeWr	aemar	rookery, colony of birds (n)	
l0no4$O4=;	aenor	god (n)	
vtq3AFmv0I	aerem	icon (n)	
DYIk^_s9<6	aerlinn	*hymn, (lit.) holy song (n)	
nc}cRpfI{?	aeron	saint (n)	
wD-~0rF|qL	aer	*hallowed, holy (adj)	
m|SoUd,LWR	aewen	of birds (adj)	
"g#t$JPIE_n"	aew	(small) bird (n)	
f/PRoFDh;7	ae	if  (conj)	
w/cPHqdQLD	agla-	to shine out, flash (vb)	
Hg*vv}0UIU	aglad	lightning (n)	
zT^Ge+Ff%{	aglann	ray of light (n)	
Qsr8r0Ppe+	aglareb	glorious, brilliant, *radiant (adj)	
L}U~uE]h|;	aglar	glory, brilliance, splendour, radiance (n)	
MM!<986?(=	aglor	brilliant, glorious (adj)	
nf.Awe_5e(	agol	flash (n)	
z2x3Hc;k)Q	agrech	contempt (n)	
emg7Z|8Zcz	agreitha-	to despise, contemn (vb)	
e=uF@5b-5U	agreithannen	despised (adj)	
I>.,z<=u.(	agreitharol	despicable, contemptible (adj)	
t5G0n/jvk	ai (interj)	hail, ⚠️[ᴱN.] cry of pain or woe, [G.] oh! (interj)	
nacUL:uPA%	ai (pron)	*those who (pron)	
"k^fg#;;j-."	aich	also (adv)	
Dx+iq)nyK}	aif	same (adj)	
y3W<8>Sa2u	ain	same, identical (adj)	
hn.1QD$>T6	air	lonely (adj)	
Fm8te:4sE8	aith	spear-point, [ᴱN.] spear, ⚠️thorn (n)	
zRw6m%Llm^	al- (Emotion)	well, happily (pref)	
y}=($)nky[	al- (Grammar)	no, not (pref)	
k:(Txwihv!	alae	?behold (interj)	
A,-1qwxz~<	alaf	elm (n)	
KGXHo:zDm(	alben	no one (pron)	
w!mTCMLayP	albeth	(word of) good omen (n)	
eCiOh=;0=T	alfeg	cygnet, young swan (n)	
g!8$CR.pg]	alfirin	immortal, (lit.) not dying; a species of flower (adj n)	
J>e_f>,WhX	alfuil	large white sea-bird, albatross, ⚠️†swan (n)	
Eibh2?/BRS	alf	flower (n)	
KDuUt:pX5@	alhad	nowhere (pron)	
o[,X)J+@Xj	aliavren	barren (adj)	
G2V,%By4;D	allu	never (adv)	
"GQwyEPD#4A"	alnad	nothing (pron)	
I%:-~kM_kj	alphen	no one, nobody (pron)	
LR:6x6a*1;	alph	swan (n)	
"s#HK>zMFp%"	alu	wholesome, *healthy (adj)	
J-wQ<JH=hi	alvar	(good) luck, fortune (n)	
sS]U4[d;ZL	alwed	prosperous, fortunate (adj)	
hJgE]QL0&C	alw	wholesome (adj)	
m88xz~/aNI	am (adv adj)	more (adv adj)	
b}aPXjON:K	am (adv)	up, [G.] upwards, ⚠️towards head of, above (adv)	
c=s{niHl-+	amartha-	to define, decree, destine (vb)	
i-0KM-Etrv	amarthannen	decreed, destined, ordained (adj)	
x+af61<>7Z	amar	world, the Earth, (lit.) settlement, the great habitation (n)	
H~1xBBZHa0	amdir	hope [based on reason], *expectation, (lit.) looking up (n)	
,$Q;uX4sq	amloth	helm crest, (orig.) uprising flower (n)	
cGzR}FftLT	ammal	(death) agony (n)	
Cp}T&z2pht	amman	why, (lit.) for what (adv)	
bjiz(LQn>+	ammatha-	to maul (vb)	
d5:M(r4e|P	ammos	*breast, chest; ⚠️breastplate (n)	
Pf>^]kX|&B	ammuia-	to work (hard) for, to earn (vb)	
El+&ibLQXP	amon	hill, (isolated) mountain; lump, clump, mass; ⚠️[G.] steep slope (n)	
NjT+qH~8:2	amorvad	breakfast (n)	
dUo1A}jrv2	amor	morning, early day (n)	
"o#r:JJ1<`j"	amosgarn	robin, (lit.) red-breast (n)	
p_Jrk%yS~m	amoth	shoulder (n)	
r`K]9`@RVC	amrent	lark (n)	
tjqK}RGW9n	amrûn	sunrise, east, (lit.) of the uprising (n)	
x+dmu_e0a/	an-	intensive prefix (pref)	
l*Xy!bfSfB	anann	(for) long (adv)	
kPjeAJFaNH	and (n)	gate, door (n)	
oQA9h)esY7	andaith	long-mark (n)	
"E4,/!<Zt#>"	andrann	cycle, age, (lit.) long cycle (n)	
qjPP]Dj4ck	andrethui	patient, long suffering (adj)	
A),Q4a^dnN	andreth	long-suffering, patience (n)	
zBSvUBSCp-	angerthas	runic alphabetic, (lit.) long rune-rows (n)	
xK]]{0AEna	anglenna-	to approach (vb)	
C=V@o*hn`L	anglennol	approaching, coming (adj)	
tTJA|vDi=H	angren	of iron (adj)	
K=Huk>v9Ul	ang	iron (n)	
F|SX$Yv@%v	anha-	to give (vb)	
K_`y-7>4,j	anna- (Possession and Trade)	to give, †add to (vb)	
PxM`hkqs,r	annas	length (n)	
b:M[>{?5;O	anneth	(act of) giving (n)	
IQ:Y*(18tE	annon	(great) gate, door (n)	
c=/q58]}D&	annui	west[ern] (adj)	
xIBW6JQFs|	annûn	sunset, west; (lit.) going down (n)	
bjoIt}@ZD5	anta-	to give, add to (vb)	
CD5kc${J,z	anuir	forever, everlastingly, eternally, in eternity (adv)	
P,Xt*V?K&Q	anu	male (person or animal) (n adj)	
bwYAL{ya=a	anwar	awe (n)	
"Pg#pgK~[sT"	anwas	manhood, *manliness, masculinity (n)	
vKMp<Uu5mD	anwathren	manly, masculine (adj)	
A8[Z5;C,4h	an	to, for; ⚠️[N. and G.] of (prep)	
O5Y5N@WDH=	aníra-	to desire, *long for (vb)	
p7fGc!XJh3	anóren	sunny (adj)	
dbO-y.%-1Q	apha-	to touch (vb)	
B%QNTcwAKt	aphadol	following (adj)	
m2h`ZMXf@X	apharch	arid, very dry (adj)	
BuFOJr-`[v	aphas	(sence of) touch (n)	
zTn1|o&(=u	ar(a)-	noble, royal, high (pref)	
PJq%M00FTn	ar(an)eg	kinglet (n)	
"p_]M#pxb=g"	ar-	[N.] outside; [S.] without; ⚠️by, beside, [G.] along with, compared with (pref)	
"tCKBx#?@8H"	aranas	kingship (n)	
"CsX#4M^Gjj"	aran	king, lord, chief, (lit.) high or noble person; [N.] lord (of a specific region) (n)	
mBJ}hyN/Aa	aras	deer, hart, *stag (n)	
"Nj#@A#_:|z"	arnediad	unnumbered, [N.] without reckoning, numberless, innumerable, countless, endless (adj)	
i;z..=3Y%i	arnoediad	unnumbered, without reckoning (adj)	
"F#]f!-}(z}"	arod	noble (adj)	
O?R;sNg%Z!	arphen	noble, knight (n)	
F)&]SNcAGE	arthor	realm (n)	
mZq(dB>CnK	arwen	noble lady (n)	
t-g0D=BL_,	ar	and, [G.] too, besides (conj)	
jL.b0Ti)ee	asgath	skeleton (n)	
Jl~y9{$+)a	asgeb	bony (adj)	
w?3XDsG3(:	asgolui	equivalent, (lit.) beside-bear-able (adj)	
Gq$v(m7<]e	asg	bone; ⚠️[G.] stone of fruit (n)	
O;pZGf246o	ast (Sense Perception)	light or heat of the sun, *warmth (n)	
LY4jYMrcBz	ast	light or heat of the sun (n)	
I/18=@Tn@h	ath-	easy, easily (pref)	
d[YQRu9dTz	atha-	will (future) (vb)	
p^cYzGo^|&	athaelas	*healing herb (n)	
m1W,4_}q|~	athae	*healing herb, healing (n adj)	
FpXb+&GNsJ	atheg	[little] father; thumb (n)	
"D]G8j+~d#x"	athelas	kingsfoil, a healing herb (n)	
HAxR_pGOzO	athgar	easy (easy to do) (adj)	
A^QEKrRNuO	athgen	easily seen (adj)	
K4N|e&*PDG	athor	doctor (n)	
zWFn2%hvt-	athra- (Body Parts and Functions)	to treat medically (vb)	
KAF${dg1Oi	athra- (Spatial Relations)	to cross (to and fro) (vb)	
"F#fLqcz90/"	athrabed-	to discuss, exchange words (vb)	
lcXkkk}k(H	athrabeth	conversation, debate, (lit.) interchange of words (n)	
P+nGGtHehX	athrad	ford, crossing (n)	
