#separator:tab
#html:true
#guid column:1
#tags column:4
"B-N|kF-#aW"	-(r)on; -or	agental suffix (suf)	
IL`<>L_mdC	gwâw; hwâ; whaewar; wá(wa)	breeze[?] (n)	
jt1}^Oyc}b	gwîn; pîn	our (inclusive) (pron)	
taIV+1k[dU	hadhma-; hadhwa-	to seat (vb)	
f=d>8,rK`|	hanar; muindor	brother (n)	
B^4wHm,YwK	hav-	to pray (vb)	
yTsG/M8W,+	brennil; heryn; hiril; rodel	lady (n)	
g;o1NJ+eQ@	oel; ring	cool (adj)	
FU3nYH=SAp	hí	now (adv)	
BvAT&H?v51	hithren; mith; mithren; thind; thinn	grey (adj)	
wQIEn$nVY]	honeg; honig	brother (diminutive) (n)	
dp+DH~ga=(	porochuil	hen (n)	
Idb=rTehuX	iath; iâth	fence (n)	
ES_r`I*}}-	pista-	to suppose (vb)	
H&A20o;!-5	laich; lend; liss; melui	sweet (adj)	
Ny,p)Xvx27	loch	ringlet (n)	
wTCrllRs7d	lebdas; tas	index finger (n)	
MqvB,4~*lr	naub	thumb (n)	
ocDjP5+xLD	paeleben	fifteen (cardinal)	
j-LBNZjrd?	lebig; niged	little finger (n)	
K:*Yu<;,(V	ledil	key (n)	
jch>~<~Nkw	lefnui; levnui	fifth (ordinal)	
Q,%&7-m<2`	lhassa-	to hear (vb)	
>pqi|{OOC	lhingril; ungol	spider (n)	
Fj~J[(<NYq	maew	gull (n)	
wQrauKKp07	math	food (n)	
z6K<-1c>*+	minui	first (ordinal)	
"Jn{p#F0Atb"	melethor; seron	lover (n)	
fcmQmwIZSb	mib-; mítha-	to kiss (vb)	
iNBz2?be5w	herw; miru	wine (n)	
l)fFAm_&y[	nelui	third (ordinal)	
D=VU-z7,@_	nalla; nallan; nallar; nalloth	call (n)	
NFt/r4q)mn	paeneder	nineteen (cardinal)	
dr8.q~<AUP	nedrui	ninth (ordinal)	
m1H+tgST+H	paenel	thirteen (cardinal)	
wUy~.cgu/b	neledh	three (cardinal)	
dO`Dm:1/RE	muinthel; nethel; nethig; thêl	sister (n)	
nJ1LVy/<m4	nivol; nîf	phantom; (lit.) a seeming (n)	
uqnWdjv!xm	nuru-	to growl; to grumble (vb)	
cmW]2UHj6&	nuir; orvedui	yesterday (n)	
Cli8w(m!1x	ochui; odothui; othui	seventh (ordinal)	
s&xC;&!H&l	odo; odog	seven (cardinal)	
l@r::dT]>r	paenodog	seventeen (cardinal)	
z8?|!fYGg>	odophaen	seventy (cardinal)	
OwpN66%ndT	oreth	hour (n)	
j0fM28|cbu	paedolodh	eighteen (cardinal)	
IOg!,p(,h=	pechof	squirrel (n)	
m]25^)V.>~	pelu-	to enclose; to fence (vb)	
zs;)1>/.x|	perna-	to turn (vb)	
kHg]02oj1C	pimp	tail (n)	
Dd5MA-]+!e	rach	danger (n)	
c^9)pjyQ@3	rachui	dangerous (adj)	
y?fQnJa[%d	raef; raew	net (n)	
GwQKNrA`4K	rhugaron	sinner (n)	
xVtD:q]~LK	rhaen	crooked (adj)	
fRc,+}:V92	raitha-; reitha-	to strive; to try (vb)	
dg>O<{yxQp	rhaed; rhîd	(special) fashion; peculiar hue (n)	
jT9%s%p[sS	rhosc	brown; russet (adj)	
reg~uw<r*d	rhîf	brim; brink (n)	
z]^R0sq-t{	rochben; rochon	rider (n)	
D7{5(a47ii	rusc	fox (n)	
DH&hN-<[aR	rust	copper (n)	
yq(6v3?rP$	sa; san	that (pron)	
I,8!9$AgX|	sadron	loyal companion; trusty follower (n)	
Q;K){Rs4P.	se; sen; then	this (pron)	
miwFP*![x/	suithlas	tea; *(lit.) drink of leaf (n)	
v>ow~14Nf8	theinas	law; rule (n)	
v0@p@X*e/U	thoron	eagle (n)	
l2LG!I;h@:	tin; tîn	spark; sparkle; twinkle of stars (n)	
qP_[zc_/qC	tolch; toleg	*sticker-up (n)	
pO8E[Y3gmM	tolhui; tollui	eighth (ordinal)	
OVim8HJT7x	tolodh	eight (cardinal)	
"m0?uHr#yAs"	tuilu-	to bud; to open (of flowers and leaves) (vb)	
IB^&e][uqb	úlan(n)	(lit.) not broad (adj)	
Gvg%@(MCqZ	(a)moth	fen; marsh (n)	
Q2)($*;@Zz	-ad (Grammar)	noun-suffix (suf)	
d<-v?5JZe$	-ad	gerund (suf)	
l?dV{1MnpE	-ant	3rd person past tense; regular past tense (suf)	
RhmX}041g?	-dor	lord; *king (suf)	
l/1dvkP1}V	-ed	3rd person singular possessive suffix; gerund (suf)	
"b#mUGGFHSS"	-egir	2nd person plural familiar possessive suffix (suf)	
EbPO9D5Z!4	-eg	2nd person singular familiar possessive suffix (suf)	
GQ4CnEIrl.	-elir	2nd person plural polite possessive suffix (suf)	
f[f@N(]US&	-el	2nd person singular polite possessive suffix (suf)	
O5d~;t]C=<	-emir	1st person plural exclusive possessive (suf)	
DmSYvt8NmC	-ent	3rd pl. poss. suffix; their (suf)	
GzBd@Cny?s	-en	1st sg. poss. suffix; my (suf)	
DIK6x^kd//	-garn	-made (suf)	
i:4{.L!).w	-gon (Social Relations)	lord; prince; valour (suf)	
qwOsL-vl:]	-ian(d)	-land; country (suf)	
yDL2:Q}tRi	-iel (Grammar)	past-active-participle (suf)	
xk)]CPy=46	-iel (Mankind)	daughter; feminine suffix (suf)	
bc*n5a(3i3	-eg; -ig	diminutive/singular ending (suf)	
JDCJYo}iz2	-il	feminine suffix (suf)	
xBDVKcO9V;	-ion	-son; son (suf)	
v{_JQxxZ$`	-ir	past of intransitive verbs (suf)	
pPeYc8Ubrp	-(i)on; -i	adjectival suffix (suf)	
y$h`U6;,l@	-nt	past of transitive verbs (suf)	
Oe;ESDV>}I	-og	singular suffix (suf)	
bNUklL;hC$	-ol	continuative [active] participle (suf)	
Jbq0MN85/0	-on; -we	masculine suffix (suf)	
ni75KvX*?2	-o	imperative (suf)	
$<f/bUOv%	-riel	crowned maiden (suf)	
"BG56#7I^8;"	-ui	-ful; [as verbal suffix] possibility; having quality; suitability; *-able (suf)	
I@Z=VoJe)Y	-u	a person or being (suf)	
H7NfZ>1De~	-weg	active in doing (suf)	
y/hui8!gEd	-wen	maiden; *female suffix (suf)	
F3Mmd0GIO%	-we	being; individual; person (suf)	
hI=nfCAdZ[	Adan	Man (as a species) (n)	
eYp1(^sN6d	Aeni	(female) angel (n)	
Qa4Au%IF,6	Aenu	(male) angel (n)	
pNuJNv147V	Anor	Sun (n)	
eyM9^]lrc_	Balan	God; Power; Vala (n)	
jITCmm^zu{	Cerfeth; Cerveth	July (n)	
MS1T}t?$97	Eledhes; Elleth	Elf-maid (n)	
dKAZFM!K~3	Eledhon; Ellon	Elf-man (n)	
ewh(=ZLGiC	Eru	God (n)	
HUET$OR~<[	Feir	Mortal; mortal man (n)	
sBS,z}s>=9	Firieth	(Female) Mortal (n)	
Dx32kyhA%7	Firion	(Male) Mortal (n)	
ryEbO5-!6M	Forchalad	aurora; (lit.) northern radiance (n)	
"em>1wxw#cI"	Fíreb	Mortal (n)	
j@n82jp6*0	Girithron	December; *Shuddering-one (n)	
f&rn=MDUF|	Golodh [ng-]	Gnome; Noldo; one of the wise folk (n)	
pVkhG%Ha=C	Gwaeron	March; *Windy-one (n)	
E_*}Kk+P}7	Gwirith	April; *Freshness (n)	
E%rgaU9?AP	Hadhod; naug	Dwarf (n)	
E)Sf9jK,_V	Harchalad	aurora; (lit.) southern radiance (n)	
j0y-8SRSU<	Hithui	November; *Misty-one (n)	
qWT.AuF0},	Ivanneth	September; *Yavanna-ness (n)	
MW2?NPq*Lq	Lothron	May; *Flower-ness (n)	
j_wC^k^_-$	Narbeleth	October; Sun-fading; Sun-waning (n)	
B_&w2%v5S3	Narwain	January; *(lit.) New Fire (n)	
IA|lxJIpXp	Noged	Petty Dwarf (n)	
EfS8e=YE_L	Nogotheg	Dwarflet (n)	
O@O^zN~9wz	Nínui	February; *Watery (n)	
zc@:|1|MyT	Nórui	June; *Fiery (n)	
HWvA]kY>aT	Onod	Ent (n)	
vnK?d`CmTr	Oraeron	Sea-day; *Thursday (n)	
CWJt(2hHUa	Oranor	Sunday; *(lit.) Sun-day (n)	
c0%=tU+jtH	Orbelain	Friday; *Day of the Valar (n)	
cUG)=8tVhW	Orgaladhad	Day of the Two Trees; *Tuesday (n)	
B1{.]R[&+;	Orgaladh	Day of the Tree; *Tuesday (n)	
s~}9p^e}5Z	Orgilion	Saturday; *Star-day (n)	
EPQ^h}GM5C	Orithil	Monday; *Moon-day (n)	
UV<P;>`m0	Ormenel	Wednesday; *Heavens-day (n)	
enJsrP)AlE	Perian	Halfling; Hobbit (n)	
lo8iD~sBkW	Rodon	Vala (n)	
"e71]2/#p={"	Rodyn	alternate name of the last day of the Eldarin six-day week (n)	
hk:smnj=Bp	Torog	Troll (n)	
DZh[bgY8j3	abgen-	to expect; to foresee (vb)	
"L4Q#L6vjb:"	ablad	prohibition; refusal (n)	
x(&)t/[ZtB	abor (n)	tomorrow; (lit.) after-day (n)	
"xk#11K.upe"	ab	after (prep)	
CZN^;vtNbF	ach (conj)	*but (conj)	
DV9[@SPNj^	ach (n)	neck; *(upper) spine (n)	
jithFn@u_-	achad	neck (geographically); rock ridge (n)	
fI)=oX/}43	achar-	to avenge; to do back; to react; to requite (vb)	
y@,i]7Y:_G	achared; acharn	vengeance (n)	
sh^.XLd@P8	acharn	(an act of) revenge (n)	
"O6{#45z?,X"	adaba-	to build; to erect; to establish (vb)	
"QW8)%-#<qq"	adaneth	(mortal) woman (n)	
P)6wGM|iPW	adar	father (n)	
eb?(m$adW(	adbed-	to rephrase (vb)	
z`c5?kMJ~7	adertha-	to reunite (vb)	
IKr4yr?0[U	aderthad	reuniting (n)	
FD/d3QNZ<!	adlanna-	to slant; to slope (vb)	
o0zUc+z1BT	adlannas	downfall; ruin (n)	
e@T|ZI!+(L	adlant	oblique; slanted (adj)	
CB::R3[dAy	adlod	sloping; tilted (adj)	
F>,dZ+gl(4	aduial	(evening) twilight; *evening (n)	
H>|(DDU[<p	advir	heirloom (n)	
t,5StR@Rs|	aebin	cherry (tree) (n)	
Jb9Q{eP,s%	aeda-	to revere; to worship (vb)	
i&f<>^/n1?	aedaith	religion; reverence; worship (n)	
s/.3koq5jD	aedh	nest (n)	
v$4bt[(EB4	aegas	mountain peak (n)	
Q;Hc(d_aP-	aeglir	line of peaks; range of mountain peaks (n)	
lQ9_/yD!=;	aeglos	icicle; snowthorn (a plant); (lit.) snow-point (n)	
QVj@KQ*Lf|	aeg	piercing; pointed; sharp; *point (adj n)	
o|O(zXfeWr	aemar	colony of birds; rookery (n)	
l0no4$O4=;	aenor	god (n)	
vtq3AFmv0I	aerem	icon (n)	
DYIk^_s9<6	aerlinn	*hymn; (lit.) holy song (n)	
nc}cRpfI{?	aeron	saint (n)	
wD-~0rF|qL	aer	holy; *hallowed (adj)	
m|SoUd,LWR	aewen	of birds (adj)	
"g#t$JPIE_n"	aew	(small) bird (n)	
w/cPHqdQLD	agla-	to flash; to shine out (vb)	
Hg*vv}0UIU	aglad	lightning (n)	
zT^Ge+Ff%{	aglan	ray of light (n)	
L}U~uE]h|;	aglar	brilliance; glory; radiance; splendour (n)	
nf.Awe_5e(	agol	flash (n)	
z2x3Hc;k)Q	agrech	contempt (n)	
emg7Z|8Zcz	agreitha-	to contemn; to despise (vb)	
e=uF@5b-5U	agreithannen	despised (adj)	
I>.,z<=u.(	agreitharol	contemptible; despicable (adj)	
t5G0n/jvk	ai (interj)	hail; there you are (interj)	
nacUL:uPA%	ai (pron)	*those who (pron)	
hn.1QD$>T6	air; ereb	lonely (adj)	
Fm8te:4sE8	aith	spear; spear-point (n)	
y}=($)nky[	al-	no; not (pref)	
k:(Txwihv!	alae	? (interj)	
w!mTCMLayP	albeth	(word of) good omen (n)	
eCiOh=;0=T	alfeg	cygnet; young swan (n)	
g!8$CR.pg]	alfirin	a species of flower; immortal; (lit.) not dying (adj n)	
J>e_f>,WhX	alfuil	albatross; large white sea-bird (n)	
KDuUt:pX5@	alhad	nowhere (pron)	
o[,X)J+@Xj	aliavren	barren (adj)	
G2V,%By4;D	allu	never (adv)	
"GQwyEPD#4A"	alnad	nothing (pron)	
I%:-~kM_kj	alphen	no one; nobody (pron)	
LR:6x6a*1;	alf; alph	swan (n)	
"s#HK>zMFp%"	alu	wholesome; *healthy (adj)	
J-wQ<JH=hi	alvar	(good) luck; fortune (n)	
sS]U4[d;ZL	alwed	fortunate; prosperous (adj)	
m88xz~/aNI	am (adv adj)	more (adv adj)	
c=s{niHl-+	amartha-	to decree; to define; to destine (vb)	
i-0KM-Etrv	amarthannen	decreed; destined; ordained (adj)	
x+af61<>7Z	amar	Earth; the Earth; the great habitation; world; (lit.) settlement (n)	
H~1xBBZHa0	amdir	hope [based on reason]; *expectation; (lit.) looking up (n)	
,$Q;uX4sq	amloth	helm crest; (orig.) uprising flower (n)	
cGzR}FftLT	ammal	(death) agony (n)	
Cp}T&z2pht	amman	why; (lit.) for what (adv)	
bjiz(LQn>+	ammatha-	to maul (vb)	
d5:M(r4e|P	ammos	chest; *breast (n)	
Pf>^]kX|&B	ammuia-	to earn; to work (hard) for (vb)	
El+&ibLQXP	amon	(isolated) mountain; clump; hill; lump; mass (n)	
NjT+qH~8:2	amorvad	breakfast (n)	
dUo1A}jrv2	amor	early day; morning (n)	
"o#r:JJ1<`j"	amosgarn	robin; (lit.) red-breast (n)	
p_Jrk%yS~m	amoth	shoulder (n)	
r`K]9`@RVC	amrent	lark (n)	
x+dmu_e0a/	an-	by; intensive prefix; with (pref)	
l*Xy!bfSfB	anann	(for) long (adv)	
oQA9h)esY7	andaith	long-mark (n)	
"E4,/!<Zt#>"	andrann	age; cycle; (lit.) long cycle (n)	
qjPP]Dj4ck	andrethui	long suffering; patient (adj)	
A),Q4a^dnN	andreth	long-suffering; patience (n)	
zBSvUBSCp-	angerthas	runic alphabetic; (lit.) long rune-rows (n)	
xK]]{0AEna	anglenna-	to approach (vb)	
tTJA|vDi=H	angren	of iron (adj)	
K=Huk>v9Ul	ang	iron (n)	
K_`y-7>4,j	anna- (Possession and Trade)	to give (vb)	
PxM`hkqs,r	annas	length (n)	
IQ:Y*(18tE	annon	(great) gate; door (n)	
c=/q58]}D&	annui	west[ern] (adj)	
xIBW6JQFs|	annûn	sunset; west; (lit.) going down (n)	
CD5kc${J,z	anuir	eternally; everlastingly; forever; in eternity (adv)	
P,Xt*V?K&Q	anu	male (person or animal) (n adj)	
bwYAL{ya=a	anwar	awe (n)	
"Pg#pgK~[sT"	anwas	manhood; masculinity; *manliness (n)	
vKMp<Uu5mD	anwathren	manly; masculine (adj)	
A8[Z5;C,4h	an	for; to (prep)	
O5Y5N@WDH=	aníra-	to desire; to *long for (vb)	
p7fGc!XJh3	anóren	sunny (adj)	
dbO-y.%-1Q	apha-	to touch (vb)	
m2h`ZMXf@X	apharch	arid; very dry (adj)	
BuFOJr-`[v	aphas	(sense of) touch (n)	
zTn1|o&(=u	ar(a)-	high; noble; royal (pref)	
PJq%M00FTn	ar(an)eg	kinglet (n)	
"p_]M#pxb=g"	ar-	beside; outside; without (pref)	
"tCKBx#?@8H"	aranas	kingship (n)	
"CsX#4M^Gjj"	aran	chief; king; lord (of a specific region); (lit.) high or noble person (n)	
mBJ}hyN/Aa	aras	deer; hart; *stag (n)	
"Nj#@A#_:|z"	arnediad	countless; endless; innumerable; numberless; unnumbered; without reckoning (adj)	
"F#]f!-}(z}"	arod; brand; brann; raud	noble (adj)	
O?R;sNg%Z!	arphen	knight; noble (n)	
F)&]SNcAGE	arthor	realm (n)	
jL.b0Ti)ee	asgath	skeleton (n)	
Jl~y9{$+)a	asgeb	bony (adj)	
w?3XDsG3(:	asgolui	equivalent; (lit.) beside-bear-able (adj)	
O;pZGf246o	ast (Sense Perception)	light or heat of the sun; *warmth (n)	
I/18=@Tn@h	ath-	easily; easy (pref)	
d[YQRu9dTz	atha-	to will (future) (vb)	
m1W,4_}q|~	athae	healing; *healing herb (n adj)	
FpXb+&GNsJ	atheg	[little] father; thumb (n)	
"D]G8j+~d#x"	athelas	a healing herb; a healing plant; kingsfoil (n)	
HAxR_pGOzO	athgar	easy (easy to do) (adj)	
A^QEKrRNuO	athgen	easily seen (adj)	
K4N|e&*PDG	athor	doctor (n)	
zWFn2%hvt-	athra- (Body Parts and Functions)	to treat medically (vb)	
KAF${dg1Oi	athra- (Spatial Relations)	to cross (to and fro) (vb)	
"F#fLqcz90/"	athrabed-	to discuss; to exchange words (vb)	
lcXkkk}k(H	athrabeth	conversation; debate; (lit.) interchange of words (n)	
P+nGGtHehX	athrad	crossing; ford (n)	
Qwbz}Q.od3	athren; lithui	dusty (adj)	
vBEpjtUWI[	aur	(whole) day; morning; sunlight (n)	
cud0RnTgBk	auth (Religion and Beliefs)	dim shape; spectral or vague apparition (n)	
q.KNu,g(qm	ava-	to do not; to will not (vb)	
l4Yr$QT=)l	avad	refusal; reluctance (n)	
PV3}G%DST|	avautha-	to ravish; to seize (forcibly) (vb)	
I.Pc5!O~<r	avauthron	ravisher; seizer (n)	
l~&&!QZ61P	avauth	ravishment; seizure (n)	
Nx/V7X+q{}	avnedhor	afternoon (n)	
H%?=HxQo%.	avras; rhass	precipice (n)	
e|2ad:$?ZF	bach	coat; jacket (n)	
g]~&iF3ZbW	bain	beautiful; favorable; good; wholesome (adj)	
B*$6D_i;|@	bal-	*to have power (vb)	
c^7yG7oi98	baladh	importance; worth (n)	
w_-Ke:&^i	balch	cruel; ferocious; fierce (adj)	
@y,EA,^@q	balf	emotion; excitement (n)	
K69qUzkHQ^	balla-	to be of significance; to matter; to moment; to worth (vb)	
j[$(yjk8lQ	ball	important; worthy (adj)	
Fou{|Gov}~	baltha-	to agitate; to excite; to rouse; to stir up (vb)	
x]C8j8!9+G	balthannen	agitated; excited (adj)	
uVx|LR(3*L	balthol	to excitable; to exciting (vb)	
bmJ^&t!_t*	band [mb-]	custody; duress; prison (n)	
q>`Xz$o]0F	bangad	trade; trading (n)	
nW`M`AZMFu	bangath	market (n)	
s12/Dfq|?;	bang	staff (n)	
pK!>^2Gp8`	banna- [mb-]	to imprison (vb)	
pJ(U7/0oEI	bannan [mb-]	prisoner; (lit.) imprisoned-one (n)	
k)grwm{Z`S	bar- [mb-]	to dwell; to live; to stay (vb)	
E~UMm9bQd`	barad	fort; fortress; great towering building; tower (n)	
Dnor+)v|Cy	baran	brown; dark brown; golden-brown; swart (adj)	
pg^f0+c5N?	bardha-	to reign; to rule (vb)	
xGcRH-8iaL	bardhon [mb-]	inhabitant; native (n)	
xhNfi+:-s;	bardhor [mb-]	habitable (adj)	
pv>%Swa0)B	bardh [mb-]	home (n)	
wOB;3:gJ0H	bardor [mb-]	home land; native land (n)	
h5%JFSI^fZ	barf	armor; armour (n)	
Fk)QiT5/,.	barna- [mb-]	to till (land); to *cultivate; (orig.) to dwell in (a land) (vb)	
EBVLY2%!SZ	barn	protected; safe; secure (adj)	
/F<6>=e!w	baron [mb-]	inhabited; tilled (adj)	
J,]HT*`KT@	barthan [mb-]	dwelling-house; large building of masonry used as a dwelling (n)	
u3D&lq3AU{	bas(t) [mb-]	bread (n)	
n/Dp1T~7ee	basoneth [mb-]	breadgiver (n)	
Ovc[SBFddx	basta- [mb-]	to bake (vb)	
F`<KD34.&r	bauch [mb-]	cost; price (n)	
"G5#id$JHpu"	bauglir [mb-]	constrainer; oppressor; tyrant (n)	
BDhQVyPVQ^	baura- [mb-]	to need; to require (vb)	
HR{/1YgmQ0	baw	no; do not! (interj)	
eW744Zf:UY	baw [mb-]	howling (n)	
pm+^Q`J0*c	bedhril	judge (f.) (n)	
H^<gqYMz>l	belaith [mb-]; beleg; polodhren; taur	mighty (adj)	
JUw/[?=x.w	beleg	big; great; huge; large (adj)	
zc,~+E=y0j	beleitha- [mb-]	to extol; to magnify (vb)	
m,g4+e[BJO	belen	expanded; set (of sails); unfurled; unrolled (adj)	
m0U)*Ss4pq	belon	sail (n)	
HNt=iW)dT[	beltha-	to belly (of sails); to expand; to open out; to set sail; to swell; to unroll (vb)	
k>V7ms9UF0	bened	chin (n)	
j((un:N>@z	bereth	queen; spouse; sublime; supreme (n adj)	
J4$b?/JLVg	berthas	adventure; bold undertaking (n)	
bfAwptppb=	berthian	audacity; challenge; daring (n)	
6?-MZ|bk&	besain [mb-]	breadgiver; the Lady (n)	
D3bc:CR[9~	herves; hervess	wife (n)	
FX^}=XIz51	besta-	to marry; to wed (vb)	
k;{^d|;_Wu	bestad	wedding; (lit.) a marrying (n)	
Nj5/qYlr()	bestannen	married; wedded (adj)	
e4hp[{A|u%	best	marriage; matrimony; wedlock (n)	
m74K0~Sjvs	bethren	brother in law; kinsman by marriage (n)	
M&?a/TK*(:	bethres	sister in law; *kinswoman by marriage (n)	
l+%yB:L4y2	bethril	spouse (f.) (n)	
z3!X@F{*L7	bethron	spouse (m.) (n)	
u}aL4d[iTj	be	as; like (prep)	
s$^9U]`GA8	bilebra-	to equal (vb)	
xc-ZB*2vuh	bilebren	equable (adj)	
MPPJ-j[|K&	bileutha-	to equalize; to make equal (vb)	
cn4dL(;/wY	biltha-	to be probable; to resemble; to seem like; to seem likely (vb)	
r?cjC_*PEg	bilthadren	probable (adj)	
K7:A]AHO`Y	blabed	beating (especially of wings); flapping (n)	
FB2{ghVTAl	blaud	pride (n)	
AzGa8N71Cz	blodren	arrogant; *proud (adj)	
e|^I[C!>KA	bloss [mb-]	wheat (n)	
tScI|H>HDV	blê	fat of meat; greasy; oily; *fatty (n adj)	
"m#ou>yrx??"	blîw	oil (n)	
D|A~,V;S41	boda-	to ban; to forbid; to prohibit; to refuse (vb)	
b6,RiVE}&{	boe [mb-]	to must (impersonal); (lit.) to *[it] needs (vb)	
A3qG@-&*rI	bond [mb-]	snouted (adj)	
h`=]}$bRKt	born	[stead]fast (adj)	
H)-/Yi030<	born [mb-]	hot; red (adj)	
OeOV:=LZ1g	bothol [mb-]	oven (n)	
hHc^m@yx(a	both	fen; marsh; puddle; small pool (n)	
"fFAG#z@vee"	bo; po	*on (prep)	
Q7G)fC+X_d	brach	shawl; wrap (n)	
ooRQ=Vif4f	braetha-	to swathe; to wrap (vb)	
cX<hIWd;l[	brand	steeple (n)	
L>dW0tT+K.	branna-	to scorch (vb)	
C+42b7>NxZ	brant	cooked; done; overdone (adj)	
"EJ&_#YEl}I"	brass (Physical World)	great cliff (n)	
D@]sVjI,4s	brasta-	to loom; to tower up (vb)	
ey{t;4!?G.	brath-	to cook (vb)	
"E#|iSnl`qw"	bregol	quick; sudden; violent; *fierce (adj)	
n:8:8L*Rri	brethil (Agriculture and Vegetation)	beech; silver-birch (n)	
qkV>Y8h.~[	brethil (Social Relations)	princess; (lit.) queen-daughter (n)	
yi8Gjk$55j	bril	crystal; glass (n)	
