#separator:tab
#html:true
#guid column:1
#tags column:4
c+<k:Ye%i%	-(i)llo; -ilco; -stë	you (dual) (suf)	
E!r_H!TMdo	nanwera	ransom (n)	
"y6bo#qasNk"	ne(re)sta	one ninth (fraction)	
vppc}URV<,	neccë	angle (n)	
JL,DUEc<7~	nel(d)esta	one third (fraction)	
D}[GCDy)R	neldëa	third (ordinal)	
N5h0z1-z4+	nelquain	thirty (cardinal)	
QXBYkm!g:j	nelquë; yunquenta; yunquentë	*thirteen (cardinal)	
u3Z(L4C[?5	linquë (linqui-); mixa; nenda	wet (adj)	
JS`oW/1o_O	nexa	angular; sharp (adj)	
H{8MUYSR<*	neterquain	ninety (cardinal)	
dCRN7gD3+9	nevië	experiment (n)	
x*,5dn4$:J	nimulë; níma	a seeming; phantom (n)	
gmAt!f!J8+	nissë	woman (n)	
C$;dbSPwyu	nitya; picina; pincë; pitya; titta	little (adj)	
dl7Dq%3$iC	nolyar [ñ-]; saitar	teacher (n)	
y!h[K4H@v2	norno	oak (n)	
D&E:WtaiGD	noremma	map (n)	
uf`qid,d=]	veuya-	to serve (vb)	
Q|BTS+Kcw+	nyas- [þ]	to scratch (vb)	
scM>WyEaT_	násië	*amen; (lit.) may it be so (interj)	
oFMy:O[Xb+	néya; nëa	at one time; once (adv)	
"DHt*%95kp#"	nómëa	local (adj)	
j8OM1N;DV>	o(to)sta	one seventh (fraction)	
y*TG=4hXgo	o-; va-	together (pref)	
e99f}w{`XL	olasta; olmië	growth (n)	
tVftOL9vA4	ompa; póna	forward (adv)	
r:@$qj>^Qe	or-; ora-	to feel an urge/wish/desire; to urge; to warn (vb)	
OQKSPoDQ|&	otso	seven (cardinal)	
d1Nf!ZCNh|	ostar; uomë	community (n)	
"O#<$^9ZLrZ"	otoquain	seventy (cardinal)	
Fv[RD5xH@%	ovëa	(con)similar; alike (adj)	
u718!v9?xz	pahta-	to speak; to talk (intransitive) (vb)	
"I#[:^dgorB"	palantímië; palanyantië	telepathy (n)	
LpmsNNHFf?	paluhtincë	tablet (n)	
"rsu5TBpH#z"	querë	revolution (around a point) (n)	
k9]P$DY<^k	peresta; perta	one half (fraction)	
mrbg1yo+_R	pirindë; pirnë	flower that opened and shut quickly with any change of light (n)	
Cp;|?G8)),	pono; poto	in front (of place) (prep)	
iq_{6hg+8o	quiquië; quië	whenever (adv)	
P*tFD4E7SZ	rëo	smile (n)	
CR$D|iqH4n	tompa	(small) drum (n)	
"zM.FH8`3z#"	rantala	ladder (n)	
Pote[]oD(+	rauro; rá (ráv-)	lion (n)	
Nm)^KJN$W7	rusca; ruxa	wroth (adj)	
H4rqn:()m,	rínata-	to coronate; to crown (vb)	
wr!?HO7J!l	sa; ta; tai	them (inanimate) (pron)	
"K,$#rt*!QQ"	sangarëa	oppressive; tyrannical (adj)	
I;`5y@Gc!b	úsahtando [þ]	tempter (n)	
foqi*AF7o^	saila	wise (adj)	
wYmwak}NYd	san (sam-) [þ]	bar; barrier (n)	
M+%V`H1nNJ	sanomë; tanas(se); tanomë; tassë; tás	there (adv)	
C@96_ZD3Y*	sarto; satar	loyal companion; trusty follower (n)	
"Q)};O9#9]4"	selma [þ]	fixed idea (n)	
AVP%/-~c<Q	sentacenya [þ]	short-sighted (adj)	
Q&fujorBlu	sinyar	news (n)	
EaB5*^(LvW	sono [þ]	pine (n)	
D>w$o%}csX	sorno [þ]; soron (sorn-) [þ]	eagle (n)	
r7iiWIQZ|2	sorya- [þ-]	to feel fear (vb)	
h2y`@~h^1o	sossë [þ-]; umbë	fear (n)	
u7*nOe6ZFo	sosta- [þ-]	to put to fright (vb)	
gIONVgYMy@	tumyando	baptizer (n)	
"Eh)#Bup<84"	sur- [þ]	*to seek (vb)	
nY!*GyR)*x	surië [þ]	*(an act of) seeking (n)	
xv4GPkQcsk	susta- [þ]	to blow (tr.) (vb)	
t,K*b?x2&9	silumë; sin; sinan; sír	now (adv)	
x57z8-+)H-	taima; taina	extension (n)	
zsv),O&QX@	tamen; tanna; tar(a)	thither (adv)	
en]x2]vvvF	tanna	sign; token (n)	
iKHAtFo.w5	tar-; termar-	to stand (vb)	
q]tTSKh4za	tecindo	writer (n)	
MAcc~{VE!G	tenca	letter (epistola) (n)	
A0gWMiY!21	to(lo)sta; tolsat	one eighth (fraction)	
tJ{^JqVZ5!	toldo; tolto	eight (cardinal)	
"Q<53d6#cDK"	toldëa	eighth (ordinal)	
JJ;vk.!$HO	tollo; tolyo	sticker-up (n)	
iGl&IcYv4W	tolquain	eighty (cardinal)	
GxfSY-tx`F	tyastaima	testable (adj)	
qhDJi;`QLA	ui-	to not do (vb)	
pdFi3{.Yn;	urcarnë; urucárima	hard to make / do (adj)	
vZG?XHdj}Z	valmë (Emotion)	emotion; excitement (n)	
ir97pZ]V^o	valta-	to excite; to rouse; to stir up (vb)	
LWF3;L!mC8	valwistë	change of mind (n)	
xhv6I=BA=m	valya-	to be excited (moved) (vb)	
A9=5JD|n>q	vanga	staff (n)	
vx,P*e,LqY	vanessë; vanië	beauty (n)	
MQXG]ud0g,	varto	betrayer (n)	
"DFmh`?#aU8"	vë (pron)	us (inclusive) (pron)	
"i:Qh#MY,_4"	vendelë	maidenhood (n)	
mNJV*l<HnO	veuyalë	service (n)	
f_Kz9W8tL`	vilva	fluttering to and fro (adj)	
xe}<je.*|w	vilvarin (vilvarind-); vilwarin (wilwarind-)	butterfly (n)	
CCmTncZl)f	vilvarindëa	like a butterfly (adj)	
xdSle$X~o(	vinima	childish (adj)	
z]%@&:7+6d	vinimo	baby; little-one (n)	
hxXx5sXc?{	vinta-	to blow about; to scatter (vb)	
lO%c3*;Yrz	vinyamo	youngster (n)	
"u%X<8?#VhW"	vistë	change (n)	
H(HH{kOHh-	yestië	beginning (n)	
qVA4-Yq}CJ	yola	neither; nor (adv)	
fDN/c`=[5o	yonda; yonna	enclosed (adj)	
OYwA7>n$.i	yuhtaimalë	usefulness (n)	
EU$M.)~L`w	yuhtaina	used (adj)	
gmWLil=e)@	yungwa	appliance (n)	
"nF#x8$(~C@"	yuquain	twenty (cardinal)	
C%k_]|5r!N	yúyal	twilight (n)	
oe7=!K9@Nx	órava-	*to have mercy (vb)	
HzG|vfh3)Q	ólië	society; (lit.) together-people (n)	
"q;P.tX-&#k"	óma-tengwë; ómatehta	vowel-sign (n)	
u!T;}7,GeH	ómataima; ómataina	vocalic extension (n)	
M(66}r8f=1	úfantima; úfantuma	not concealable (adj)	
c!u44,`vI~	úr; úrë (*úri-)	heat (n)	
MS=neG--6h	úsië	on the contrary (conj)	
l,|;9(;{+U	úvanimo; úvano	corrupt or evil creature; monster (n)	
"lo1|BX#_Ia"	(a)nacca	cut; defile; narrows; pass (n)	
h{Zu<HejP[	(a)taryo; atyo	daddy (n)	
t130gXGtm,	(ana)tarwesta	crucifix(ion) (n)	
E8T0QVIme^	(apa)ruivë	fire as conflagration; wild fire (n)	
J{l1+]<h1d	(cirya)talan (ciryatalam-)	deck (of a ship); main deck (n)	
n,nnuoT$w3	(e)mecima	accurate; always aiming at the mark (adj)	
mS<U]A|qZ6	(h)róna	east; eastern (adj)	
fsM|2gaX(d	(i)missë	inside (n)	
cK_>pG.N+Z	(lu)lútië	cruise; (lit.) floating/sailing about (n)	
jI6wo,enDs	(n)ungwar-	to hinder; to sabotage; to sap; to undermine; to weaken; (lit.) to under/down-fret (vb)	
"pRSn[aS(#E"	(o)combëa	assembled; collective; concerted; consolidated; cooperative; corporate (adj)	
"vnZCl#45m*"	(o)combë	assemblage; assembly; collection; gathering; *congregation (n)	
d8CCqc+h+!	(o)notasta	amount (n)	
n-qBp$TY{9	(y)otulma	coincidence; concurrence; simultaneity; synchronicity (n)	
"t#Z~wS.Mz["	-(i)la	active participle (suf)	
EgKjtT.U[7	-(n)dil	-friend; -lover; devotion; disinterested love (suf)	
kEi+mns;%R	-(n)duinë	(large) river (suf)	
t&dsPSWyWj	-(n)dur	servant (suf)	
jUl6uMd-zh	-(n)dórë	-illion; *large number suffix (suf)	
x_0|JN5$MQ	-arya	*inceptive (suf)	
mcWg5:W}a7	-a	adjectival suffix (suf)	
iWH!$RG;]i	-carya	-doing (suf)	
n-kCwP}y,9	-carë	action; doing; making (suf)	
HHI3h<.=2(	-da	product of an action (suf)	
y5,_)`K0Oe	-enca	-less; without (suf)	
"CyO8.4#.$."	-ë	plural of adjectives (suf)	
I,;]AseNYd	-iël	-daughter; feminine suffix (suf)	
f+(%c4],VW	-iën	daughter; feminine ending (suf)	
Phct5Tns6U	-iën; -ndor	-land (suf)	
eNE5rOV|(	-ima	-able; -ible; able to be done; possible; [with short base vowel] *having a (strong) nature of (suf)	
Maqt*F$<-S	-ina	adjective suffix; passive participle (suf)	
g3&Ihn=F,8	-incë	diminutive ending (suf)	
A2@A([sX%w	-inqua	-ful; complete (suf)	
r2ld`eJo}g	-ion	-son; masculine patronymic (suf)	
f8]b~%*n6@	-issë	ending in feminine names (suf)	
s*Vp1J%;So	-ita	particular infinitive (suf)	
"w#;yeiQ)d9"	-itë (-iti-)	[with verbs] capable of doing; adjectival ending; generally (and naturally) doing (suf)	
oNJYVnoyIa	-i	general plural for nouns; plural suffix; simplest aorist infinitive (suf)	
bq)pbL?XVM	-ië	-ing; abstract noun; adverb; gerund suffix; perfect suffix (suf)	
H:UpC)aX,d	-l(yë)	you (polite) (suf)	
klUxe<sOG1	-lda	your (plural) (suf)	
"E1bM#nRo}b"	-li	a lot of; many; partitive plural (suffix); plural (suffix); some (suf)	
N18A2<IfG]	-lla	your (plural polite) (suf)	
H3dLC!/&T9	-llo	(movement) from; ablative element; ablative suffix; out of (suf)	
r.dVlpgLay	-llumë	time; times (suf)	
P+_bA2M^(~	-llë	you (dual polite) (suf)	
Q$%Bx:$j&2	-lma	our (exclusive); our (inclusive dual) (suf)	
Mq/p.4Vvid	-lmë	we (exclusive) (suf)	
G//wbvazz,	-lya	imperfect participle; your (polite) (suf)	
"PP@J|$#k]F"	-matya	-eating (suf)	
Gaa6`wQW{+	-men(d-)	a single action (suf)	
I]YNvTpXEs	-mië	*noun ending (suf)	
"A/:F:fs#Fp"	-mma	our (exclusive dual); *our (exclusive) (suf)	
sB-zH!@o-j	-n	dative suffix (suf)	
fGk_o{!|}8	-n(yë)	I (suf)	
qE-J:iS&&+	-ndacil	-slayer; -victor (suf)	
h]P6h)||^S	-ndon	as; like (suf)	
J26GbUvoro	-ndo	(masculine) agent; *agent (male) (suf)	
nWdYV6HVKl	-nna	allative suffix; to; towards (suf)	
yY/~Y1Dl,X	-non (-nóm(e)-)	-place; -spot (forms place-names, area nouns) (suf)	
m?R@Ks5GKM	-nta	their; they (neuter); to become or be made (suf)	
tv}^~$-x-R	-nwa	active participle (intransitive verbs); passive suffix; perfective adjective; perfective participle (suf)	
c4KIXG?L1;	-nya	my (suf)	
L$%K_E<?f)	-on; -wë	masculine suffix (suf)	
w?BFS@P`7L	-o	genitive ending; of (suf)	
Dt6i%vFlU=	-r (Grammar)	plural suffix (suf)	
qLj>~;C8e:	-r (Spatial Relations)	motion to or towards a point; *archaic allative (suf)	
E;&&{oG->;	-rin	-ian; language; racial-adjective (suf)	
r.^laMu&&4	-rya (Grammar)	her; his; its; their (colloquial) (suf)	
j6ajAIVR6;	-s(sa)	3rd person singular neuter (suf)	
tk{;XXv$P,	-s(së)	he; her; him; it; she (suf)	
m2eGBVlCCw	-ssa	her; his; its (suf)	
m.OS<TLkYc	-ssë	at; in; locative; locative ending; on (suf)	
I~v@:~Q=@b	-sta (Grammar)	her; its (other); verbal noun suffix; your (dual); *his; *noun suffix; *their (other) (suf)	
q{k-X3<2Y_	-sta (Quantity and Number)	close grouping; *part (suf)	
BjR3(Zn1XY	-stir	face (suf)	
"e1#YuGbT=N"	-t	dual ending; they (object suffix) (suf)	
Da]G<-y$H8	-tar	honorific (suf)	
uw)~sYw_g~	-ta	causative; causative verb suffix (suf)	
t1x%CnUXq!	-tur	lord; master; ruler; victor (suf)	
fjJ=![r4AG	-tya	your (familiar); *your (familiar) (suf)	
LOxwN{EX<3	-ula	apt to; likelihood or aptitude; likely to do so; verbal adjective (likelihood, aptitude) (suf)	
B/=eUOrTh~	-uva	future tense suffix (suf)	
hl[Klq]l{{	-u	dual ending (suf)	
0^8.GxjA)	-va	adjectival; possessive or adjectival ending (suf)	
D4i9w}_YMC	-vë	adverb (suf)	
lQ`98~$:0H	-wë	abstract suffix; ancient name suffix (usually but not always masculine) (suf)	
w.S~a3&w2C	-xë	reflexive verbal inflection (suf)	
en4-xbB*Y>	-ya	adjective suffix; aorist active participle; general verbal adjective; her; his; its (colloquial); suffix of endearment; verbal suffix (suf)	
"G+#_[Ce,%?"	-yë	and (pairs) (suf)	
"msu?)4Tt#Y"	-ëa	continuative present; ordinal suffix (suf)	
IQ|!&x}}n=	-úmë	[large]; of quantity (suf)	
EF`CBd/l,U	Ainu	angelic spirit (m.); holy one (n)	
tj}K_i2S~c	Aldëa	Tree-day (Númenórean); *Tuesday (n)	
q:WN=74]Cx	Ambar	Earth; Settlement; The World; World; (lit.) Habitation (n)	
EX8t*w7Nzy	Américárin	American (adj)	
L{wY%5Ar5T	Anahristo	Antichrist (n)	
fz8RzimBqK	Anar (Anár-)	Sun (n)	
r)[X|?FD1w	Anarya	Sunday; (lit.) Sun-day (n)	
H3v$I</3eX	Asiya	Asia (n)	
xXT?6Jq5*E	Atan	Man; (lit.) the Second (People) (n)	
jJ>WC/%>,/	Cermië	July (n)	
mx]AG-k|XA	Cimrinórin	Welsh (adj n)	
"Cdr{Og:NB#"	Eldalië	Elf-folk; Elven-folk; People of the Eldar; People of the Elves (n)	
G[*a]c=]>n	Eldarin (Language and Music)	Elvish (language); of the Eldar (adj n)	
b,5z/&TF_c	Elda	Elf; (lit.) one of the Star-folk (n)	
F;8[})2hcn	Elenya	Saturday; *Star-day (n)	
md4K4+m$;4	Endëranda	Middle-Ages (n)	
p113(@T/ha	Ennosta	Renaissance (n)	
6eZ,3`w~.	Erutercáno	prophet; (lit.) God-herald (n)	
"8#t1s,MO0"	Eruva; valaina	divine (adj)	
L>+j`+*Hwk	Eru	God; The One; The One God (n)	
yW:`@k}E@B	Ëarenya	Sea-day; *Thursday (n)	
Dv}>-s{k3)	Faranconórë	France (n)	
"K?4#;<tcb)"	Foinicer	Phoenicians (n)	
h<?mHJ8dj8	Foralcar	aurora; (lit.) northern radiance (n)	
dNhSIR-yj<	Hellenórë	Greece; Greek people (n)	
"E&Lx-e#Lg/"	Hristondur	Christian; (lit.) Servant of Christ (n)	
GO&ulNi7&G	Hyaralcar	aurora; (lit.) southern radiance (n)	
Q?$:|@SL4-	Hísimë [þ]	November; *Misty-one (n)	
xq1)JQH(?p	Isilya [þ]	Moon-day; *Monday (n)	
nWBs7OjjUF	Isil [þ]	Moon; (lit.) Sheen (n)	
BMbbRI05Uf	Italinórë	Italy (n)	
hGV$&N0ier	Lótessë	May; *(lit.) Flower-ness (n)	
d@IP:s&iX%	Maia	(angelic) spirit; the Beautiful (n)	
sH]|2[@f}7	Maiya	(angelic) spirit (n)	
sjsn&/pRQs	Menelya	Heavens-day; *Wednesday (n)	
