(a)moth|fen; marsh (n)
Golodh [ng-]|Deep-elf; Gnome; Noldo; one of the wise folk (n)
Golt|gnome (n)
Gwaeron|*Windy-one; March (n)
Gwalion; Gwalon|male god (n)
Gwalir; Gwalthir|female god (n)
Gwirith|*Freshness; April (n)
Hadhod; naug|Dwarf (n)
Harchalad|aurora; (lit.) southern radiance (n)
Hithui|*Misty-one; November (n)
Ithil; Raun; Rân|Moon (n)
Ivanneth|*Yavanna-ness; September (n)
Lothron|*Flower-ness; May (n)
Mithres; Thenneth|*Grey-Elf (f.) (n)
Mithron; Thennor|*Grey-Elf (m.) (n)
Mîth; Thend|*Sinda; Grey-Elf (n)
Narbeleth|October; Sun-fading; Sun-waning (n)
Narwain|*(lit.) New Fire; January (n)
Noegin|Petty Dwarf (n)
Nogotheg|Dwarflet (n)
Nogoth|[Greater] Dwarf (n)
Noll [ng-]|Noldo (n)
Nínui|*Watery; February (n)
Nórui|*Fiery; June (n)
Ogol|?Elf (n)
Onod|Ent (n)
Oraeron|*Thursday; Sea-day (n)
Oranor|*(lit.) Sun-day; Sunday (n)
Orbelain|*Day of the Valar; Friday (n)
Orgaladhad|*Tuesday; Day of the Two Trees (n)
Orgaladh|*Tuesday; Day of the Tree (n)
Orgilion|*Star-day; Saturday (n)
Orithil|*Moon-day; Monday (n)
Ormenel|*Heavens-day; Wednesday (n)
Perian|Halfling; Hobbit (n)
Rodon|Vala (n)
Rodyn|alternate name of the last day of the Eldarin six-day week (n)
Thilim|*Moon (n)
Torog|Troll (n)
a (conj)|and; beside; near; †by (conj)
a(n); na|of (the) (prep)
a- (pref)|?; intensive prefix (pref)
a- (pron)|3rd-person pronoun; it; they (pron)
a; ae (interj)|O! (interj)
a; na(n); o (prep)|of (prep)
abgen-|to expect; to foresee (vb)
ablad|prohibition; refusal (n)
abont|back; backwards (adv)
abor|tomorrow; (lit.) after-day (n)
ab|after (prep)
ach (adv)|*excessively; too (adv)
ach (conj)|*but (conj)
ach (n)|*(upper) spine; neck (n)
achad|neck (geographically); rock ridge (n)
achar-|to avenge; to do back; to react; to requite (vb)
achared; acharn; gruith|vengeance (n)
acharn|(an act of) revenge (n)
ad-; no-|again; back; re- (pref)
ada (Mankind)|father (hypocoristic) (n)
adaba-|to build; to erect; to establish (vb)
adab|building (n)
adaneth|(mortal) woman (n)
adbannad(a)-|to refill (vb)
adbed-|to rephrase (vb)
adel|behind; in rear (of) (prep)
adengion|builder (n)
adertha-|to reunite (vb)
aderthad|reuniting (n)
adh; ah|and (conj)
adhin; dîn (adv)|formerly; long ago; once (up a time) (adv)
adhwen|approach; avenue (n)
adlanna-|to slant; to slope (vb)
adlannas|downfall; ruin (n)
adlant|oblique; slanted (adj)
adlod|sloping; tilted (adj)
adrum; dam [nd-]; dring|hammer (n)
adu; edaid|double (adj)
aduial|(evening) twilight; *evening (n)
advir|heirloom (n)
aebin; aibios|cherry (tree) (n)
aeda-|to revere; to worship (vb)
aedaith|religion; reverence; worship (n)
aedh|nest (n)
aegas|mountain peak (n)
aeglir|line of peaks; range of mountain peaks (n)
aeglos|icicle; snowthorn (a plant); (lit.) snow-point (n)
aeg|piercing; pointed; sharp (adj)
ael|lake; pool (n)
aemar; aivin|colony of birds; rookery (n)
aen; ain|*should; could (adv)
aenor|god (n)
aer (adj)|*hallowed; holy (adj)
aer; gaear; oear; saroth|sea (n)
aerem|icon (n)
aerlinn|*hymn; (lit.) holy song (n)
aeron|saint (n)
aes|cooked food; meat (n)
aewen|of birds (adj)
aew|(small) bird (n)
agla-|to flash; to shine out (vb)
aglad|lightning (n)
aglann|ray of light (n)
aglareb (adj)|*radiant; brilliant; glorious (adj)
aglareb (n)|glorious (n)
aglar|brilliance; glory; radiance; splendour (n)
aglath|glory (n)
aglen; agol|flash (n)
agor; úlan(n); úland|narrow (adj)
agos; dae; odra|very (adv)
agra|excessive; extreme; vehement (adj)
agrech|contempt (n)
agreitha-|to contemn; to despise (vb)
agreithannen|despised (adj)
agreitharol|contemptible; despicable (adj)
agros|excess; excessively; too (adv)
ai (interj)|cry of pain or woe; hail; oh! (interj)
ai (pron)|*those who (pron)
aidlan; aina; ainan|today (n)
aidra-|to expiate (vb)
aidros|expiation (n)
aigos; thôn|pine-tree (n)
ain (adj)|identical; same (adj)
aina; ineg; lhigin; ligen; mîw (adj)|small (adj)
ainog|*(male) god (n)
ainuil|*(female) god (n)
air; ereb; erethog|lonely (adj)
aithi; aithwen; crist; lang; maethon; megil; segeth|sword (n)
aithl; ethuil; tuil|spring (n)
aithr; megil|†sword (n)
aithr; êg|thorn (n)
aith|spear; spear-point (n)
al-|no; not (pref)
alae|?behold (interj)
alaf; larm (Agriculture and Vegetation)|elm (n)
alaf|broad of the back (n)
alagon; gwaew|storm (n)
alagos|storm (of wind) (n)
alag|impetuous; rushing (adj)
alaith|protect(ion); shielding; warding off (n)
alanc|*shielded; protected (adj)
albeth|(word of) good omen (n)
alch(ar)|shrine; temple (n)
alcharn; duruin|wooden (adj)
alcharn|of wood (adj)
alf; alfuil(in); alph|swan (n)
alfeg|cygnet; young swan (n)
alfirin|a species of flower; immortal; (lit.) not dying (adj n)
alfuil|albatross; large white sea-bird (n)
alhad|nowhere (pron)
aliavren; arf|barren (adj)
allu|never (adv)
alm|back (from shoulder to shoulder); shoulders (n)
alnad|nothing (pron)
alphen|no one; nobody (pron)
altha-|to grow (high); to shoot up (vb)
alu|*healthy; wholesome (adj)
alvar|(good) luck; fortune (n)
alwed|fortunate; prosperous (adj)
am (adv adj)|more (adv adj)
am (adv)|above; towards head of; up; upwards (adv)
am(m)arth; manadh; umrod|fate (n)
am-|snake (pref)
amaith; emel; mabir; mam; naneth; nanwin|mother (n)
amarth; ammarth|doom; fate (n)
amartha-|to decree; to define; to destine (vb)
amarthannen|decreed; destined; ordained (adj)
amar|Earth; the Earth; the great habitation; world; (lit.) settlement (n)
ambend; ambenn|uphill (adv)
amben|arduous; difficult; tiresome; uphill (adj)
amdir|*expectation; hope [based on reason]; (lit.) looking up (n)
ami|mummy (n)
amloth|(orig.) uprising flower; helm crest (n)
amlug; cunn; lhûg|dragon (n)
ammal|(death) agony (n)
amman|why; (lit.) for what (adv)
ammatha-|to maul (vb)
ammos (Body Parts and Functions)|*breast; chest (n)
ammos (Warfare and Hunting)|byrne; cuirass; hauberk (n)
ammuia-|to earn; to work (hard) for (vb)
amon|(isolated) mountain; clump; hill; lump; mass; mount; steep slope (n)
amorvad|breakfast (n)
amor|early day; morning (n)
amosgarn|robin; (lit.) red-breast (n)
amoth; rôma (Body Parts and Functions)|shoulder (n)
amoth; tith|breast (n)
amra-|to go up and down; to live in the mountains; to wander (vb)
amrad|nomand; wanderer (f.) (n)
amrent; amrint|lark (n)
amrod|living in wilds; wandering (adj)
amrog-dorn|brown wanderer; gipsy (n)
amrost; aurost; galad|dawn (n)
amrosta-|*to rise (vb)
amrûn (Spatial Relations)|Orient; east; sunrise; uprising (n)
amrûn (Time)|east; sunrise; (lit.) of the uprising (n)
an-|by; intensive prefix; with (pref)
anann|(for) long (adv)
anc|jaw; row of teeth (n)
and; ann; sûr|long (adj)
andaith|long-mark (n)
andrann|age; cycle; (lit.) long cycle (n)
andrethui|long suffering; patient (adj)
andreth|long-suffering; patience (n)
angeb|like iron (adj)
angerthas|runic alphabetic; (lit.) long rune-rows (n)
anglenna-|to approach (vb)
anglennol; lenthol|approaching; coming (adj)
angol (Religion and Beliefs)|deep lore; magic (n)
angol; golc; golu; ongol; thû|stench (n)
angos; dael [nd-]; del; girith; gor [ng-]; gorog; goroth [ng-]|horror (n)
angren|of iron (adj)
angwedh|chain; fetter; (lit.) iron-bond (n)
ang|iron (n)
ann (Possession and Trade)|gift (n)
ann; fen(n)|door (n)
anna- (Emotion)|to thank (vb)
anna- (Possession and Trade)|to give; to †add to (vb)
annabon|elephant (n)
annad|thanks (n)
annas|length (n)
anneth|(act of) giving (n)
annon|(great) gate; door (n)
annuir; brand; brann; orchal; raud; taer|lofty (adj)
annui|west[ern] (adj)
annûn|sunset; west; (lit.) going down (n)
anos|man (fullgrown); warrior (n)
anthum|cg. onto; upwards (prep)
ant|cheek; face (n)
anuir|eternally; everlastingly; forever; in eternity (adv)
anu|male (person or animal) (n adj)
anwar|awe (n)
anwas|*manliness; manhood; masculinity (n)
anwathren|manly; masculine (adj)
an|for; of; to (prep)
aníra-|to *long for; to desire (vb)
anóren|sunny (adj)
apha-|to touch (vb)
aphad-; nobra-|to follow (vb)
aphadol|following (adj)
aphadon; bŷr; echil|follower (n)
apharch|arid; very dry (adj)
aphas|(sence of) touch (n)
ar (conj)|*and (conj)
ar (conj, Spatial Relations)|and; besides; too (conj)
ar(a)-|high; noble; royal (pref)
ar(an)eg|kinglet (n)
ar-|along with; beside; compared with; outside; without (pref)
ar; na (prep)|at; to; towards (prep)
aranas|kingship (n)
aran|chief; king; lord (of a specific region); (lit.) high or noble person (n)
aras|*stag; deer; hart (n)
arben; rochir; rohir|knight (n)
arch; gruim; saichwed; udrug|fierce (adj)
archadhu; archaf|throne; (lit.) high seat (n)
archos|evil temper; savagery (n)
archuis|evil temper (n)
arch|awkward; difficult; harsh (adj)
ardhon; gardhon|province (n)
arf; parch; tarf|dry (adj)
arf|desert (adj)
argen-|?to search over (vb)
arin(g)|kiln (n)
arn; ion(n)|son (n)
arnad|*kingdom (n)
arnediad|countless; endless; innumerable; numberless; unnumbered; without reckoning (adj)
arnen|?royal (n)
arnoediad|unnumbered; without reckoning (adj)
arnœdiad; inathadren; pennoediad|innumerable (adj)
arnœdiad|countless; endless (adj)
arod; brand; brann; malcwed; raud|noble (adj)
arog|rushing; swift; torrential (adj)
arphen|knight; noble (n)
arthor|realm (n)
arwad|apple tree (n)
asc; asg|bone; stone of fruit (n)
ascar; asgar|impetuous; rushing; violent (adj)
asgath|skeleton (n)
asgeb|bony (adj)
asgolui|equivalent; (lit.) beside-bear-able (adj)
ast (Physical World)|dust (n)
ast (Sense Perception)|*warmth (n)
astor; astorad|loyalty (n)
ast|light or heat of the sun (n)
ath-|easily; easy (pref)
ath; atha; ent; est; idi(r); ith|3rd pl. pronoun; they (pron)
atha-|to will (future) (vb)
athae|*healing herb; healing (n adj)
athan|beyond (prep)
atheg|[little] father; thumb (n)
athelas|a healing herb; a healing plant; kingsfoil (n)
athgar|easy (easy to do) (adj)
athgen|easily seen (adj)
athla|twice (adv)
athor|doctor (n)
athra- (Body Parts and Functions)|to treat medically (vb)
athra- (Spatial Relations)|to cross (to and fro) (vb)
athrabed-|to discuss; to exchange words (vb)
athrabeth|conversation; debate; (lit.) interchange of words (n)
athrada-|to cross; to traverse (vb)
athrad|crossing; ford (n)
athragared|interaction (n)
athren; lithui|dusty (adj)
athron|other; second (adj)
athru|again; once more; secondly (adj)
athwi; uith|both (adj)
auba; ial|shout (n)
auglos|bright sunshine (n)
aul|badly; ill (adv)
aur|(whole) day; morning; sunlight (n)
aus(s)aith; avasaith|avarice (n)
aust; laer; sachwen; safwen (Time)|summer (n)
auth (Religion and Beliefs)|dim shape; spectral or vague apparition (n)
auth (Warfare and Hunting)|battle; war (n)
ava-|to do not; to will not (vb)
avad|refusal; reluctance (n)
avasaith|greed of gold (n)
avas|luck; wealth (n)
avautha-|to ravish; to seize (forcibly) (vb)
avauthron|ravisher; seizer (n)
avauth|ravishment; seizure (n)
avnedhor|afternoon (n)
avosaith|gloomy places (n)
avras; rhass|precipice (n)
awartha-|to forsake (vb)
awarth|abandonment (n)
awl|*lofty (adj)
baba|mamma; mummy (n)
bach [mb-]|article (for exchange); thing; ware (n)
bachor [mb-]|*trader; merchant; pedlar (n)
bach|coat; jacket (n)
bad-|*to tread; to travel (vb)
bad; fû; haid; lonn; râd; tê|path (n)
bad; haid; men; pâd; rhód; tê (Motion and Transportation)|way (n)
badh- [mb-]|to judge (vb)
badhor [mb-]; badhron [mb-]; pridwir|judge (n)
bag-|to sell; to trade (vb)
bail; gwael|case; cover; pod; sheath (n)
bain|beautiful; favorable; good; wholesome (adj)
baith; hamp|garment (n)
bal-|*to have power (vb)
baladh|importance; worth (n)
balaen|divine (adj)
balas|divine power; divinity (n)
bala|hillock; hump; round hump (n)
balch [mb-]; baug [mb-]; faig; olerdh|cruel (adj)
balch|cruel; ferocious; fierce (adj)
bald|*worthy (adj)
balf|emotion; excitement (n)
balhant|illfated stroke (n)
balla-|to be of significance; to matter; to moment; to worth (vb)
ballam|with evil malicious tongue (adj)
ball|important; worthy (adj)
baltha-|to agitate; to excite; to rouse; to stir up (vb)
balthanc|obstinate (adj)
balthannen|agitated; excited (adj)
balthir|evil king (n)
balthol|to excitable; to exciting (vb)
balt|a plain (n)
balvlaud|overweening pride (n)
banath; beinas; gwanwen; gwanweth|beauty (n)
band [mb-] (Law and Judgment)|custody; duress; prison (n)
band; band [mb-] (Religion and Beliefs)|hell (n)
banga- [mb-]|to *sell; to trade (vb)
bangad|trade; trading (n)
bangath|market (n)
bang|staff (n)
bann [mb-]|duress; prison (n)
banna- [mb-]|to imprison (vb)
bannan [mb-]|prisoner; (lit.) imprisoned-one (n)
bar [mb-]; bâr [mb-]|dwelling; home; house (n)
bar(n)a- [mb-]|to dwell in (a land); to till (land) (vb)
bar- [mb-]|to dwell; to live; to stay (vb)
barad [mb-]|*fated; doomed (adj)
baradh; thall|steep (adj)
barad|fort; fortress; great towering building; tower (n)
barai [mb-]|at home; home (adv)
barant [mb-]; barod [mb-]|home; homewards (adv)
baran|brown; dark brown; golden-brown; swart (adj)
baravlid [mb-]|homeless (adj)
bara|eager; fiery (adj)
bardh [mb-]|home (n)
bardha-|to reign; to rule (vb)
bardhon [mb-]|inhabitant; native (n)
bardhor [mb-]|habitable (adj)
bardor [mb-]|home land; native land (n)
barf|armor; armour (n)
barn [mb-]; baron [mb-]|inhabited; tilled (adj)
barna- [mb-]|to (orig.) to dwell in (a land); to *cultivate; to till (land) (vb)
barn|protected; safe; secure (adj)
barog [mb-]|abroad; away; from home; out (adv)
baros [mb-]|hamlet (n)
bartha- [mb-]|to doom (vb)
barthan [mb-]|dwelling-house; large building of masonry used as a dwelling (n)
bart|*fate (n)
barwen [mb-]|homestead (n)
bas(t) [mb-]|bread (n)
basca-; pasta-|to flap (vb)
basgorn [mb-]|cake; loaf (of bread); round loaf (n)
basoneth [mb-]|breadgiver (n)
basta- [mb-]|to bake (vb)
batha-|to trample (vb)
bauch [mb-]|cost; price (n)
bauda-|to ban; to prohibit; to refuse (vb)
baudh [mb-]; caweth|judgement (n)
baug [mb-]|oppressive; tyrannous (adj)
baugla- [mb-]; naeda-|to oppress (vb)
bauglir [mb-]|constrainer; oppressor; tyrant (n)
baul [mb-]|torment (n)
baur [mb-]; thang|need (n)
baura- [mb-]|to need; to require (vb)
baw [mb-]|howling (n)
baw|do not!; no (interj)
bedhril|judge (f.) (n)
belaith [mb-]; beleg; malcwed; odog; polodhren; taur|mighty (adj)
beleg|big; great; huge; large (adj)
beleitha- [mb-]|to extol; to magnify (vb)
belen|expanded; set (of sails); unfurled; unrolled (adj)
bellas|bodily strength (n)
belon|sail (n)
beltha-|to expand; to open out (transitive); to set sail; to unroll (vb)
belt|strong in body (adj)
belwa-|to belly (of sails); to swell; to unfurl (intransitively); to unroll (vb)
benc|small boat (n)
bened|chin (n)
benli|a pretty (n)
bennas; naith; nass|angle (n)
benn|husband; male; man; †husband (n)
benwed|pretty; shapely (adj)
beren; thala|bold (adj)
bereth (n adj)|queen; spouse; sublime; supreme (n adj)
bereth; rían (n)|queen (n)
beria-; elaig-; osta-|to protect (vb)
bertha-|to dare (vb)
berthas|adventure; bold undertaking (n)
berthian|audacity; challenge; daring (n)
besain [mb-]|breadgiver; the Lady (n)
besgad; best|wedlock (n)
bess|wife; woman; †wife (n)
besta-|to marry; to wed (vb)
bestad|wedding; (lit.) a marrying (n)
bestannen|married; wedded (adj)
best|marriage; matrimony (n)
bethren|brother in law; kinsman by marriage (n)
bethres|*kinswoman by marriage; sister in law (n)
bethril|spouse (f.) (n)
bethron|spouse (m.) (n)
be|as; like (prep)
bilebra-; felcha-|to equal (vb)
bilebren|equable (adj)
bileutha-|to equalize; to make equal (vb)
biltha-|to be probable; to resemble; to seem like; to seem likely (vb)
bilthadren|probable (adj)
bir|in; inside; within (prep)
blab-|to beat (wings etc.); to flap (vb)
blabed|beating (especially of wings); flapping (n)
blaud|pride (n)
blencha-|to flash (vb)
blid-|to free; to rid (vb)
blith|air; breeze; zephyr (n)
bliw; blîw|oil (n)
blodren|*proud; arrogant (adj)
bloss [mb-]|wheat (n)
blé|fat of meat (n adj)
blê|*fatty; fat of meat; greasy; oily (n adj)
bod-|again; back; un- (= backwards) (pref)
boda-|to ban; to forbid; to prohibit; to refuse (vb)
bodamrost|resurrection (n)
bodra-|to delay; to hinder; to tarry (vb)
bodra|back(ward); hinder; rear (adj)
bodron|behind; further back (adv)
bodruithog|thirsting for vengeance (for a particular act) (adj)
bodruithol|vengeful (by nature) (adj)
bodruith|revenge (n)
boe [mb-]|to (lit.) *[it] needs; to must (impersonal) (vb)
boer|heat; hot; rage; raging (adj n)
bogligen|cheap (adj)
bogodog|*expensive; dear (adj)
bon-; gon-|son of (pref)
bond [mb-]|snouted (adj)
bont|back(wards) (adv)
bordh [mb-]|heat; hot; rage; raging; wroth (n adj)
born (adj)|[stead]fast (adj)
born (n)|age; great period (n)
born [mb-]|hot; red (adj)
both [mb-]|puddle; small pool (n)
bothol [mb-]|oven (n)
both|fen; marsh; puddle; small pool (n)
bo|*on (prep)
brach|plaid; shawl; wrap (n)
braetha-|to swathe; to wrap (vb)
branc; branta; peng|bow (for shooting) (n)
brand (n, Warfare and Hunting)|steeple (n)
brand; brann (adj)|fine; high; tall and massive; towering (adj)
brand; innos; tham (n)|hall (n)
branna-; ras-; tortha-|to scorch (vb)
brannon; dairion; de(i)rion; heron; hiron; hîr; innor|lord (n)
brant; brant [mb-]|cooked; done; overdone (adj)
brass (Physical World)|great cliff (n)
brass (Sense Perception)|*extreme heat; white heat (n)
brassen|*very hot; white-hot (adj)
brasta-|to loom; to tower up (vb)
brath-|to cook (vb)
bregedur|wild fire (n)
breged|suddenness; violence (n)
bregolas|*ferocity; fierceness (n)
bregol|*fierce; quick; sudden; violent (adj)
breitha-|to break out suddenly (vb)
brenia-; dartha-|to endure (vb)
brennil; dî [nd-]; heruin; heryn; hiril; híril; rodel|lady (n)
brethil (Agriculture and Vegetation)|beech; silver-birch (n)
brethil (Social Relations)|princess; (lit.) queen-daughter (n)
breth|*fallen nuts or acorns; mast (n)
bril|crystal; glass (n)
brin(in)|glassy substance (n)
brinc|clear; transparent (adj)
bringlast|alabaster (n)
brin|dwarf-glass (n)
brith-|to chance (vb)
brithon|pebbly (adj)
brith|gravel (n)
broch; brois; regil|mare (n)
brog|horse (n)
bron(n)|firm; steadfast (adj)
brona-|to last; to survive (vb)
bronadui|enduring; lasting (adj)
bronad|survival (n)
brond|*faithful; constant; firm; steadfast (adj)
bronnas|constancy; steadfastness (n)
bronwe; reth|endurance (n)
bronwedieth|constancy (n)
brui|*noisy; loud (adj)
brum; lhôn|noise (n)
brumla-|to make a noise (vb)
brêg|lively; quick; sudden (adj)
brôg; medli|bear (n)
brûn|old (has long endured) (adj)
budhulug|dragonfly (n)
budhu|large fly (n)
buia-|to hold allegiance to; to serve (vb)
buin|desire; wish (n)
buir; ûr|fire (n)
bund [mb-]|cape [of land]; nose; snout (n)
bár|earth; home (n)
bâd|beaten track; path; pathway; way (n)
bân|fair; favorable; good; wholesome (adj)
bâ|away; off (adv)
bída-|to compare; to liken (vb)
bíleb|equal (adj)
bîl|likeness; similarity (n)
bôn|back (n)
bôr (adj n)|faithful vassal; steadfast; trusty man (adj n)
bôr (n)|descendant (n)
bŷl|(single) service or favour (n)
bŷr|vassal (n)
cab-|to jump; to leap (vb)
cabed|leap (n)
cabor|frog (n)
cadudew|allomorph; (lit.) shaped sign (n)
cadu|formed; shaped (adj)
cadwor; maed|shapely (adj)
cad|*after (adv)
caeda-|to lay (down); to lie (vb)
caeleb|bedridden; sick (adj)
cael|lying in bed; sickness (adj)
caer|flat isle on a river (n)
caetha-|to bring about; to cause; to compel; to induce; to make to do or be (vb)
caethas|causation (n)
caetheb|original (n)
caeth|cause; motive; reason (n)
caew|lair; resting-place (n)
cafol|bald (adj)
cafor|flea (n)
cagli; glaudh|jest; joke (n)
caileg; heledh; talp|glass (n)
cail|fence; palisade of spikes or sharp stakes (n)
caineglad|fortnight (n)
cair; cîr|ship (n)
caiw|lively; quick (adj)
cai|hedge (n)
cal-|to shine (vb)
calad|brightness; light; shining (n)
calan|day(light) (n)
calardan|lampwright (n)
calar|(portable) lamp (n)
calen|(orig.) bright-coloured; green; †bright (adj)
calf|water-vessel (n)
callon; driothweg [nd-]; thalion|hero (n)
calph|bucket; water-vessel (n)
camba-|to cower; to stoop (vb)
camlann; dalv|palm of hand (n)
camm; mab; maw; mâb|hand (n)
camma-|to accommodate; to adapt; to make fit; to suit (vb)
cammui|convenient; fitting; suitable (adj)
cam|(cupped) hand; handful; holding hand (n)
can-|to call; to cry out; to shout (vb)
canad|four (cardinal)
canath|quarter (n)
cancha-; lala-|to laugh (vb)
canga-|*to go wrong; to tangle (vb)
cangi-|to get tangled; to go wrong (vb)
cang|awry; confused; confusion; mixed up; mêllay; tangle; tangled (adj n)
cannas|[abstract] shape (n)
cantharol|flaming; glaring (adj)
canthil|square (n)
canthor|blaze; flare; glare (n)
canthui|fourth (ordinal)
cant|outline; shape (n)
caphaen|forty (cardinal)
car(dh)|*construction; house; structure (n)
car-|to do; to make (vb)
carab|hat (n)
carach|jaws; rows of teeth (n)
caraed|effective; effectual; efficacious; productive (adj)
caraes|*jagged hedge of spikes (n)
carag|spike; tooth of rock (n)
caralluin|*red-blue (adj)
caran; coll|red (adj)
caras|(orig.) fort or dwelling surrounded by bulwarks; a city (built above ground); circular earthwall with dike; city (built above ground) (n)
carch (Body Parts and Functions)|fang (n)
carch; neleg; nêl (Sense Perception)|tooth (n)
cared|*doing; action; making (n)
carf|implement; tool; weapon (n)
carnen|done; finished; made (adj)
caron|actor; agent; doer; maker (n)
carpa|bunched-up; in a bunch; together (adv)
carp|bunch; bundle (n)
carthas|activity (n)
carth|deed (n)
carweg|active; busy (adj)
castol; thôl|helmet (n)
cas|head; skull (n)
cathrae|*headdress; tressure (n)
cauda-|to get flavour of; to notice; to perceive (vb)
caudol|circumspect; discreet; endowed with good taste; tasteful (adj)
caug|humpback (n)
caul|(great) burden; affliction (n)
caun (Language and Music)|clamour; outcry (n)
caun (Social Relations)|chief; head; prince (n)
caur|action; doing; making; verb (n)
caust|flavour; savour (n)
cauth|deception; lie (n)
cav-|to *accept; to receive (vb)
cavren; gwethriol; nathren; tuvriol|acceptable (adj)
caw-|to taste (vb)
caw; gwerb(e)lin; ôn|top (n)
caweth|sense of taste; taste (n)
ceber (Physical World)|-rock; ?limestone (n)
ceber (Spatial Relations)|spike; stake (n)
cectha-|to spout out (vb)
cef; maw|soil (n)
ceiria-|to bring about; to cause (vb)
celair|*shining; brilliant (adj)
celebren|of silver (adj)
celebrin|like silver (in hue or worth); of silver (adj)
celeb|silver (n)
celef|deer; hind (n)
celeg|agile; hasty; lambent; swift (adj)
celeth|*brook; rill; runlet; stream; (lit.) a flowing (n)
celevon|*of silver (adj)
celf|channel (n)
