(be)bilfir|conscience (n)
anos|man (fullgrown); warrior (n)
anothrin|adult (of men); fullgrown; manly (adj)
antha-|to give (vb)
antha; ortha|upper (adj)
anthor(in)|lofty (of mountains) (adj)
anthos|above; up (adv)
anthum|cg. onto; upwards (prep)
ant|cheek; face (n)
an|-body; anyone; creature; one; person; someone; they (n)
ar (conj)|and; besides; too (conj)
ar (prep)|at; to; towards (prep)
ar-|along with; beside; compared with (pref)
arc; arch; gruim; grum; saichwed; sairin; torod; udrug|fierce (adj)
archod|difficulty (n)
archos|evil temper; savagery (n)
archuis|evil temper (n)
arch|awkward; difficult; harsh (adj)
arc|awkward; difficult; harsh; ill tempered (adj)
arf; arp; gwivrin; ilgiol; uivrin|barren (adj)
arf; arp|desert; dry (adj)
argulthion|equal; equivalent (adj)
arin(g)|kiln (n)
armin; ermin|desert; waste (n)
arn; bo(n)|son (n)
arog|rushing; swift; torrential (adj)
artha-; lentha-; lenu-|to approach (vb)
arthaid-; gada-; ilt(h)a-; ilt-|to join (vb)
artha|alongside (of) (prep)
arthi; erthi|also; as well; besides; too (adv)
art|along side of; beside (adv)
arwad|apple tree (n)
asc; asg|bone; stone of fruit (n)
asc; nen(n)|water (n)
ath; atha|3rd pl. pronoun; they (pron)
atha|two (cardinal)
athla|twice (adv)
athron|other; second (adj)
athru|again; once more; secondly (adj)
athwi; uith|both (adj)
auba; gam; gôm|shout (n)
auglas; auglos|bright sunshine (n)
augla|ray of sunlight; sunbeam (n)
aulin; raig|wrong (adj)
aul|badly; ill (adv)
aur(a)|Sun (n)
aurin|fashioned; made (by craft of hand); wrought (adj)
aus(s)aith; avasaith; idrisaith|avarice (n)
ausin|fortune; rich (adj)
aust; ost; sachwen; safwen; saiwen|summer (n)
authmadri|midday meal (n)
authmeg; maidhon|midday (n)
authmeg|high noon (n)
auth|noontide; sunshine; warmth (n)
avasaith|greed of gold (n)
avas|luck; wealth (n)
avosaith|avarice; greed of gold; money-greed (n)
avos|fortune; luck; prosperity; wealth (n)
awsirol|fortune (adj)
ba; bi; bir|in (prep)
bab-|to drink; to quaff (vb)
baba; babi|mamma; mummy (n)
bacha|coat; jacket (n)
bactha-; haitha-; padra-|to walk (vb)
bactha|leg (n)
bad (Dwelling and Furniture)|building; outhouse; shed (n)
bad-|to travel (vb)
bada-|to build (vb)
badweg|pedlar; traveller (n)
bad|path; way (n)
bag-|to sell; to trade (vb)
bageth|market (n)
bagri|wares (n)
bagron|trader (n)
baidha-|to clothe (vb)
bail|case; cover; pod; sheath (n)
bain; govaithum|clad (adj)
baith (Clothing and Adornment)|garment (n)
baithri|clothes; clothing (n)
baith|journey; road; way (n)
bal [mb-]|anguish; evilness; pain (n)
balc|cruel; evil (adj)
baldrin; beleg; bâl; malcrin; malcwed; odog; polodrin|mighty (adj)
bald|*worthy (adj)
balt|free; rid; soluit (adj)
banc|trade (n)
bandra|away; departed; gone; lost (adv)
band|hell (n)
bang|staff (n)
bant|wall (n)
baptha-|to feed; to take sup of (vb)
bar [mb-]|dwelling; home (n)
bar(n)a- [mb-]|to dwell in (a land); to till (land) (vb)
bara [mb-]|cottage; home (n)
barai [mb-]; barthi [mb-]|at home; home (adv)
barant [mb-]; barod [mb-]|home; homewards (adv)
baravlid [mb-]|homeless (adj)
barchol|awful; terrible (adj)
barc|dread; terror (n)
bardha-|to reign; to rule (vb)
bardha; hermin|realm (n)
barn [mb-]; baron [mb-]; ruin|inhabited; tilled (adj)
barog [mb-]; baron [mb-]|abroad; away; from home; out (adv)
baros [mb-]|hamlet (n)
bart; elt|change (n)
bart; umbart; umrod|*fate (n)
bartha-|to alter; to change; to exchange (vb)
barwen [mb-]|homestead (n)
bas- [mb-]|to bake (vb)
basbos; gwass|splash (n)
basbotha-; fasca-; throsta-|to splash (vb)
basca-; basga-; cwas-|to flap (vb)
bascovas|flapping and beating (especially of wings) (n)
basgorn [mb-]|loaf (of bread) (n)
bass; ram|pinion; wing (n)
bast [mb-]|bread (n)
baul|body; trunk (n)
baur [mb-]; ind; indos; inn; innos; rû|house (n)
bectha|chin; tip (n)
bedhgad; besgad|wedlock (n)
bedhin|married; wedded (adj)
bedhren|brother in law; kinsman by marriage (n)
bedhres|sister in law; *kinswoman by marriage (n)
bedhri; gadweth; govedhri|wedding (n)
bedhron|husband (n)
begl|beard (n)
beg|chin (n)
belectha-|to extol; to magnify (vb)
beleg; odog|great (adj)
beleth(os)|144; a great number; a gross (n)
belin|expanded; set (of sails); unfurled; unrolled (adj)
belon|sail (n)
beltha-|to expand; to open out (transitive); to set sail; to unroll (vb)
belu-; belwa-|to belly (of sails); to swell; to unfurl (intransitively); to unroll (vb)
benc; bent|small boat (n)
benin; benwed|pretty; shapely (adj)
benli|a pretty (n)
benna-|to wed (vb)
benn|cut; fashion; shape; shapeliness (n)
bentha-|to cut; to fashion; to shape (vb)
benthi|pretty (adj)
bess|wife (n)
bilin(c)|small bird; sparrow (n)
biltha-|to flit; to flutter (vb)
bir|inside; within (prep)
bith|juice; sap (n)
bladwen; eng(a); ladwen|plain (n)
blaith|spirit (n)
blantos; mabinos gwilbriniol; mavlantos|sycamore (n)
blant|blunt (of words); candid; expansive; flat; open (adj)
blath|floor (n)
blectha-; blencha-|to flash (vb)
blectha; bleg|a flame (n)
blenc; galwed; glathrin|brilliant (adj)
bless [mb-]|good feeling; grace; kindness (n)
blethrin [mb-]|gracious; kind (adj)
blid-|to free; to rid (vb)
blith|air; breeze; zephyr (n)
bloss [mb-]|wheat (n)
bo-; bon-; go-; gon-|son of (pref)
bod-|again; back; un- (= backwards) (pref)
bodra-|to delay; to hinder; to tarry (vb)
bodra|back(ward); hinder; rear (adj)
bodron|behind; further back (adv)
bodruith; hadruith; sagruith|revenge (n)
bodruithog|thirsting for vengeance (for a particular act) (adj)
bodruithol|vengeful (by nature) (adj)
bod|back; behind; of time ago; ‘a while back’ (adv)
bont|back(wards) (adv)
bordd; tangar; tangor|fireplace (n)
born|age; great period (n)
botheb-|to undo; to unloose; to untie (vb)
bothli [mb-]|oven (n)
brach|plaid; shawl; wrap (n)
bractha-|to arouse; to awaken; to refresh; to revive (vb)
brada; drogla|cart (n)
brada|waggon; wain (n)
brag; guin; laibrin|fresh (adj)
brageth; gwinwen|freshness (n)
braitha-|to swathe; to wrap (vb)
branc; brant; branta|bow (for shooting) (n)
brand; indos; innos; thambros|hall (n)
brant [mb-]|cooked; done; overdone (adj)
brantha-; ras-; tortha-|to scorch (vb)
brath-|to cook (vb)
bridh(n)ir|princess; queen (n)
bridhon|king; prince (n)
bridhweg|liege (m.) (n)
bridhwig|liege (f.) (n)
bridol|changing; variable; varying (adj)
brig-|to be afraid of; to fear (vb)
brigla-|to change; to vary (vb)
brigli|variation (n)
brigol|afraid; fearful; timid (adj)
brin(in)|glassy substance (n)
brinc|clear; transparent (adj)
brindi|(Queen) Princess (n)
bringlast|alabaster (n)
brith-; tug-|to chance (vb)
brithla|pearl (n)
broch; bros(s)|mare (n)
brod; bron(n)|firm; steadfast (adj)
brog|horse (n)
bronniol|constant; faithful (adj)
brontha|continual; continuous; everlasting; unceasing (adj)
bront|perpetually (adv)
bronwedieth; bronweth|constancy (n)
brum; rum|noise (n)
brumla-; rumla-|to make a noise (vb)
buin|desire; wish (n)
bâl|great; important; worthy (adj)
bâ|away; off (adv)
bóra|always; continuously; ever (adv)
bôr|descendant (n)
cab-|to jump; to leap (vb)
cacha-; cancha-|to laugh (vb)
cactha-|to deride; to laugh at; to make fun of; to mock (vb)
caf-|to taste (used of the thing) (vb)
cafalon|bald; *(lit.) head-naked (adj)
cafol|bald (adj)
cafwen|judgement; sense of taste; taste (n)
caf|blade (n)
cag; cagri; cagli|jest; joke (n)
cagrin|amusing; funny (adj)
cagriol|jocular (adj)
cailtha-; mictha-|to kiss (vb)
cailthi|kiss (n)
cail|lip (n)
caineglad|fortnight (n)
caitha-|to bring about; to cause; to compel; to induce; to make to do or be (vb)
caithl|fount; origin; source (n)
caithonwed|original (adj)
caithos|causation (n)
caith|cause; motive; reason (n)
calon|budd[ing]; grown (of plants); in blade (of corn) (adj)
calph|bucket (n)
caltha-|to flourish; to grow; to wax (vb)
caltha|herb; plant (n)
calwed; hilon; hilwed; hithadrin|adolescent (adj)
calwed|flourishing (adj)
calw|green shoot; sapling; sprout (n)
cam(m)a-; cav-; crictha-; loctha-|to bend (vb)
cam(m)a-|to bow; to cower; to stoop; to submit (vb)
camba-; cavra-|to cower; to stoop (vb)
camp|leap (n)
cam|bent; bowed; humble; submissive (adj)
canc; dairwen|mirth (n)
cancol|laughing (adj)
canc|laughter; merriment (n)
canga-; loctha-|to tangle (vb)
cangi-; cinga-|to get tangled; to go wrong (vb)
cang|awry; confused; confusion; mixed up; mêllay; tangle; tangled (adj n)
cantha; tang|flame (n)
cantharol|flaming; glaring (adj)
canthor|blaze; flare; glare (n)
cantrib|square (n)
cant|four (cardinal)
captha-|to startle (vb)
cara|act; deed (n)
carc|fang; jag; point (n)
cariod(wen)|activity (n)
carm|act; deed; exploit (n)
carn(in)|scarlet (adj)
carna|blood (especially fresh blood); gore (n)
carn|done; finished (adj)
carpa|bunched-up; in a bunch; together (adv)
carp|bunch; bundle (n)
cartha-|to finish; to make (vb)
carthion|complete; perfect (adj)
cas|head; skull (n)
cathor|helmet; (lit.) head-ward (n)
caug (adj)|bent; bulging; humped (adj)
caug (n)|humpback (n)
caum; nog|knob (n)
caura; cîr|sour (of milk) (adj)
cauri; cír; cûr|cheese (n)
cautha-; thas-|to shave (vb)
cautha-|to get flavour of; to notice; to perceive; to taste (of the taster or person) (vb)
cauthiol|circumspect; discreet; endowed with good taste; tasteful (adj)
cav-|to make stoop (vb)
cectha-|to spout out (vb)
celchin|of glass (adj)
celchwed; celegrin|glassy (adj)
celc|a glass; glass (n)
celebrin|of silver (adj)
celebriol|like silver (adj)
celeb|silver (n)
celegrin|like glass (adj)
celeptha|silvern (adj)
celu-; gul-|to trickle (vb)
celu; celwin|rill; runlet; stream (n)
celwa-|to trickle (n)
ceral|jar (n)
cilm|brink; edge; rim (n)
ciloba-; ciloptha-|to chirp; to chirrup; to twitter (vb)
ciltha-|to jerk (out); to tug (vb)
cilt|jerk (n)
cing(win); ging; gung; ungwi|spider (n)
cingra-|to plait (vb)
cingrafindl|pigtail (n)
cingra|plaited (adj)
cint; sith|hither (adv)
cintha-|to light; to set alight (vb)
cith; nad; nath; nân|*thing (n)
cith; nath|affair; matter (n)
clam(p)|claw; grasp (n)
clamfa-|to claw at; to grab (vb)
clann; eilian; olf(in); olfin(g)|branch (n)
clast|bud; shoot; sprout (n)
clath|small branch; twig (n)
clib-|to lean; to support; to uphold (vb)
climli|heaven; sky (n)
cli|?attractive (adj)
clochiol|stone (adj)
clochrin; clogrin|stone-like; stony (adj)
clochwed; clogwed|stone-covered; stony (adj)
cloch|stone (small); stone of fruit (n)
clocthi|pebble (n)
clogod|shingle beach (n)
clog|stone (small) (n)
closs|shingle (n)
cluimri|cosiness; pleasant warmth (n)
cluim|cosy; warm (adj)
clum(mi)|mushroom (n)
codiavol; codiof; codwed|nutbearing (adj)
codomla; codwalion|*chestnut (n)
codorn; codron|*nut tree (n)
codrin|nutty (adj)
codwalion; ivangod; ivongod|walnut (n)
cod|nut (n)
cog|claw; fist (n)
colc|box; chest (n)
coluid|pestilent (adj)
colu|pestilence (n)
colw; morn|black (adj)
corin; corol|circular; rolling; round (adj)
corm|circle; disc; ring (n)
corn|loaf (n)
corob|skull (n)
cortheb|boundary; bounds (n)
coth|husk; nutshell (n)
craig; gwegla|crooked (adj)
craitho-; crectha-|to spit (vb)
craith|foam; froth; spume (n)
cranta-|to accomplish; to achieve; to complete; to finish (vb)
crantha-|to complete (vb)
crech|spittle (n)
crib-|to gather; to pluck (vb)
crig|elbow (n)
crinc|bent and thin; crescent (adj n)
crinthammos|(lit.) red-breast (n)
crintha|pink; rosy (adj)
criptha|bunched-up; in a bunch; together (adj adv)
cris(s)|cleft; gash; gully; ravine (n)
criscolas|holly; (lit.) *sharp-leaf (n)
crista-|to cut; to slash; to slice (vb)
crist|knife; slash; slice (n)
crithiol; crithog|circular (adj)
crithla-|to circle; to encircle; to go round (vb)
crithos; grail; lemfarilt|ring (n)
crithos; grail|circle (n)
croctha-|to catch; to snare; to trap (vb)
crogin|hooked (adj)
crog|hook (n)
cross; crost|ball (n)
crost|cake; lump (n)
crug|beak (espec. of a ship) (n)
crui; cruith|colour (n)
cruim|coloured (adj)
cruith|appearance; complexion (n)
crunc|crow (n)
crî|knife (n)
crôl|round (adj)
cub; dûl [nd-]; rothrin; rûdin; tumbol|hollow (adj)
cuctha|consideration (n)
cucthol; cunghol|painstaking (adj)
cug-|to consider; to ponder; to resolve; to think (vb)
cuib; cwim|alive (adj)
cuibri|vitality (n)
cuid|animal; living creature (n)
cuilborn|lifetime (n)
cuilin; culwin; glôrin; glôriol|golden (adj)
cuilogri; cuilogwi|liveliness (n)
cuilog|alive; lively (adj)
cuil|life; lifetime (n)
cuitha-|to be alive; to live (vb)
cuithos|life (period of life); livelihood; living (n)
cuith|life; living body; the vital principle (n)
cum-|to lie (down) (vb)
cumli|couch (n)
cuno|care; thought; ‘pains’ (n)
cunwed; cûn; cuvon|bent; bowed; concave (adj)
cuptha-|to bend (tr). (vb)
cur-|to congeal; to curdle; to turn sour (vb)
curdhuig; curdhweg|sinner [m.] (n)
curdhuin; curdhwin|sinner [f.] (n)
curdhu|evil; sin; wickedness (n)
curin; thairiniol; thairinwed|magical (adj)
curtha-|to curdle; to make cheese (tr.) (vb)
curth|curd (n)
curug; thothweg|wizard (n)
curus|witch (n)
curusôn|witchcraft (n)
curuthli|enchantments; sorcery (n)
curu|magic (n)
cusc; susc|abashed; hushed; quiet (adj)
cwam|ill (adj)
cwancha-|to ail (vb)
cwanchri|ailment (n)
cwanc|poorly; seedy; sickly (adj)
cwant|all the (with article); full; the whole (adj)
cwarth (cwardh-)|bad; evil; wicked (adj)
cwas-; cwath-|to nod; to shake; to wag (vb)
cwast|shaking (adj)
cwathil; pectha; pecthon|plume (n)
cwathli|plume; spray; tassel (n)
cwathra-|to shake (intr.) (vb)
cwed-|to say; to tell (vb)
cwedri|telling (of tales) (n)
cwel-|to fade; to wither (vb)
cweleg|corpse; dead body (n)
cwelm; math|dusk (n)
cweloth|fading (n)
cwent|saying; tale (n)
cwerc|throat (n)
cwess|proverb; saying (n)
cweth|word (n)
cwibra-; cwiptha-|to arouse (tr.) (vb)
cwidhra-; cwira-; ruitha-|to rustle (vb)
cwildred|bat (animal) (n)
cwileg|alder (n)
cwiliog; cwilon|bright-hued (adj)
cwil|hue; tint (n)
cwim(ri)|body; flesh (n)
cwimp|alert; vigilant (adj)
cwim|alert; awake (adj)
cwing; quing|bow (n)
cwingfimli|skill at archery (n)
cwingfim|skilled at archery (adj)
cwinglios|archery (n)
cwingron|archer (n)
cwintha-|to fill (vb)
cwir-|to make spin; to stir; to stir round (vb)
cwiril; gwiril|spindle (n)
cwiruin|spinning wheel (n)
cwist; rûm|secret (n)
cwitha-; cwithra-|to murmur; to whisper (vb)
cwithri; rui|whisper (n)
cwithwiros|poplar (n)
cwiv-|to be awake (vb)
cwivra-|to awaken (intr.) (vb)
cwivros|awakening (n)
cwîl|gentle; peaceful; quiet (adj)
cwîr; malthin|cream (n)
cî; sin; sî|here (adv)
cîrin|modern; present (place or time) (adj)
côf|odour; savour; smack (n)
côl|edible plant; herb; vegetable; wort (n)
cômathol|diseased; ill (adj)
côma|disease; illness (n)
cûm|burial mound; mound (especially grave) (n)
cû|bow; crescent; the waxing or waning moon (n)
da; li|?with (prep)
daf-|to flay; to peel skin; to strip (vb)
dafros|bark; peel; skin (n)
dai; ilon; ilwi(n); ilwint; luithon; telm; telum|sky (n)
daimoth; ilbar|heaven (n)
daira-; dairtha-; saltha-|to play (vb)
dairiol|funny; merry (of things) (adj)
dairion|merry (adj)
dairog|merry (of persons) (adj)
dairtha-|to amuse (vb)
dairwed|funny (common); merry (adj)
dair|merriment; play (n)
dai|exceedingly; very (adv)
dala- [nd-]|to sing or ring (vb)
dalech; daleg|(upright) stone (n)
daltha-|to erect; to set up (vb)
dal|cairn (n)
dana|day (24 hours) (n)
danoriol|daily (adj)
dantha-|to illuminate; to illustrate; to light up (vb)
danthos|(artificial) light; illumination (n)
dant|lamp (n)
darath; daroth|peak; summit (n)
dauth(r)a-|to flay; to strip (vb)
dauth; dôf|hide; skin (n)
dautha|naked; stripped (adj)
deg|what (n[euter]) (pron)
deil(i)an; delwen|beech tree (n)
deldrin grontholas [nd-]; deldron grondolas [nd-]; gronthos deldrinwed|oakleaved beech (n)
deldrinwed [nd-]|beechen (adj)
deldrogod [nd-]|beech nut (n)
deldron [nd-]|beech (tree) (n)
delmos|beech nuts; mast [= fruit of beech, oak, chestnut] (n)
difedhin; uf(f)edhin|*outlaw (adj n)
dimborn|olden times; past days; the past (n)
dim|former; over; past (adj)
diradhim; diradhin|once upon a time (adv)
diriol|tedious (adj)
dir|who (f.) (pron)
dod-|to drop; to fall down (vb)
dod; piog|berry (n)
dodri|falling (n)
dodri·lassion|autumn; *(lit.) falling of leaves (n)
dol- [nd-]; elta-; saptha-|to dig (vb)
dolc [nd-]|deep (adj)
doldrin [nd-]; dolfa [nd-]; dolmeg [nd-]|mole (n)
dolm [nd-]|pit (n)
dont|bump; drop; fall (n)
don|who (pron)
dori; turinthir; turwin|queen (n)
dorm|summit (n)
dorn(a) [nd-]|(holm) oak; ilex (n)
dorn|seat (n)
doros|throne (n)
dortha-; panta-; sam-; tulga-|to settle (vb)
dorven [nd-]|landscape; scene; *(lit.) land-shape (n)
dos|when (adv)
doth [nd-]|damp; drizzle; moisture (n)
dothli; tibli|drizzle (n)
drab-|to (impersonal) to irk; to annoy; to labour; to work (vb)
drabri|labouring (adj)
drab|irksome work; labour; toil (n)
drambor|thudder (n)
drautha-|to tire out; to weary (vb)
drauthiol|arduous; labourious (adj)
drauthos|toil; weariness from labour (n)
drauth|tired; toilworn; weary (adj)
drib- [nd-]|to decay; to rot; to wear out (vb)
dribin|worn out (adj)
drim|dew (n)
drintha-|to turn (tr.); to twist (vb)
drint|turn; twist; wrench (n)
driod [nd-]; driodwen [nd-]; driothwen [nd-]|heroism; valour (n)
driodweg [nd-]; driothweg [nd-]|hero; warrior (n)
driog [nd-]|valiant (adj)
drith [nd-]|flavour; inkling; savour; smell; suggestion (n)
drith-|to it smells; to savours of; to smacks of (vb)
drogod|bondage; slavery; thraldom (n)
drogol; drogwed|base; mean; servile; slavish (adj)
drogwin|slave woman (n)
drog|servant; slave; thrall (n)
dronn [nd-]|course; race; track (n)
drui; drû; duru|wood (n)
drum|firm; stout; strong (adj)
drô|rut; wheel track (n)
duif (duiv-)|stream (n)
duil; duilin(g); duilinc; glindwil; lindwil|swallow (n)
duila-; gwil-|to fly (vb)
duileg|fledged; having power of flight (adj)
duil|fledged; flight; having power of flight; power of flight (n adj)
duivrad|canal (n)
duivrant|aqueduct (n)
dui|where (adv)
dultha-|to dine (vb)
dultha|dinner; supper (n)
dulwen|feast (n)
dumgort; dungort|(evil) idol (n)
dum|not to be spoken; secret (adj)
duru|beam; log; pole (n)
dwindi|a swift (bird) (n)
dâ; ront|high (adj)
dâd; nâd|grandfather (n)
dâf; padhwen; pand|bark (n)
dân; glâ; gôl|day (n)
dîr|long (of time) (adj)
dólin; glingon; glîr|song (n)
dôr [nd-]|country (inhabited); land; people of the land (n)
ecthadra-|to put to the sword; to slay (vb)
ecthel(uin)|fount; fountain (n)
ecthor|swordsman; warrior (n)
ed; edhos|close by (prep)
edhos|just without (prep)
edh|beside; hard by; near; near borders of; outside (prep)
eg; egros|distant (adv)
eg; nel; seg; teb; teg|point (n)
egelmion|broadshouldered (adj)
egiont|farther; further (adj)
egli(n)|needle (n)
egra|distant; far away (adj)
egrin|broad; far; vast; wide (adj)
egriol; odog|excessive (adj)
egwed|distant; far (adj)
eg|far off; wide (adv)
eiben|cherry (n)
eilin; lô|pool (n)
eithlos; gwanos; gwaren; gwarin(n); nothri; renni|family (n)
eithog; eithweg|ancestor (n)
el(u)m|think of that! (interj)
elc|else; something else (adv n)
elef|half; half a ... (n)
elegrin|different; strange (adj)
eleg|else; other (adj)
elf(in)|five (cardinal)
elf; honn; ilf; ôm|heart (n)
elfeg|half (adj)
elfel|different; like something else (adj)
elm(en)|marvelous or unique thing; singular; something strange; wonder (n)
elma-|to admire; to marvel at (vb)
elta-|to draw; to lug; to poke (inward); to thrust; to tug (vb)
eltha-|to alter; to change (vb)
eltha|or; otherwise (adv)
elt|dig; lug; poke (probe); tug (n)
el|or (conj)
embrin|by name; named (adj)
emfeg; enfeg|infamous; of evil name (adj)
em|called by name; named (adj)
end|birds nest (n)
eng(a); nal|vale (n)
engan|spear (n)
engri[n]|of iron (adj)
engriol|of the vale; vale like (adj)
engri|flat surface; level; plane (n)
eng|level; smooth (adj n)
enn; gôm|name (n)
enos; enuith|title (n)
entha-|to call; to indicate; to name; to point out (vb)
entha|there by you; thither (adv)
enu-; enwa-|to be called; to be named (vb)
enweg|name sake (n)
enwiol|nominal (adj)
en|that already mentioned (by you); that by you; that past (pron)
er(e)tha-|to deprive; to isolate; to rob (vb)
ereg|alone; only (adj)
erethog; erethrin|isolated; lonely; solitary (adj)
ereth|loneliness; oneness; solitude (n)
erth (erdh-); mavwin|wish (n)
ert|once; once only (adv)
erwed|unique (adj)
erw|only (adv)
er|one (adj)
esc|sharp edge; sharp point (n)
est(i)rin; estirion|pinnacle; tower (n)
ethl(in)|ivy (n)
fab-|to feel; to handle; to touch (vb)
fabli|sense of touch (n)
fabwed; lubi|corpulent (adj)
fadin|sated; saturated (adj)
fadra-|to sate; to weary; to ‘feed up’ (vb)
fadrin; fadriol|sufficient (adj)
fadro(n)|too much (adj)
fadrog|tiresome (adj)
fadros|satiety; weariness of anything (n)
