(a)cainu-; vesta-|to wed (vb)
aldamo; almo|back; shoulder(s) (n)
aldare|wood (n)
alda|branch; tree (n)
aldea|tree-shadowed (adj)
aldeon (aldeond-)|avenue (of trees) (n)
allu-; alnu-; lutto-; sovo-|to wash (vb)
allume; sovalle; sovasta|washing (n)
alluva; poica; sauna; soina|clean (adj)
alma; yéma|face (n)
alqua; alque; siloine|swan (n)
alu|dressed leather (n)
alva|?lofty (adj)
am(u)-|up(wards) (pref)
amapta-; mapta-; mapa-|to ravish; to seize and carry off forcibly (vb)
amarto|fate (n)
ambapenda|arduous; difficult; tiresome; uphill (adj)
ambar (ambart-)|fate; lot (n)
ambar (ambas-)|bosom (n)
ambar; ambos; titte (ambost-)|breast (n)
ambarin (ambarind-)|lark (n)
ambarta|fated (adj)
ambasse|breast-plate; byrne; cuirass; hauberk (n)
amba|up (adv)
ambo; amun; oro; oron|hill (n)
amu-; orto-|to raise (vb)
amunta|risen (of the sun); up (adj)
amunte|(lit.) lifting; sun-rise (n)
amu|up(wards) (adv)
an(a)|to(wards); until (prep)
an-|re- (pref)
an; áno (and-)|gift (n)
ana-|?towards (pref)
anai; anî; nyél; nî; quin|woman (n)
anaina; quim(en)ea|womanly (adj)
anar (anard-)|giver (n)
anarie|liberality (n)
anc (anq-)|handle; loop; ring (n)
ancar (ankas-)|ear (of men) (n)
ancasse(a)|(lit.) up-headed; high-headed; lofty; tall (adj)
anda-lepta|long-fingered (adj)
anda-ráma|long-arm(ed); long-wing(ed) (adj)
anda; andra; sóra|long (adj)
ande(a) (andi-)|long (of space) (adj)
andesilque|long-haired; long-tressed (adj)
ando; andon; posta; tarnon|door (n)
andon; pondo|gate (n)
anga; ere(n); tongo|iron (n)
angaina; tong??a; yeraina; yereva|of iron (adj)
angaisin(i)e|torment (n)
angaitya-|to torment (vb)
angayanda|miserable (adj)
angayasse|misery (n)
anqua(r); quan|ear (n)
anquin; cabu; cart; locte; loxe|bunch (n)
anta-; toquo-|to give (vb)
anta|cheek; jaw(s) (n)
anto; câ; maquar|jaw (n)
antulu-|to return (vb)
anuon; anustar|monk (n)
anusta|monastery (n)
anuvoite|male; masculine (adj)
anu|a male; man (n)
anwa|high up; place high (adj)
anúre|manliness; masculinity (n)
anúva; mára|doughty (adj)
anúvie|doughtyness; manhood (n)
apaica; apaira|conquering (adj)
apaire|conquest; reduction; victory (n)
apaitya-|to conquer (vb)
apanta-|to display; to open; to reveal; to show (vb)
apantie|display (n)
apsa|hole; opening (n)
apta-; panta-|to open (vb)
apte; faldi; panta (*apti-)|open (adj)
aqua-; laqua-; map-; mapa-|to seize (vb)
aqui|a brace; a couple of; both (adj)
ar (as-)|against; next; on (wall); to (prep)
ar(a)|and; but (conj)
ar; arne; hil(de); putse (arn-)|child (n)
aracte|(stony) beach (n)
arac|piles of stones; shingle (n)
arda|place; spot (n)
are (Spatial Relations)|along; beside (adv)
arean (areand-)|deserted place; wilderness (n)
arin; purin|hearth (n)
arinya|fireside (adj)
aris (arits-)|daughter; maid (n)
arm-|to collect; to gather (vb)
arma|flock of sheep (n)
arqua|arid; dry; parched (adj)
arquilis|desert (n)
artan; petl; tartan (artam-)|hammer (n)
arta|across; athwart (prep)
aru|as well; besides; in addition (adv)
arwa|field (n)
aryúlima|equal; equivalent (adj)
as; hón(a) (ass-)|bone (n)
asampe(a)|cavernous (adj)
asesta-; sesta-|to assimilate; to compare; to imitate; to liken; to make like; to model on (vb)
asesta; aseste; seste|similarity (n)
asestaine|assimilation; imitation (n)
assea|bony (adj)
astuvu-|to begin (vb)
aswa; axa|of bone (adj)
at-; att(a)-|bi-; twi- (pref)
atar; atto; attu; tatto|father (n)
atempa|(strong) dislike (n)
atta (n)|father (child’s word) (n)
atta; casse; or; orta; ta|above (prep)
atta; ha; hea|3rd sg. neut. pronoun (pron)
atta; síse; síte; túto (pron)|they (emphatic) (pron)
attahwi|parents (n)
attala-|to ?double (vb)
attalaite|biped (adj)
attalin|biped (n)
atwen; uiven; yucainen|twenty (cardinal)
auc|clumsy fellow; fool (n)
aule (auli-)|shaggy (adj)
aulo; fanya; lóme|cloud (n)
auqua|awkward; clumsy (of things); difficult (adj)
aure (auri-)|gold light; sunlight; sunshine; warmth (n)
aurea|sunlit; sunny (adj)
aurin; lúsina|warm (adj)
aurinca|sunny (adj)
aurinde|pleasant warmth; summer (n)
auriquilea; aurquila|golden; sunlit (adj)
auro|sun (n)
ausi-|well (pref)
ausie; aute; milcin|wealth (n)
austalende|mid-summer’s day (n)
austa|(high) summer (n)
aute; laruce; malce; silc(in)a (ausi-)|rich (adj)
aute|goods; money; property (n)
au|away from (prep)
ava-|to depart (vb)
avalta-|to denude; to despoil; to strip (vb)
avande|get hence! (interj)
avanwa|going; nearly gone; passing (adj)
avarna|very rich (adj)
avealta-|to resemble closely (vb)
avesta|beginning; opening; overture; summer (n)
avíca|very much alike (adj)
axa (n)|waterfall (n)
axe; ere(n); yaisa; yaxe (aksi-)|steel (n)
axína|[of] steel (adj)
ca-|cause (pref)
cabu; cart; quasilla (*karp-)|tuft (n)
caca-|to laugh (vb)
cacil; catl|chuckle (n)
caicta-|to strangle (vb)
caile; cilma; cilme|lip (n)
cailen|gullet; throat (n)
caima-|to lie quiet (vb)
caimasambe|bed-chamber (n)
caimasan (kaimasamb-)|bed-chamber; bed-room (n)
caimassea|a-bed; bedridden; confined to bed (adj)
caima|bed; couch (n)
caime|dwelling; home (n)
caina (Emotion)|actual; done; real (adj)
caina; quanda; quanta (Quantity and Number)|whole (adj)
cainella; cainendan|fortnight (n)
cainen; cea; lempe (cardinal, Quantity and Number)|ten (cardinal)
caino|whole (n)
caita-|to lie down; to place (vb)
caitoile; quilde; quille; rue|rest (n)
caivo; quelet|corpse (n)
caiya; ceanya; ceatya|tenth (ordinal)
cai|(lit.) all fingers; ten (cardinal)
cal(l)u-|to illuminate; to light up (vb)
cal-; cala-|to shine (vb)
cala (Physical World)|12 hours; daytime (sunlight); light (n)
cala; cále|morning (n)
calain(e)a|serene (adj)
calaine|serene; serenity (n)
calar|lettuce (n)
calas (kalass-)|brass (n)
calasca; calassina|brazen (adj)
calasse|brilliance; clarity (n)
calca|sickle (n)
calce (kalki-)|brilliant (adj)
cale; lá; lú|day (n)
calenda|daily; of the day; opposite to night (adj)
calende|a special day; festival (n)
calimbarie|barbarity (adj)
calimbo; fandelu; fandor; fandos; fantor; orc; ulban; úvanimo|monster (n)
calimbo|a savage; barbarian; giant; goblin; troll; uncivilized man (n)
calla; casien; casquar(in)|helmet (n)
calleva; callevoite|fair (weather or complexion) (adj)
calle|blue sky; clear sky; fair weather (n)
callo|from off; from on; from on top of; off (adv prep)
calmar (kalmarn-)|child of light (n)
calma|(day)light; candle (n)
calon (kalong-)|(large) bell (n)
calongalan; calongale (kalongaland-)|ringing or jangling of (large) bells (n)
calonga|large bell (n)
calonya-|to peal; to ring (vb)
calpa|bucket; vessel (n)
calta-|to kindle; to set light to (vb)
calumet (kalumett-)|lamp (n)
calume|an (artificial) light (n)
calwa|beautiful; fair (adj)
cama-|to (c. loc.) to endure; to lie down; to suffer (vb)
camanta-; camáta-|to give to eat; to make eat (vb)
camba|bed (n)
cambo; orot; rotl; rótele; sampe; sampo|cave (n)
cambo|cellar; vault (n)
camillo|large poppy (n)
camilot|red clover (n)
camo|ram (n)
campilosse|wild-rose (n)
campin|(wild-rose) berries; hips (n)
campo (*kampu-)|flea (n)
camu-|to bend down; to lay down; to reduce (vb)
can(ta)cainen|forty (cardinal)
cana|young (adj)
cancaiya; canceanya|fourteenth (ordinal)
cancale-malina|(lit.) yellow laughter; daffodil (n)
cancale|laughter (n)
cancea|fourteen (cardinal)
candóla; nóla|crown of head (n)
candóra|bright dawn; red sky in morning (n)
canga-|to spin; to weave (vb)
cangale|web (n)
cangaris; ungwe (kangarist-)|spider (n)
cangavinda|cobweb (n)
canta; nelde|four (cardinal)
cantala-|?to harp (vb)
cantallume|*four times (adv)
cantast(y)a; cantasto|one fourth; quarter (fraction)
cante; cíla; valce|edge (n)
cantele|harping; repetition (n)
cantl|(large) harp (n)
cantóra|*four million (cardinal)
cantóre|quadrillion (cardinal)
canu; núle|lead (n)
canuina|of lead (adj)
canuva|leaden (adj)
canwa|dark red; lurid (adj)
canya|fourth (ordinal)
can|four times (adv)
cap-; capa-; capta-; halta- (Motion and Transportation)|to leap (vb)
cap-; capa-|to jump (vb)
capalima; haloite|leaping (adj)
capalima|bounding (adj)
capalinda|spring of water (n)
capanda|jump (n)
capta- (Emotion)|to startle (vb)
car; nóla (kas-)|head (n)
cara-|to do; to make (vb)
carape|cloak; outer garment (n)
carca-|to snarl (vb)
carcanel|fang (n)
carcapolca; úro|boar (n)
carcapolca|*(lit.) tusk-pig (n)
carcaras; carcasse|row of spikes or teeth (n)
carcara|toothed (adj)
carcasarma|large saw (adj)
carca|fang; tooth; tusk (n)
carco (karku-)|alimentary canel (n)
carda-|to admire; to have affection or respect for (vb)
carina|finished (adj)
carmalin(da)|orange-red; russet (n)
carma|act; deed; fashion; shape (n)
carne; senna|red (adj)
carneambara|*red-breasted (adj)
carneambar|(lit.) red-breast; robin (n adj)
caron|crow (n)
caro|act; action; deed (n)
carp-; carpi-|to pluck (vb)
carpale|a plucking; deceiving; tricking; tugging; wrenching (n)
carpalima; isqualea|clever (adj)
carpalima|tricky; willy (adj)
carpan|hank (of wool etc.) (n)
carwalin|russet (n)
cas (kast-)|head; summit; top (n)
casientule|with helm on (adj)
casondo-; casóro-|to make sit; to set (vb)
casta|cause; motive; ultimate reason (n)
castea|capital; chief; head-; of the head (adj)
cate (kati-)|gleam; ray (n)
catinca|candle (n)
cauca|bent; bowed; crooked; humped (adj)
cauco (kauku-)|humpback (n)
caune; sapsa; sapta|grave (n)
caurea; caurenoina|timid (adj)
caure|fear; timidity (n)
cauta-|to bend (vb)
cav-; cava-; sap-; sapa- (Agriculture and Vegetation)|to dig (vb)
cava- (Emotion)|to bow; to make obeisance (vb)
cay-; caya-|to lie (vb)
ce; ena; tye|that by you (pron)
ce; tye|you (pron)
cea tuxa; minquecainen|one hundred ten (cardinal)
ceacai(li); cecainen|hundred (when not multiplied) (cardinal)
ceallume; cellume|*ten times (adv)
ceatto; ceatya; cesto; cestya|one tenth (fraction)
cecet (kekekt-)|pheasant (n)
cecta|jet; spring (n)
cectecet (kektekett-)|clucking (n)
cectele; ectele; vascelu|fountain (n)
cectelu-|to bubble up (vb)
celeta|trickle (n)
celta-|to draw water (vb)
celu(me)|fountain; spring; stream (n)
celu-; lut-; lutta-; lutu-; siri-|to flow (vb)
celusindi|river (near its source) (n)
cemen; sar|earth; soil (n)
cemi|earth; land; soil (n)
cenqua; cenyeva|sharp (of points) (adj)
cent|a sharp point (n)
ceny-; coli-; irty-; piecta-; pietya-|to prick (vb)
cen|*earth; soil (n)
cere-|to turn (vb)
ceres (kerest-)|earthenware (n)
ceresca; cerexa|of earthenware (adj)
ceresto|potter (n)
cere|earthen jar; earthenware (n)
cetya|*your; 2nd sg. possessive emphatic (adj)
ce|2nd sg. pronoun (pron)
cie; van|path (n)
cilapi; cilapinc|robin (n)
cilapitya-|to chirp (vb)
cilc-|to gather; to reap (vb)
cili-|to heed; to see (vb)
cilince; cilintl|to small bell (vb)
cilincele|jingling of (small) bells (n)
cilintya-|to ring; to tinkle (vb)
cilin|bell (n)
cilti-; hyehta-|to jerk (vb)
cilti-|to tuck (vb)
cilt|tuck (n)
cim-|to heed (vb)
cinca-|to hang (intr.) (vb)
cincata-|to hang (tr.) (vb)
cinda|splinter (n)
circis; ciris (kirist-)|cleft; crack (n)
ciri-|*to sail; to cleave (vb)
cirme|cleft; gully (n)
cirya; lunte|boat; ship (n)
ciryassea|what is on board ship (adj)
cisin|cleft (adj)
citya-|to tickle (vb)
cityale; cityasta|tickling (n)
cityalea|sensitive; susceptible; ticklish (adj)
civ-|*to germinate; to impregnate (vb)
ci|may; particle of uncertainty (particle)
coi; coile; coire; laule; laume; lauste; loa|life (n)
coina|alive; living (adj)
coirea|alive; lively (adj)
coiresta-|to spend one’s life (vb)
coisimatl|animal food (n)
coisimatwa; mimbematwa|carnivorous (adj)
coisiva|animal; bodily (adj)
coite (koisi-)|animal; being; living thing (n)
coito|*life (n)
coiva|awake; lively; living (adj)
coivie|awakening; liveliness (n)
colca|box (n)
colimen|prick (n)
colman|peak; summit (n)
colmecta; tinde|pointed (adj)
colme|point; tip (n)
colosilde|long thin point (n)
colosta|cucumber (n)
coluce|strainer (n)
colume; pulca; pulco; púle|body (n)
colwa; fingwa; lenuva; lenwa|narrow (adj)
colwa; pinque|thin (adj)
condasse|dragon’s lair (n)
condo; fenume; lingwin; lóce|dragon (n)
condor; mordo; ner; ohtar|warrior (n)
condorie|martial ardour (n)
conta-|to pack; to roll; to roll up (vb)
cor; ohta|war (n)
corda|temple (n)
cordon|idol (n)
corima; rinqua; verin(a)|round (adj)
corin|circular enclosure; great circular hedge (n)
cormasta; corne|loaf (n)
corma|cake; lump (n)
cos (kost-)|dispute; legal action; quarrel; the matter disputed (n)
cosar; mahtar (kosard-)|soldier (n)
cosima|debatable (adj)
costa-|to debate; to dispute (vb)
cote (kotsi-)|nut (n)
cotsia; cotsivoite|nutty (adj)
cotsivoite|nut-bearing (adj)
cottule; cotulwe|hazel (n)
culmarin; culurin (kulmarind-)|orange (n)
culmarinda; culurinda|orange-coloured (adj)
culp-|to contain (vb)
culuin (kuluind-)|goldfish (n)
culuina; culuvoite; culuxa; laurea; laurina (kuluvoisi-)|golden (adj)
cululta; culuva|of gold (adj)
culurin|piece of gold (n)
culusta|gold coin (n)
culu|gold (n)
cum-|to pile up (vb)
cumba|burdened; laden (adj)
cumbe; cúme|burden; heap; load; pile (n)
cumpo|pile (n)
cunta|full (adj)
cuo|a pain (n)
cupta-|to hump up; to look lumpy (vb)
cuptulo; ulumpe; ulun|camel (n)
curdu|evil; sin; wickedness (n)
curuni; felusi|witch (n)
curuvar (kuruvard-)|wizard (n)
curu|magic; wizardry (n)
cut (kupt-)|ball; lump (n)
cu|dual 1(b) (pron)
cáma|guilt; responsibility (n)
cá|act; deed; fact (n)
céto; téco|2nd sg. pronoun; you (emphatic) (pron)
cíla; tanda|rim (n)
cólemaina; peren|patient (adj)
cólemaine; perendie|patience (n)
cólema|endurance; hardship; patience (n)
cóleta-|to endure; to last (vb)
cóleva|passive (adj)
cóle|a passive individual; endurance; passivity; patience (n)
cóma|a ball (n)
cómea|globe-shaped; round (adj)
cópas|haven (n)
cópa|bay; harbour; haven (n)
cúne|arch; bow; crescent (n)
cú|crescent moon (n)
die; yenye(n)|yesterday (n)
dienda; yendiéra|(lit.) yesterday’s yesterday; day before yesterday (n)
diéra|(mostly in sense) bygone; over; passed; yesterday’s (adj)
e- (pref)|that by you (pref)
e-; ná-; ó- (vb)|to be (vb)
ea(r); earen|(young) eagle (n)
earen; sornion (earend-)|eyrie (n)
ea|a cry of pain or woe (interj)
eccala; ectala|tomorrow morning (n)
ecce; ehta (Agriculture and Vegetation)|thorn (n)
eccia|thorny (adj)
ectaquilta; exiquilta; macilquilta|swordbelt (n)
ectar; macillar; mectar (ektard-)|swordsman (n)
ectar|hawthorn; thorn (n)
ecte; ehtar; macil; malt (eksi-)|sword (n)
ehta (Warfare and Hunting)|sword-point (n)
ehtar (ehtard-)|swordsman; warrior (n)
ehtaráma|having a wing like a sword (adj)
ehtil|fount; source; spring (n)
elben; elwen; hir; hon; honde; hondo; londa; mecte|heart (n)
elc; elt; esca|spear (n)
eldanyanda|*fairy tale (n)
eldaquetse; eldarisse|in the language of the Eldar (adv)
eldaquet|language of the Eldar (n)
eldasilque|(lit.) elf tress; maidenhair fern (n)
ele-|to come; to drive (vb)
ellume|*one time (adv)
elmenda|wonder; wonderment (n)
elta-|to drive (vb)
elta|a thrust (n)
elte-|to thrust in (vb)
el|one (adj adv)
en(ec)cea|sixteen (cardinal)
en(we); yáma (emb-)|name (n)
en-|to be called (vb)
encen; entan; no; tyen|then (adv)
ence|that by you (emphatic) (pron)
enda; enna|by name; called; named (adj)
ende; enexe; enque (cardinal)|six (cardinal)
endl|plain; vale (n)
eneccainen|sixty (cardinal)
eneccaiya|sixteenth (ordinal)
enecto; enquesto; enquetto|one sixth (fraction)
enectya; enquest(y)a; enquetya|one sixth (adj)
enetya|sixth (ordinal)
ene|look (at what you have)! (interj)
enga; nes; nessele|mead (n)
engetor|fate; hap; luck (n)
enget|a hap (n)
enque (enqi-)|level; plane (n)
enque (prep)|without (prep)
enquellume|*six times (adv)
enquendóra|*six million (cardinal)
enquendóre|*sextillion (cardinal)
enquin; quin; quí; sí|*now (adv)
enqui|this (emphatic) (pron)
enta|that there (emphatic) (pron)
ent|idea; plan (n)
enwa; non(n)o; nua(n); nuo|tomorrow (n)
enyarin|blazon; device; escutcheon (n)
enya|device (method; engine; machine; trick) (n)
enye-|to devise; to plan; to think out (vb)
en|that by you; thereupon (pron adv)
er (adj adv)|a single; alone; one; only (adj adv)
er (adv conj)|but; only; still (adv conj)
er-; har-; manda-|to remain (vb)
erda|deserted; solitary (adj)
ere- (pref)|out (pref)
ere-; tie- (vb)|to go (vb)
erefainu; erevainu|release (n)
eresse (eressi-)|alone; by oneself; only; singly (adv)
eresse; eru (Quantity and Number)|once (adv)
eressea|lonely (adj)
eru (Spatial Relations)|outward (adv)
erumaite|one handed (adj)
erus(ta)|outside (adj n)
erya|only; single (adj)
erúmea|outer; outermost (adj)
es-|*out (pref)
esca; tinda|spike (n)
esta-; tulya-|to send (vb)
est|outwards (adj)
et(t)amíne; tamíne|today (n)
etil; etl|ivy (n)
etta; rendo; resse; réro|cousin (n)
ettani; ettaresse; ettaréndo; ettaréro|female cousin (n)
ettanu|male cousin (n)
ettarendi; ettaresta; rendole|cousinship (n)
ettele|family; kindred (in the wide sense) (n)
ettui|tomorrow night (n)
etya|other (of two) (adj)
etyo|other (of two) (n)
eule|lamb (n)
eulitse|*little lamb (n)
evandilyon|gospel (n)
evandl|Christian missionary (n)
fa-; hwa-|3rd sg. masc. possessive; his (pref)
faica (Emotion)|bad; useless; worthless (adj)
faica; faire; faldi (Social Relations)|free (adj)
faicar|bane; destroyer; slayer (n)
faino|freeman (n)
fainu-|to release (vb)
fairie|freedom (n)
fal(a)toisi; laire|meadow (n)
fal(a)toisi|grassland (n)
falas(se) (falass-)|beach; shore; surf (n)
falasta-|to make a sound like surf; to surge (vb)
falca (Body Parts and Functions)|bare (adj)
falca; hulin; hulqua|naked (adj)
falca; quarda; ulca (Emotion)|bad (adj)
falcasse(a)|bald (adj)
falin|bare; fallow; nude; wild (of land) (adj)
falmarin|sea-fay (male); spirit of the sea foam (n)
falmar|foamcrest; wave (as it breaks) (n)
falma|foam; wave (n)
falmo; hoiye; palasse; poimine; uilosse|foam (n)
falquan|large sword (n)
falqua|(mountain) pass; cleft; ravine (n)
falque|cleft; ravine (n)
famba|belly; fat body (n)
fambo|fat man (n)
fan; huan (huand-)|dog (n)
fandelwa; fandelúva; ulbanima|monstrous (adj)
fandelúvie|barbarity; grossness; immoderation; monstrosity; violence (n)
fando|omen; portent (n)
fange; poa; vanga; velte|beard (n)
fansa|swoon (n)
fanta-|to fall asleep; to go dazed; to swoon (vb)
fantl|dream; hazy notion; imaginary idea; vision (n)
fanwe; olor; olóre|dream (n)
fanórea; fanóriva|absent-minded (adj)
fanóre|day-dream (n)
fara|fell; fur (n)
fas; fatse; pimpilin; quasilla (fats-)|tassel (n)
fascalan; saune|bath (n)
fatsale|(tasseled) fringe (n)
fatsevoite|tasseled (adj)
fauca|fat; large (adj)
fausta-|to get smell of (vb)
fausta|*smell (n)
faustima|*odorous; able to be smelled (adj)
fauta-; niquista-; niquisya-|to snow (vb)
felda|worse; worst (adj)
felu|bad magic (n)
fel|worse; worst (adv)
fen (feng-)|reed (n)
feng-; venta-; vilci-|to cut (vb)
feng; lingwin|serpent (n)
feno; heno (henu-)|poison; venom (n)
fenqua|cutting; keen (adj)
fent|dragon; serpent (n)
filima; filwa|fine; thin (adj)
filimpe; filinque; filque|fern (n)
filma|fine hair; line (n)
filume; filumin|gossamer (adj)
finde; finie|cunning (n)
findil; laxa|tress (n)
findl|lock of hair; tress (n)
fine; pimpevinne|larch (n)
fingil|gulf; narrows; straits (n)
fint; nac|a trick (n)
finwa|acute; sagacious (adj)
fion; hilmo; hilu; ion; vondo; vô; yon; yondo; yó (fiond-)|son (n)
firin (Clothing and Adornment)|necklace (n)
firin (Physical World)|ray of sun (n)
firinga|carcanet; necklace (n)
foalóce|*serpent that guarded a treasure (n)
foa|hoard; treasure (n)
foina; lomba; morwa; pilucca|secret (adj)
foina|hidden (adj)
fui; móri|night (n)
fuiva|*murky (adj)
fuiyáru|deadly nightshade (n)
fum-; muru-|to sleep (vb)
fumella|(red) poppy; *(lit.) flower of sleep (n)
fundu(na)-|?to thunder (vb)
furin; hurin|concealed; hidden (adj)
furu|lie (n)
fustúma|*able to be smelled (adj)
fáse|gap; gulf (n)
fáwe; niquis|snow (n)
fé|(act of) death; last breath; last hour (n)
fóle|a secret; secrecy; stealth (n)
fólima|secretive (adj)
fúmelot|poppy (n)
fúme|(deep) sleep (n)
ha-|*its; 3rd sg. neut. possessive (pref)
haca-|to squat (vb)
hacca|buttocks; the hams (n)
halcin|frozen (adj)
halis; halisce (haliss-)|rush (n)
halme|drawing (n)
haloisi|the sea (in storm) (n)
hamba; hambanoite|on the ground (adj)
hampa-; tantila-|to hop (vb)
han (hamb-)|earth; ground (n)
hanta|a blow with an axe (n)
hant|down; to the ground (adv)
hapta-|to ejaculate; to eject (vb)
