-o|of (suf)
heco|leaving aside, not counting, excluding, except (adv prep)
hecta-|to reject, abandon (vb)
heculo|one lost or forsaken by friends, waif, outcast, outlaw (n)
ho-|away, from, from among (pref)
hor-|to warn, urge (vb)
ho|from (prep)
háda|piled mound, heap (n)
háno|brother (n)
ilpen|everybody (pron)
imbe|gap, gully; low/narrow tract between high walls (n)
indo|a particular will or intention of a person (n)
kampë|*14 (cardinal)
lamba|physical tongue (n)
lambë|language (n)
lanca|sharp edge (not of tools), sudden end (n)
lauda|gluttonous eating (n)
lepempë|15 (cardinal)
lepenya|fifth (ordinal)
lepen|five (cardinal)
leper|finger (n)
lepet|thumb (n)
lepta-|to pick (up/out); to finger, feel with the fingertips (vb)
limpi|light as an ethereal substance (n)
loga|*flood, fenland (n)
logna|soaking wet, swamped (adj)
luinë|blue (adj)
ló|pool, bathing place (n)
lúmë|hour, *time (n)
lúta-|to bow, bend (vb)
lú|bow (n)
mapa-|to take hold of, grasp (vb)
mapa|hand (n)
mascu|mire (n)
mat-|to eat (vb)
matta-|to handle, wield, manage, deal with (vb)
minipë|eleven (cardinal)
minya|first (ordinal)
min|one (cardinal)
má (n)|hand (n)
má (prep)|by (hand of), of agent (prep)
mála|loving, affectionate (adj)
málimë|wrist, (lit.) hand-link (n)
natte|a wounding, a wound (n)
nelet|three (cardinal)
nellepë|middle finger (n)
nelpë|*13 (cardinal)
nelya|third (ordinal)
nentë|fourth finger (n)
neterpë|19 (cardinal)
neterya|ninth (ordinal)
neter|nine (cardinal)
netticë|sister (diminutive) (n)
nettë|(1) honey; (2) sister (diminutive) (n)
nia|my (pron)
nid-|urge, press, force (vb)
nimbi|white (adj)
ni|me, *I (pron)
nápa|thumb (n)
nétha|gay, lively, girlish (adj)
né|ago, behind (earlier time); yes (it was so) (adv)
néþa|sister (n)
nícë|little finger (n)
níde|full vigorous purpose, exertion of will (n)
orotrátho|mountain-climber (suf)
orot|mountain (n)
otospë|17 (cardinal)
otos|seven (cardinal)
ototya|seventh (ordinal)
pai(n)|ten (cardinal)
paianya|tenth (ordinal)
palta-|to feel with the hand, stroke (vb)
parma|book (n)
pen|man, *somebody, *someone (n)
pet-|to tell (vb)
pincë|little-one, baby (n)
plata|flat of the hand (n)
pár|fist (n)
rath-|to climb (vb)
rathumo|climber (professional or habitual) (n)
ratta|a track (n)
resta|sown field, tilled ground (n)
rielle (riell-)|maiden crowned with a festive garland (n)
runga-|to hasten (vb)
ría|wreath, garland (n)
sil-|to shine (vb)
talta-|to slip (down), collapse, fall in ruin (vb)
tancula|clasp, brooch (n)
tassa|index finger (n)
tata|two (cardinal)
tatya|second (ordinal)
telpe (telep-)|silver (n)
telperin|like silver (in hue or worth) (adj)
tollë|*sticker-up (n)
tolmo|thumb (n)
tolodya|eighth (ordinal)
tolot (tolod-)|eight (cardinal)
tolpë|18 (cardinal)
uba-|it is on my mind that it will happen, I feel sure it will happen (vb)
ubra|near, close by (adj)
ubrie|nearly, almost (adv)
urus (urust-)|copper (n)
vo-|together (pref)
vola|a roller, long wave (n)
vomentië|meeting of ways (n)
winicë|little-one, baby (n)
ye|and (pairs) (conj)
yúnecë|twelve (cardinal)
él|star (n)
órë|heart (inner mind) (n)
úbië|nearby region(s), neighborhood, district (n)
þarma|left-hand (n)
