(a)larca|rapid; swift (adj)
Menelya|Heavens-day; *Wednesday (n)
Metelairë|August; *(lit.) End-summer (n)
Meterrívë|January; *(lit.) End-winter (n)
Narquelion|Autumn; Fire-fading (n)
Narquelië; Nóquellë|October (n)
Narvinyë|January; *New-fire (n)
Nendessë|February; *Wet-ness (n)
Norrívë|December; *After-winter (n)
Nárië|June; *Fire-ness (n)
Nócoirë|March; *After-stirring (n)
Nólairë|*After-summer (n)
Nóquellë|*After-autumn (n)
Nótuilë|May; *After-spring (n)
Quenderin|Quendian (adj n)
Quendya|Elvish (n)
Quenya|Elf-latin; Elfspeech; Elvish (Tongue); Quendian; belonging to the Qendi (n)
Rana|Moon; (lit.) Wayward (n)
Ringarë|December; *Coldness (n)
Súlimë [þ]|March (n)
Tuilëar|Springdays (n)
Tárinar|*alternate name of Valanya (n)
Valarya|Vala-day; *Friday (n)
Vala|God; Power (n)
Vanimo|Fair Folk; The Beautiful (n)
Víressë|April; *Freshness (n)
Yavannië|September; *Yavanna-ness (n)
aha|rage (n)
ahto|maker; wright (n)
ahtumat|supper (n)
aiano|stranger (n)
aica; laica|sharp (adj)
aicalë; antaro; mintyë|peak (n)
aicassë|mountain peak (n)
ailin|lake; pool (n)
aina|holy (adj)
aiqua|steep (adj)
aira|copper-coloured; red; ruddy (adj)
airen; airë; vëa; ëaren|sea (n)
aista-|to dread (vb)
aiwë|(small) bird (n)
ai|maybe; suppose; supposing (adv)
al(a)-|negative prefix; not (pref)
al-|to thrive (vb)
ala-|to grow (vb)
ala; arë|day (n)
alaco|rush; rushing flight; wild wind (n)
alalmë; lalmë|elm-tree (n)
alan; arië|daytime (n)
alaninquitálima|that cannot be made white (again) (adj)
alanwa|adult; fully grown; mature (adj)
alassë|joy; merriment (n)
alat-|great in size; large (pref)
alcar(e)|brilliance; radiance (n)
alcarinqua|glorious; radiant (adj)
alca|ray of light (n)
alcárima|impossible to make (adj)
aldarwa|having trees; tree-grown (adj)
alda|tree (n)
alfárima|impossible to pursue (adj)
alfírima; ilfirin|immortal (adj)
alistima|secret; unknowable (adj)
alla|hail! (interj)
almarë; almië|blessedness; blessings; bliss; good fortune (n)
alma|good fortune; weal; wealth; *well-being (n)
almárëa; alya; herenya; mána|blessed (adj)
alqua|swan (n)
alquettima|unutterable (adj)
alta-|to (make) grow (vb)
altancanta-|to become unfixed (vb)
alta|great in size; large (adj)
alwara|useless; *worthless (adj)
alwa|well-grown (adj)
alya|abundant; prosperous; rich (adj)
alómëa; ómalóra|voiceless (adj)
am(ba)penda|uphill (adj)
am-|up (pref)
aman; nútë; vérë|bond (n)
amatixë|dot or point placed above the line of writing (n)
ama|up (adv)
ambal|flag [stone]; shaped stone (n)
ambalë|yellow bird; yellow hammer (n)
ambar (ambart-)|fate (n)
ambarónë|Orient; sunrise; uprising (n)
amba|up(wards) (adv)
ambo; taras (tarass-); tundo (tundu-)|hill (n)
ambon|hill-side; upward slope (n)
ambor|breast (n)
amil; ammë|mother (n)
ammalë|yellow bird; ‘yellow hammer’ (n)
ampana-; ampanóta-; car-|to build (vb)
ampanotalëa|architectural (adj)
ampanotastë|architecture (n)
ampano|building (especially of wood); construction; edifice; wooden hall (n)
ampanóta-|to construct; to erect a (large) building (vb)
ampa|crook; hook (n)
ampendë|upward slope (n)
an(a); na|to; towards (prep)
an(ner)|at hand (adv)
an-|intensive prefix (pref)
ana-|to; towards (pref)
ananta|and yet; but yet (conj)
anarórë|sunrise (n)
anca|jaw; row of teeth (n)
andalúmë|for a long while (adv)
andamunda|elephant (n)
andatehta|long mark (n)
andatelco|long leg; long stem (n)
andavë|*long (adv)
anda|long (adj)
ando (adv)|long (adv)
ando (n)|door; gate (n)
andon (andond-)|great gate (n)
andul|long pole (n)
andólama|long consonant (n)
andúnë|sunset (n)
angaina|of iron (adj)
anga|iron (n)
ango (angu-)|dragon; snake (n)
angulócë; lungu; lócë (lóci-)|dragon (n)
anna|gift (n)
anqualë|*death agony (n)
anta-|to give (vb)
antaro|high mountain (n)
anta|face (n)
anto; assa; pé|mouth (n)
anto|giver (m.) (n)
antë|giver (f.) (n)
anwa|actual; real; true (adj)
apsa-; auta-|to go away (vb)
apsa|cooked food; juice; meat (n)
ar-|beside; outside (pref)
aran (arn-); seldo|child (n)
aran; haran; tár|king (n)
aranaitë|royal; *kingly (adj)
aranyallë|*kingdom (n)
araníë|kingship (n)
arat (arac-)|weed (n)
ara|beside; outside (prep)
arca|narrow (adj)
arda|realm; region (n)
arinya|early; morning (adj)
arin|morning (n)
armar|goods (collective-noun)
arta|fort; fortress (n)
artuilë|dayspring; early morn (n)
arwa|having; in control of; possessing (adj suf)
arya|day (twelve hours) (n)
aryon; hildë (hildi-)|heir (n)
ar|and; but (conj)
ascat-; saccat-|to break asunder; to rend (vb)
assa|hole; opening; perforation (n)
asto (astu-)|bone (n)
asto; mulo (mulu-)|dust (n)
astula|bony (adj)
asëa [þ]|*healing herb (n)
asëa aranaitë [þ]|*kingsfoil (n)
at(a)-|again; back; re- (pref)
atalta-|to collapse; to fall down; to fall in; to slip down in ruin (vb)
ataltarë|collapse (n)
ataquë|building; construction (n)
atar|father (n)
ata|again; *(lit.) a second time (adv)
atintila-; tintila-|*to sparkle (vb)
atsa (Clothing and Adornment)|fringe; fryse; tassel (n)
atsa (Spatial Relations)|catch; claw; hook (n)
atta|two (cardinal)
atto|father (hypocoristic) (n)
attul-|to come back; to return (vb)
atwa; tanta|double (adj)
au(ve)|might (have); would (have) (adv)
au-; ava-|without (pref)
aulë|invention (n)
auta-|to devise; to invent; to originate (vb)
avahaira|very remote; *far beyond (adj)
avanótë|numberless; without number (adj)
avaquet-|to forbid; to refuse (vb)
ava|beyond; exterior; outer; outside (adv adj)
axa|edge; narrow path; ravine (n)
a|indefinite subject; it; one (pron)
cacarra-|to keep on doing (vb)
caila|bedridden; lying in bed; sickness (adj)
caimasan (caimasamb-) [þ]|bedchamber (n)
caimassë; lívë; quámë|sickness (n)
caimassëa|bedridden; sick (adj)
caimassë|lying in bed (n)
caima|bed (n)
cainen|ten (cardinal)
caita-|to lie (vb)
cala; calma|light (n)
calarin(a)|*brilliant (adj)
calima|*bright (adj)
calina|light (adj)
callo|hero; noble man (n)
calma; calumet (calumett-)|lamp (n)
calmatéma|k-series (n)
calpa-|to bale out; to draw water; to scoop out (vb)
calpa|bucket; water-vessel (n)
calta-|to (cause to) shine; to kindle (lamp etc.); to light up (vb)
calya-|to illuminate (vb)
cambë|hollow (of hand) (n)
camparu|?flea (n)
canta (cardinal)|four (cardinal)
canta (n adj)|frame; shape; shaped (n adj)
canta-|to shape (vb)
cantelë; lindalë|music (n)
cantëa|shapely (adj)
canya|bold; wise (adj)
cap-|to leap (vb)
capsa; cas (caps-)|case; vessel (n)
capta-|to make spring; to scatter (vb)
car (card-) (Dwelling and Furniture)|building; house (n)
car (card-) (Physical Acts and Materials)|deed (n)
car-|to do; to make (vb)
caraitë (caraiti-); caramaitë|able to make; craftsmanlike; crafty; handy; skilled (adj)
caranya-|to make red; to redden (vb)
carastë|construction; making; manufacture (n)
caraxë|jagged hedge of spikes (n)
carca; nelcë; nelet (nelc-); nelë (nelc-)|tooth (n)
carcanë|row of teeth (n)
carina|made (adj)
carino-|to get finished/made (vb)
carië|making (n)
carnë (carni-)|red (adj)
cas; cár (cas-)|head (n)
cassa; harna; harpa|helmet (n)
cas|towards the top; upwards (adv)
cata|after (prep)
cato|afterwards (adv)
cav-|to be able (vb)
celma|channel (n)
celu-|to (begin to) flow; to spring forth (of water) (vb)
celulindë (celulindi-); tuilë|spring (n)
celumë|flow; stream (n)
celurë|fountain (n)
celustë|outflow (n)
celut; siril|rivulet (n)
celya-|to rain; (lit.) to send running down (vb)
cemen|Great Lands; earth; soil (n)
cemnaro; centano|potter (n)
cemna|earthen; of earth (adj)
cen-; cenya-|to see (vb)
cesta-|to ask (vb)
chus-|to come up; to emerge (vb)
cilya|chasm; cleft; gorge; pass between hills (n)
cim-; hir-; tuv-|to find (vb)
circa|sickle (n)
cirissë|gash; slash (n)
ciryahto|shipwright (n)
ciryasta-|to sail (vb)
cirya|boat; ship (n)
ciuca; nöa; tiuco; tyúca|thigh (n)
coirë|Stirring (n)
coita-|to be alive; to have life; to live (vb)
colma|ring (?on finger) (n)
corco|crow (n)
corin|circular enclosure (n)
corna|globed; round (adj)
coromindo|cupola; dome (n)
coron (corn-)|ball; globe (n)
costa-|to quarrel (vb)
cotumo; untamo|enemy (n)
cotya|hostile (adj)
cucua|dove (n)
cucumba-|to nod repeatedly; (lit.) to keep on bowing (vb)
cuilë|being alive; life (n)
cuina|alive (adj)
cuivië; cuivë|awakening (n)
cuivëa|wakening (adj)
culda; culina|flame-coloured; golden-red (adj)
cullo|red gold (n)
culo; nár(e)|flame (n)
culuina|golden; of gold; orange (coloured) (adj)
culuma|orange [fruit] (n)
culu|gold (metal) (n)
cumba|*bellied (adj)
cumbë|heap; mound (n)
cumna; lusta|empty (adj)
cunduina|of princes; princely (adj)
cundu|prince (n)
curwë; tanwë|craft (n)
cuv-|to bow (vb)
cáno|chief (n)
cánë|valour (n)
cárima|able to be made; feasible (adj)
cáro; tyaro|actor; agent; doer (n)
cén (cem-)|earth; soil (n)
cénima|able to be seen; visible (adj)
cë|you (sg) (pron)
cóma|*ball (n)
cúma|void (n)
cúvima; cúvula|flexible (adj)
cúvula; maxa|pliant (adj)
cú|bow (n)
eccaira|?out-far (adj)
eccoita-|to awake (vb)
ecco|point; spine; thorn (n)
ef-|to emerge (especially from water) (vb)
ehta-|to stab (vb)
ehtelu-|to bubble up; to well (vb)
ehtelë|issue of water; spring (n)
ehtyar|spearman (n)
ehtë (*ehti-)|spear (n)
elen; elena; ellen; él|star (n)
ella|for you; of you (pron)
ellë|2nd pl emphatic (pron)
ellöa|next year (n)
en (end-); es|far away; in that (future) case; look yon(der); that; there; yonder (pron adv)
enar|tomorrow (n)
encë|spear point (n)
ender|bridegroom (n)
endë|centre; core; middle (n)
enga|save; *except (prep)
engwa; laiwa|sickly (adj)
engë|ago; once (in past); †it was (adv)
enna; esta; inga|first (adj)
enna|fact (n)
ennië|person (female); *being (female) (n)
enno|person; *being (n)
ennë|purpose; thought (n)
enquë|six (cardinal)
enta|that yonder; then (fut.) (pron adv)
enwa|existent; fact; real; true (adj n)
enya|middle (adj)
enyárë|in that day (adv)
erca-; nasta-|to prick (vb)
ercassë; ercë|holly (n)
erca|prickle; spine (n)
erdë (Agriculture and Vegetation)|germ; seed (n)
erdë (Spatial Relations)|repose (n)
eressëa|lonely (adj)
eressë|solitude (n)
erumë|desert (n)
erya|only; single; sole (adj)
er|alone; one (adj adv)
escë|noise of leaves; rustle (n)
essë (Language and Music)|name (n)
essë (Time)|beginning (n)
essë; men|place (n)
essëa (Quantity and Number)|?primary (adj)
essëa (Spatial Relations)|in place; local (adj)
esta- (Language and Music)|to name (vb)
esta- (Spatial Relations)|to place; to plant; to set (vb)
esta- (Time)|to precede (vb)
estaina|named (adj)
et-|forth; out (pref)
etsir|mouth of a river (n)
etsë|exterior; outside (n)
etta|his (pron)
ettelëa|foreign (adj)
ettelë|foreign parts; outer lands (n)
ettul-|to come out; to issue; *to come forth (vb)
ettë (adj adv)|outside (adj adv)
ettë (pron)|he (emphatic) (pron)
etya|exiled (adj)
et|out of (prep)
fafarra-|*to keep on hunting (vb)
faica|contemptible; mean (adj)
faina-|to emit light (vb)
fairë (Body Parts and Functions)|natural death (as act) (n)
fairë (Sense Perception)|radiance (n)
falassë; fára|beach (n)
fallë; vingë|foam (n)
falmar(in) (falmarind-)|nymph; sea-spirit (n)
falma|(crested) wave (n)
fanga|beard (n)
fanya|sky; white (n adj)
fara-|to hunt (vb)
faralë; farastë; roimë|hunting (n)
farastëa|of the chase (that it is proper to hunt); *of prey (adj)
farastë|the chase (n)
faren|enough (adv)
farina|fugitive; hunted (adj)
farino|fugitive; hunted man; outlaw (n)
farma|?carpet (n)
farmë; fárë|all that is wanted; plenitude; sufficiency (n)
farna|prey; quarry (n)
farnë|foliage (n)
farya-|to suffice (vb)
fas (fass-)|border; fringe (n)
fassë|shaggy lock; tangled hair (n)
fasta- (Body Parts and Functions)|to tangle (vb)
fasta- (Emotion)|to please (vb)
fasta|pleased (adj)
fauca|parched; thirsty; (lit.) open-mouthed (adj)
felya; rondo; rotto|cave (n)
fenda|threshold (n)
feren (fern-); fernë|beech-tree (n)
ferinya|beechen (adj)
ferna|beechnuts; mast (n)
feuya-|to abhor; to feel disgust at (vb)
filet (filec-); línë|cobweb (n)
filincë|*finch (n)
filit (filic-)|small bird; sparrow (n)
findë|braid of hair; tress (n)
finë|larch (n)
fion (fiond-)|?hawk or haste (n)
fir-|*to fade (vb)
firin|dead (by natural cause) (adj)
firya|human (adj)
firë|mortal man (n)
formaitë|dexterous; righthanded (adj)
formenya|northern (adj)
formen|north; right hand (n)
fortë (forti-)|right or north (adj)
forya|dexter; right (hand) (adj)
fuinë|deep shadow (n)
fána|cloud; white (adj n)
fára|shore (n)
fárëa|enough; sufficient (adj)
fëalócë|spark-dragon (n)
fírima|mortal (adj)
fírimárë|mortality; the state of being mortal (n)
hahta|(piled) mound; heap; pile (n)
haimë|habit (n)
haira|far; remote (adj)
haiya; háya|far away; far off (adv)
halatir(no) (halatirn-)|kingsfisher; (lit.) fish-watcher (n)
hala|(small) fish (n)
halda; halla; tunda|tall (adj)
halda|hidden; shadowed; shady; veiled (adj)
halla|naked (adj)
halma; helma|fell; skin (n)
halya-|to conceal; to screen from light; to veil (vb)
ham-|to be situated in; to sit (down) (vb)
hamma; handa|chair (n)
hamu-|to sit down; to take a seat (vb)
hanaco; norsa [þ]|giant (n)
hana|post (n)
handassë|intelligence (n)
handa|intelligent; understanding (adj)
handelë|intellect (n)
hando|agent (male) (n)
handë|knowledge; understanding (n)
hanuvoitë|*masculine (adj)
hanu|male; male animal; man (of Men or Elves) (n)
hanwa|male (adj)
hanya-|to be skilled in dealing with; to know about; to understand (vb)
har-|to abide; to dwell; to reside; to sit (vb)
haran|chieftain; lord or king of a specified region (n)
harda|realm (n)
harma; huan (hún-)|hound (n)
harma; narmo [ñ-]; ráca|wolf (n)
harma|treasure; treasured thing (n)
harmen|south (n)
harna-|to wound (vb)
harna|wounded (adj)
haro|hawk (n)
harwë (Body Parts and Functions)|wound (n)
harwë (Possession and Trade)|treasure; treasury (n)
harya-|to possess (vb)
haryon|prince (heir) (n)
hat (haht-)|comb; crest; ridge (n)
hat- (Motion and Transportation)|to through[?] down[?] (vb)
hat- (Physical Acts and Materials)|to break asunder (vb)
hauta-|to cease; to stop; to take a rest (vb)
ha|it; subjective abstract particle (pron)
helca|ice-cold (adj)
helcelimbë|*icicle; (lit.) ice-drop (n)
helcë|ice (n)
helda (Body Parts and Functions)|naked; stripped bare (adj)
helda (Emotion)|friendly; having love (for) (adj)
heldo; heldë; helmo; málo; nilmo; sermo; seron; sondo|friend (n)
helen (helem-)|icicle (n)
hellë|frost; sky (n)
helmë; nilmë|friendship (n)
helor|frost (n)
helwa|(pale) blue (adj)
helyanwë|rainbow; (lit.) sky-bridge (n)
hen (hend-); yé|eye (n)
henulca|*evil-eyed (adj)
herenya|fortunate; rich; wealthy (adj)
heren|fortune; (lit.) governance (n)
heri; nissa|lady (n)
heru|lord; master (n)
hesto|captain (n)
hilya-|to follow (vb)
him-; himya-|to adhere (vb)
himba|adhering; sticking (adj)
himya-|to abide by; to cleave to; to stick to (vb)
himítë (himíti-)|able to stick on; clinging (adj)
hinna|still (adv)
hiswa [þ]; sindë (sindi-) [þ]|grey (adj)
hiswë [þ]|fog (n)
hiuta-|to hint (vb)
hlasta-|to hear (vb)
hlic-|to creep (vb)
holmo|from the middle (adv)
holmë; olmë; xenna|odour (n)
hondo|*hearted (adj)
hont|inwards (adv)
hopassë|harbourage (n)
hora-|to wait for (vb)
hormë|urgency (n)
horro; orro|ugh; alas!; ow! (interj)
horta-; lhit-|to speed (vb)
horta-|to send flying; to urge (vb)
hortalë|speeding; urging (n)
horya-|to be compelled to do something; to have an impulse; to set vigorously out to do (vb)
hos (host-); hosto|assembly; crowd (n)
hosta-|to collect (vb)
hosta|large number (n)
ho|from (prep)
hrívë|winter (n)
huinë|deep shadow; nightshade (n)
humpë|in the middle (adv)
huo|dog (n)
hu|howl (n)
hwan (hwand-)|fungus; sponge (n)
hwarin; raica; rempa|crooked (adj)
hwarma|crossbar (n)
hwesta-|to puff (vb)
hwesta|breath; breeze; puff of air (n)
hwindë|eddy; whirlpool (n)
hwinya-|to eddy; to gyrate; to swirl (vb)
hyalma|conch; horn of Ulmo; shell (n)
hyanda|a throng; crowd (n)
hyando|cleaver; hewer (sword) (n)
hyanna; hyarna|compact; compressed (adj)
hyapat|shoe (n)
hyar-|to cleave (vb)
hyarmaitë|left-handed (adj)
hyarmenya|southern (adj)
hyarmen|left hand; south (n)
hyarya|left (hand) (adj)
hyatsë|cleft; gash (n)
hyellë; maril|glass (n)
hyóla|trump (n)
héra|chief; principal (adj)
hë; intin; toi|they (pron)
hísë (hísi-) [þ]|fog; mist (n)
hó; yello|shout (n)
hón (hom-)|heart (physical) (n)
hópa|harbour; haven; small landlocked bay (n)
hórëa|impulsive (adj)
hórë|impulse (n)
hún (hun-); mar (mar(d)-)|earth (n)
húna-|to howl (vb)
i; in; sa; ta|that (pron)
ia; oi; voro|ever (adv)
ialë; oialë|everlasting age (n)
il-|no; not (pref)
ilduma|heaven (n)
illumë; íqua; í|when; whenever (conj)
ilqua|all; everything (n)
ilu|universe; world (n)
ilya|all; the whole (adj)
ilúvë|Heaven; universe; world (n)
imbë (adv)|in(wards) (adv)
imbë (n)|deep vale; dell; glen; ravine (n)
inca; intya; nó (nów-); nöa|idea (n)
indis (indiss-)|bride (n)
indo|heart; mood (n)
indyalmë; yalmë|clamour (n)
indyo|descendant; grandchild; grandson (n)
ingolë|deep lore; magic (n)
inimeitë|*feminine (adj)
intya-|to guess; to suppose (vb)
intyalë; nausë [þ]|imagination (n)
intya|guess; notion; supposition (n)
inya (adj)|female (adj)
inya (pron)|*mine (pron)
inyë|I (emphatic) (pron)
issë|where (conj)
ista-|to know (vb)
ista; istarë; istya|knowledge (n)
istalima|ascertainable; knowable (adj)
istima|having knowledge; learned; wise (adj)
istyar|learned man; lore-master; scholar; wizard (n)
i|the (article)
lah-|to kick (vb)
laica|acute; keen (adj)
laicë|acuteness; keenness of perception (n)
laimë|shade; shadow (cast by an object or form) (n)
laiqua; venya|green (adj)
laira|shady (adj)
lairë (Language and Music)|poem (n)
lairë (Time)|summer (n)
laita-|to praise; to ?live (vb)
laitë|colour (n)
laivë|ointment (n)
laiwa|ill; sick (adj)
lai|very (adv)
lala-|to deny (vb)
lala; lá|no; not (adv)
laman (lamn-)|tame beast (n)
lamba; lambë; quetil|tongue (n)
lamba; namba|hammer (n)
lambë; questa; quetil|language (n)
lamma|sound (n)
lamya-|to sound (vb)
lanat|weft (n)
lanco; lango|throat (n)
landa; lanna; palar|plain (n)
landa; palla|wide (adj)
lango|broad sword; prow of a ship (n)
lannë|cloth; tissue (n)
lanta-; talta-|to fall (vb)
lanta|fall (n)
lanwa|loom (n)
lanya-|to weave (vb)
lapsa-|to lick (frequentative) (vb)
lapsa|gluttonous eating; licking up (food or drink) (n)
lapsë|babe (n)
larma|flesh; (?pig-)fat (n)
lar|fat; riches [richness?] (n)
lassecanta|leaf-shaped (adj)
lasselanta|October; autumn; leaf-fall (n)
lassë|leaf (n)
lasta-|to hear; to listen (vb)
lasta|hearing; listening (n)
lat-|to be extended; to be situated (of an area); to lie (of lands or regions); to stretch (vb)
latimbë|glen (n)
latina|cleared (of land); free; open (adj)
latta (Clothing and Adornment)|strap (n)
latta (Spatial Relations)|hole; pit (n)
lau(me)|no; no indeed not; on the contrary (adv)
lauca|warm (adj)
laurëa|*golden (adj)
laurë|gold (n)
lauta-|to abound (vb)
lav- (Body Parts and Functions)|to lick (vb)
lav- (Social Relations)|to allow; to grant; to yield (vb)
lavaralda|tree with long green leaves with golden undersides and pale flowers with a yellow flush (n)
lavar|*(golden) blossom (n)
lehta-; lenca-|to loose; to slacken (vb)
lemba|left behind (adj)
lemnar|(Valarin five-day) week (n)
lempë|five (cardinal)
lemya-|to remain; to tarry (vb)
lenda-|to linger (vb)
lenna-|to come; to depart; to go (vb)
lepsë; let (leps-)|finger (n)
lepta|*fingered (suf)
lesta-|to leave (vb)
lesta|measure (n)
lesto (lestu-)|journey (n)
liantë|spider (n)
lia|fine thread; spider filament (n)
lihlicca-|to sneak about (vb)
lilta-|to dance (vb)
lilótimë|*many-flowered (adj)
limba|drop (n)
limpë|drink of the Valar; wine (n)
lin- (pref)|many (pref)
lin- (vb)|to sing (vb)
linda|beautiful (of sound); fair (adj)
lindornëa|having many oaks (adj)
lindo|singer; singing bird (n)
lindë; linya; nendë|pool (n)
lindë|air; tune (n)
linga- (Language and Music)|to ring; to twang (vb)
linga- (Motion and Transportation)|to dangle; to hang (vb)
lingwilócë|fish-dragon; sea-serpent (n)
lingwë (lingwi-)|fish (n)
linquë (linqui-); mixa|wet (adj)
lintyulussëa|having many poplars (adj)
linwë|short lay (n)
linyenwa|having many years; old (adj)
lipsa|soap (n)
lir-|to chant; to sing (vb)
liri|finch (n)
liru-|to sing (gaily) (vb)
liruima|able to be sung (adj)
lirulë|merry song (n)
lirustëa|fit for singing; to be sung (adj)
lirustë|chant; singing (n)
lis (liss-)|honey (n)
liscë; rí|reed (n)
litsë|sand (n)
lië|folk; people (n)
londë|entrance to harbour; fairway; gulf; road (in sea) (n)
lopotun; lopotundo (lopotundu-)|rabbithole (n)
lopo|rabbit (n)
lor-|to sleep (vb)
lorna|asleep (adj)
lossë|(white) blossom; flower (n)
loxë|hair (n)
lu-|to be heavy; to be sad (vb)
luhta-|to enchant (vb)
luina; malwa; marya; sindë (sindi-) [þ]|pale (adj)
lumba|weary (adj)
lumbë|gloom; shadow (n)
lumenyárë|*history (n)
lumna-|to be heavy; to lie heavy (vb)
lumna|burdensome; lying heavy; ominous; oppressive (adj)
lunga|fraught; heavy (adj)
luntë|boat (n)
luppo (luppu-)|clumsy piece or lump (n)
lussa-|to whisper (vb)
lussë|whispering sound (n)
lusta|void (adj)
lá-; um-|to not be (vb)
láma|echo; ringing sound; sound (n)
lámina|echoing (adj)
lár-|to happen (vb)
lára (adj)|flat (adj)
lára (n)|grave (n)
lár|ear (n)
lárëa|fat; rich (adj)
lá|(?please) (interj)
lë (prep)|by; with (prep)
lë (pron)|you (pron)
lëo|shade; shadow cast by any object (n)
ló (n)|a night; night (n)
ló (prep)|ablative element (prep)
lómelindë; morilindë|nightingale (n)
lómë (lómi-)|gloom; night; night-time; shades of night (n)
lóna; morë (mori-); nulla|dark (adj)
lóna|island; remote land difficult to reach (n)
lórë|slumber (n)
lótë|(large single) flower (n)
löa; yén|year (n)
lúcë|enchantment (n)
lúmequentalë; nyárë; quenta; quentalë; quentassë|history (n)
lúmequentalëa|historical (adj)
lúmequenta|chronological account; history (n)
lúmië; yénië|annals (n)
lúmë|hour; time (n)
lúnë (lúni-)|blue (adj)
lúpë|plume (n)
lú|occasion; time (n)
macal; macil|sword (n)
macar|tradesman (n)
mahta-|to deal with; to feel; to fight; to handle; to stroke; to treat; to wield; to wield a weapon (vb)
mahtar; ohtacáro; ohtatyaro; vé|warrior (n)
mailëa|lustful (adj)
mailë|lust (n)
maitë (maisi-)|handy; skilled (adj)
maiwë|gull (n)
malca|how great (adj)
malda; malta|gold (as metal) (n)
malina|yellow (adj)
mallo|whence (adv)
mallë|(made or stone) road; street (n)
malo (malu-) (Agriculture and Vegetation)|pollen; yellow powder (n)
malo (malu-) (Physical Acts and Materials)|rust (n)
malwa; marya|fallow (adj)
mammata-|to devour; to gobble up; to gorge (vb)
manar; mandë|doom; fate; final bliss; final end; fortune (n)
mana|who (pron)
manca-|to trade (vb)
mancalë|commerce (n)
manda|prison; *duress (n)
mandos|doomsman; judge (n)
mandu; turo|lord (n)
manima|of what kind; of what sort (adj)
manna|whither (adv)
manu|departed spirit (n)
man|what (pron)
mapa-|to grasp; to seize (vb)
mar (mar(d)-)|dwelling; habitation; home; house (n)
mar(dar)|homewards (adv)
mar-|to abide (vb)
maranwë|destiny (n)
maril|crystal (n)
marrë; maryë|at home (adv)
marta (adj n)|fate; fated; fey (adj n)
marta (adv)|home (adv)
martya-|to destine (vb)
marya|fawn [light yellowish tan colour] (adj)
massë (adv)|where (adv)
massë (n)|handful; just portion (in distribution); measure or capacity (of a person); share (n)
masta-|to bake (vb)
masta|bread (n)
mat (matt-)|food; meal (n)
mat-|to eat (vb)
matië|eating (n)
mattima|edible (adj)
maurë|need (n)
mausta|compulsion (n)
mauya-|to compel (vb)
maxa; milya|soft (adj)
maxo|mire; sticky substance (n)
maxë|dough; meat (n)
ma|interrogative particle (adv)
mel-|to love (as friend) (vb)
melda|beloved; dear; sweet (adj)
meldo|(friend); lover (n)
melima|fair; loveable (adj)
melin; moina; sonda|dear (adj)
melindo|lover (m.) (n)
melissë|lover (f.) (n)
