(a)moth; both|fen; marsh (n)
er; ereb; îr|*alone (adj)
ereb|single (adj)
ereg|holly; thorn (n)
ero|alone; *only (adv)
ertha-|to unite (vb)
eryn|forest (of trees); wood (n)
er|one (adj)
esbin|thin thread; tress (n)
esgal|cast shadow; hiding; screen; shade; veil (n)
est; eth; is|3rd sg. pronoun; she (pron)
esta-|to call (vb)
estel|hope; trust (n)
esten(t); thenn; thent|short (adj)
estola-|to encamp; to *erect tents (vb)
estolad|encampment (n)
ethir (Physical World)|mouth of a river; (lit.) outflow (n)
ethir (Sense Perception)|spy (n)
ethuil; tuil|spring (n)
fael (adj)|fair-minded; generous; just (adj)
fael (n adj)|gleam of the sun; *gleaming (n adj)
faen|[disembodied] spirit; vapour (n)
faer|spirit (in general) (n)
fae|incarnate spirit (n)
fain|(vague) apparition; cloud; dim; dimmed; filmy; fine-woven; shimmering; shining; white; white and shining [thing] (adj n)
fair|prompt; quick; ready (adj)
falas|beach; shore; strand; surf(line) (n)
falch|ravine (n)
faloth|large foamy wave (n)
fang|beard (n)
fanna-|to cloak; to veil (vb)
fanui|cloudy; (lit.) having much cloud (adj)
fanwos|mind-picture (of apparition in dream) (n)
faran|rowan (n)
faroth|*hunting (n)
faug|gape (adj)
faw|puff of breath; *breath (n)
felagund|badger; brock; den-dweller (n)
fela|boring; den; mine; minor excavations; tunnel; underground dwelling (n)
feleg|cave; mine; underground dwelling (n)
fen(n)|door (n)
fennas|doorway; gateway; great door (n)
fergar|soon done (adj)
fergenol|quick to see or perceive; sharp-sighted or witted (adj)
feria-|to make ready (promptly) (vb)
fern|dead (n adj)
ferui|(quickly) available; ready to hand (adj)
fim|slender; slim (adj)
find; finn|single hair; tress (n)
fineg; fing|lock of hair (n)
finnel|fax; having fine or beautiful hair; head of hair; mass of long hair (n adj)
fir-|to fade; to *die (vb)
firin; fíreb|mortal (adj)
firin|dying (adj)
firith|[late] autumn; fading (n)
flinc|finch (n)
flâd|skin (n)
foen|long sight (n)
for-|north (pref)
forn; fuir|north (adj)
forod|north (n)
forvo|right hand; right side (n)
fuin|darkness; gloom; night (n)
fân|(white) cloud; curtain; form or vision of a spiritual being; spirit [embodied]; veil (n)
fîn|(single) hair; filament (n)
fû; râd|path (n)
gaearon|ocean; (lit.) great sea (n)
gaer|awful; fearful (adj)
gail|silver spark (n)
gal- [ng-]|to shine clear (vb)
gala-|to grow (vb)
galad [ng-]|bliss; brightness; fire; glittering reflection; light; radiance; shining (n)
galadhremmen|tree-meshed (adj)
galadh|tree (n)
galenas|nicotiana; pipeweed; *tobacco (n)
galvorn|type of dark metal devised by Eöl; *(lit.) shining-black (n)
gamp|crook; hook (n)
gardh; gwaith|region (n)
gaur [ng-]|werewolf (n)
gelir|merry (adj)
genedia-|to reckon (vb)
genediad|reckoning (n)
geria-|to ponder (vb)
gil [ng-]|(bright) spark; silver glint; star; twinkle of light (n)
gill|star (n)
gir-|to shudder (vb)
girith|shuddering (n)
glad; taur|wood (n)
gladh-; lala-|to laugh (vb)
glae(gal)|light (as an ethereal substance) (n)
glaer; narn|tale (n)
glae|grass (n)
glamog|orc (n)
glam|din; the confused yelling and bellowing of beasts; uproar (n)
glan(n); taeg|boundary (n)
glandagol|boundary mark (n)
glathralvas|flashing glass/crystal; *heliograph (n)
glaur|gold [light or colour] (n adj)
glawar|gold (light or colour) (n)
glaw|sunshine (n)
gleina-|to bound; to enclose; to limit (vb)
glenna-|to travel (vb)
glim|voice (n)
glind; glinn; laer; lind; linn|song (n)
glintha-|to glance (at) (vb)
gloss|(dazzling) white (adj)
glosui|snow white (adj)
glân; nim; nimp|white (adj)
glân|border; hem (n)
glîn(n)|gleam; glint (n)
glóriel; glórin; mallen|golden (adj)
go-|co-; com-; together; *away (pref)
gobel|town (enclosure); village (n)
goeol|dire; terrible; *fell (adj)
goe|great fear; terror (n)
golas; golass|collection of leaves; foliage (n)
golodh [ng-]|lore-master; sage (n)
goloth|inflorescence; *collection of flowers (n)
gond; gonn|rock; stone (n)
gor [ng-]|dread; fear (n)
gor- (pref)|difficult; hard (pref)
gor- (vb)|to urge; to warn (vb)
gorbedui|lamentable to tell; only to be said with horror or grief (adj)
gordh (adj)|difficult; laborious (adj)
gordh (n)|deep thought (n)
gorgor [ng-]|extreme horror; haunting fear; terror (n)
gorn [ng-]|revered (adj)
gornod(ui)|hard to count (adj)
gorn|hard; stiff; thrawn (adj)
goroth [ng-]|dread (n)
gorth [ng-]|dead (person) (adj n)
gorthad [ng-]|spirit of Dead; wraith (n)
gorthob [ng-]; naer; thaur|horrible (adj)
govan-|to come to same place; to meet (vb)
graug; raug|demon; powerful hostile and terrible creature (n)
graw|bear (n)
grod; groth|delving; large excavation; underground dwelling (n)
groga-|to feel terror (vb)
grond; gronn|ponderous; weighty (adj)
gruitha-|to terrify (vb)
guldur [ng-]|black arts; sorcery (n)
gurgof|traitor (n)
gurth [ng-]; guru [ng-]|death (n)
guruthos [ng-]|death-horror; dread of death; shadow of death (n)
gwa-|co-; com-; together (pref)
gwae-|to depart (vb)
gwae; gwael; sûl|wind (n)
gwaelod|wind feather (n)
gwaen|stained (adj)
gwaeren|windy (adj)
gwaew|blow; storm (n)
gwahae|*far away (adj)
gwain (Body Parts and Functions)|blond (adj)
gwain (Time)|young; *new (adj)
gwaith; nos(s)|people (n)
gwana|fair (n adj)
gwanon; gwanunig|twin (n)
gwanwen|departed (adj)
gwathra-|to dim; to obscure; to overshadow; to veil (vb)
gwathren|dim; shadowy (adj)
gwathui|of shadow; *shadowy (adj)
gwath|dim light (n)
gwein|young (adj)
gwend; gwenneth|maiden (n)
gweneth|maidenhood (n)
gweth-|*to report (vb)
gwing|foam; spindrift (n)
gwinig|baby; little-one (n)
gwân|fair; pale (adj)
gwâw; hwaewar; hwâ; wá(wa)|breeze[?] (n)
gwê|living creature (n)
gwîn|youth (n)
gêl|weeping (n)
gûl [ng-]|(evil) knowledge; black arts; sorcery (n)
gûr|heart (inner mind) (n)
hadhma-; hadhwa-|to seat (vb)
hadhu|seat (n)
haedh|fenced enclosure (n)
haered|(remote) distance; remoteness (n)
haeron|*distant (adj)
haer|remote (adj)
hae|far; very far away (adj adv)
hanar|brother (n)
harad|south (n)
harf|left hand (n)
harn|south; southern (adj)
harvo|left hand; left side (n)
hathol|axe (n)
haudh|(funeral) mound; grave; heap; piled mound (n)
ha|there you are (interj)
heb-|to keep (vb)
heledh|glass (n)
heleg|ice (n)
hen(d)|eye (n)
henneth|window (n)
herdir; hîr; tûr|master (n)
herw|wine (n)
heryn; hiril; rodel|lady (n)
him; oel|cool (adj)
him|ever (adv adj)
hin; hí; sí(r); thî|now (adv)
hithlain|grey elvish rope; mist thread (n)
hithren; mith; mithren; thind; thinn|grey (adj)
hithui|misty (adj)
hol-|to close; to shut (vb)
hollen|closed; shut (adj)
honeg; honig|brother (diminutive) (n)
hoth|horde; host (n)
huan|great dog; hound (n)
huorn|?spirit tree (n)
hwest|breeze; puff (n)
hwinn|birch (n)
hên|child (n)
hîl|heir (n)
hîr|lord (n)
hîth|mist (n)
hû (Animals)|hound (or ?heart) (n)
hû (Religion and Beliefs)|spirit (n)
hûl|secret (n)
hûn; ind|*heart (n)
i (article)|the (article)
i (pron)|that; who (pron)
iach; pâd|ford (n)
iand; laden; land; lann|wide (adj)
iant|bridge (n)
iath; iâth|fence (n)
iaun|extensive; huge; large; roomy; vast; wide (adj)
iaur|old (adj)
iavas|autumn (n)
il; pân|*all (adj)
ilaurui|*daily (adj)
im (prep)|between (prep)
im (pron)|I; I myself; reflexive; self(same) (pron)
imlad|deep valley; gap; gully; narrow valley with steep sides (n)
imrad|path or pass between mountains or trackless forest; *(lit.) valley path (n)
imrath|long narrow valley with road or watercourse running through it lengthwise; *(lit.) valley course (n)
ind; inn|some particular purpose or intention of an individual (n)
inib; yneb; ýneg|twelve (cardinal)
innas|*will (n)
ion(n)|son (n)
ioron|old man (n)
iphant|*aged (adj)
ir|while; ?when (conj)
ithildin|magical alloy that glows in moonlight; (lit.) moon-star (n)
ithron|Wizard (n)
iâ|abyss; chasm; pit; void (n)
l(h)ô|fenland; flood (n)
laba-|to hop (vb)
lacha-|to flame (vb)
lach|(leaping) flame (n)
laden|flat (adj)
lad|plain; valley (n)
laer|summer (n)
laew|fresh (adj)
laich; liss; melui|sweet (adj)
lain|thread; warp; ‽twine (n)
lalaith|laughter (n)
lam (Language and Music)|(physical) tongue; language (n)
lam (Sense Perception)|echo (n)
lamma-|to echo (vb)
lammad|*echoing (n)
lammen|of tongue; spoken with tongue (adj)
lanc; paran|naked (adj)
lanc|sharp edge (not of tools); sudden end (n)
land; lann|broad (adj)
lang|passage (n)
lanthir|waterfall (n)
las(s)|leaf (n)
lasta-|to give ear; to listen (vb)
lasto|listen; *hark (interj)
laudh|gluttonous eating (n)
laud|feather (n)
lavan|animal (n)
lebdas; tas|index finger (n)
lebed; naub|thumb (n)
lebenedh|middle finger (n)
lebent|fourth finger (n)
leben|five (cardinal)
leber|finger (n)
lebethron|Gondorian hardwood; *(lit.) finger tree (n)
lebig; niged|little finger (n)
ledhbas(t)|waybread (n)
lefnui; levnui|fifth (ordinal)
legol|[Ilk.] nimble; active; running free (adj)
leithia-|to release (vb)
leithian|release from bondage (n)
lembas|journey-bread; waybread (n)
lest|girdle (n)
leutha-|to pick (up/out) (vb)
leweg; lhûg|worm (n)
le|thee; you (polite) (pron)
lhach|leaping flame (n)
lhaw|ears (of one person) (n)
lheweg|ear (n)
lhim|gliding; sleek; sliding; slippery (adj)
lhinc|earthworm (n)
lhoer|poison(ousness); venom (n)
lhoew|poison(ous substance) (n)
lhôn|noise (n)
lhûg|reptile; serpent; snake (n)
limp|(bright/clear/gleaming) liquid; clear; sparkling (adj n)
lim|quick; swift (adj)
lind; maer|fair (adj)
lind|chant; singer; singing (n)
linna-|to chant; to sing (vb)
linnod|type of poetic meter; (lit.) ?seven-chant (n)
linn|chant (n)
lisg|reed (n)
lissuin|a fragrant flower (n)
liss|fragrant (adj)
lithui|ash-coloured; ashen; ashy; dusty; of ash (adj)
lith|ash (n)
loeg; nen|pool (n)
loen|soaking wet; swamped (adj)
lond; lonn|(land-locked) haven (n)
lonnas|harbourage (n)
los; loss|snow (n)
lossen|snowy (adj)
lost|empty (adj)
loth|head of small flowers; inflorescence; single blossom (n)
loven|echoing (adj)
luin|blue (adj)
lung|heavy (adj)
lín|*thy (pron)
lî; rim|people (of one kind or origin) (n)
lîf|link (n)
lîn|mere; pool (n)
lîr|line (n)
lô|fenland (n)
lûth|blossom; inflorescence (n)
lŷg|snake (n)
mad-|to eat (vb)
madha|mud (n)
madweg|gluttonous (adj)
maecheneb|sharp-eye[d] (adj)
maed (Emotion)|shapely (adj)
maed (Physical Acts and Materials)|handy; skillful (adj)
maeg|piercing (adj)
maelig|abundance; wealth (n)
mael|well (adj)
maen|a treasure (n)
maeron|artist (n)
maer|excellent; good (adj)
maetha-|to deal with; to handle; to manage; to treat; to use; to wield (vb)
maeth|management (n)
maew; mŷl|gull (n)
mae|admirable; excellent; well (adv adj)
magor|swordsman (n)
main|chief; pre-eminent; prime (adj)
mallorn|gold tree; yellow tree (n)
mallos|golden flower (n)
malt|gold (n)
man|who; *what (pron)
ma|excellent; good; that’s right (interj)
medui|end; final; last (adj)
megil|longsword; sword (n)
mel-|to love (vb)
mellon|friend (n)
mell|beloved; dear (adj)
melui|lovely (adj)
men (n)|way (n)
men (pron)|us (pron)
meneg|thousand (cardinal)
menel|firmament; region of the stars; the heavens (n)
mereth|feast (n)
meril|rose (n)
methed|end (n)
meth|last (adj n)
mi; vi|*in (prep)
milbar|beloved dwelling [place]; dear home (n)
min (cardinal)|one (cardinal)
min (n)|peak (n)
minas|city (with a citadel and central watch tower); fort; tower (n)
minib|eleven (cardinal)
minlamad|?alliteration; (lit.) first-echoing (n)
minna-|to enter; to go in (vb)
minuial|(dawn) twilight (n)
minui|first (ordinal)
mirian|Gondorian coin (n)
miruvor|a special wine or cordial (n)
mithril|Moria-silver; true-silver (n)
mith|light grey; pale grey (adj)
molif|wrist; (lit.) hand-link (n)
morchant|shadow cast by light; (lit.) dark shape (n)
morgul|black arts; necromancy; sorcery (n)
morn|black; dark; night (adj n)
moth|dusk (n)
muil|drear[iness] (n adj)
mund|bull (n)
mâb|hand (n)
mâf|pile or mass of rock or earth (n)
mêd(h)|[Ilk.] wet (adj)
mín|our (pron)
mírdan|jewel smith (n)
míria-|to sparkle like jewels (vb)
míriel|like a jewel; sparkling like jewels (adj)
mîdh|dew (n)
mîn|anything intervening between two other things; barrier; between; gap; space (prep n)
mîr|jewel; precious thing; treasure (n)
môr|dark(ness) (n)
mûl|slave (n)
na(n)|accompanied by; along with; associated with; marked with; of; provided with or by (prep)
na-|to be (vb)
nadha|fetter (n)
naedh|wound; wounding (n)
naergon|woeful lament (n)
