(1) -(r)on; (2) -or|agental suffix (suf)
(1) laich; (2) leich|sweet (adj)
(1) laus; (2) loch|ringlet (n)
(1) lebdas; (2) tas|index finger (n)
(1) lebed; (2) naub|thumb (n)
(1) lebem; (2) paeleben|fifteen (cardinal)
(1) lebig; (2) niged|little finger (n)
(1) ledil; (2) padol|key (n)
(1) lefnui; (2) lemmui; (3) levnui|fifth (ordinal)
(1) lhae-; (2) lhassa-|to hear (vb)
(1) lhingril; (2) ungol|spider (n)
(1) los; (2) loss|snow (n)
(1) maew; (2) mŷl|gull (n)
(1) mann; (2) math|food (n)
(1) mein; (2) minui|first (ordinal)
(1) melethor; (2) seron|lover (n)
(1) mib-; (2) mítha-|to kiss (vb)
(1) miru; (2) ŷ|wine (n)
(1) nail; (2) nelui|third (ordinal)
(1) nalla; (2) nallan; (3) nallar; (4) nalloth|call (n)
(1) nederph; (2) paeneder|nineteen (cardinal)
(1) nedia-; (2) nod-|to count (vb)
(1) nedrui; (2) nerthui|ninth (ordinal)
(1) neleb; (2) paenel|thirteen (cardinal)
(1) neledh; (2) nêl|three (cardinal)
(1) nethel; (2) nîth|sister (n)
(1) nivol; (2) nîf|phantom, a seeming (n)
(1) norra-; (2) nuru-|to growl, grumble (vb)
(1) nuir; (2) orvedui|yesterday (n)
(1) ochui; (2) odothui; (3) othui|seventh (ordinal)
(1) odo; (2) odog|seven (cardinal)
(1) odob; (2) odoph; (3) paenodog|seventeen (cardinal)
(1) odobaen; (2) odophaen|seventy (cardinal)
(1) orest; (2) oreth|hour (n)
(1) paedolodh; (2) tolob|eighteen (cardinal)
(1) pechof; (2) pegof|squirrel (n)
(1) pel-; (2) pelu-|to fence, enclose (vb)
(1) per-; (2) perna-|to turn (vb)
(1) pim; (2) pimp|tail (n)
(1) rach; (2) rachas (Emotion)|danger (n)
(1) rachathren; (2) rachui|dangerous (adj)
(1) raef; (2) raew (Motion and Transportation)|net (n)
(1) raegdan; (2) rhugaron|sinner (n)
(1) raen; (2) rhaen|crooked (adj)
(1) raitha-; (2) reitha-; (3) rig-; (4) ritha-; (5) rítha- (Physical Acts and Materials)|to try, strive (vb)
(1) rhaed; (2) rhîd|peculiar hue, (special) fashion (n)
(1) rhosc; (2) rhosg|russet, [N.] brown (adj)
(1) rhîf; (2) rîw|brink, brim (n)
(1) rochben; (2) rochon|rider (n)
(1) rosg; (2) rusc|fox (n)
(1) rust; (2) urun|copper (n)
(1) sa; (2) san; (3) taw (pron)|that (pron)
(1) sadar; (2) sadron|trusty follower, loyal companion (n)
(1) se; (2) sen; (3) then|this (pron)
(1) suithlas; (2) yllas|tea, *(lit.) drink of leaf (n)
(1) thain; (2) theinas|law, rule (n)
(1) thorn; (2) thoron|eagle (n)
(1) tin; (2) tîn (n)|spark, sparkle, twinkle of stars (n)
(1) tolch; (2) toleg|*sticker-up (n)
(1) tolhui; (2) tollui; (3) tolothen; (4) tolthui|eighth (ordinal)
(1) tolod; (2) tolodh|eight (cardinal)
(1) tuila-; (2) tuilu-|to bud, open (of flowers and leaves) (vb)
(1) úlan(n); (2) úland|narrow, (lit.) not broad (adj)
(a)moth|fen, marsh (n)
(h)law|flood (n)
-ad (Grammar)|(1) dual; (2) noun-suffix (suf)
-ad|gerund (suf)
-ant|3rd person past tense (suf)
-a|[old] genitive suffix (suf)
-dor|*king, lord (suf)
-ed|(1) 3rd person singular possessive suffix; (2) gerund (suf)
-egir|2nd person plural familiar possessive suffix (suf)
-eg|(1) 2nd person singular familiar possessive suffix; (2) diminutive/singular ending (suf)
-elir|2nd person plural polite possessive suffix (suf)
-el|2nd person singular polite possessive suffix (suf)
-emir|1st person plural exclusive possessive (suf)
-ent|their, 3rd pl. poss. suffix (suf)
-en|my, 1st sg. poss. suffix (suf)
-garn|-made (suf)
-gon|lord, prince; [N.] valour (suf)
-ian(d)|-land, country (suf)
-iel (Grammar)|perfective-participle (suf)
-iel (Mankind)|daughter; feminine suffix (suf)
-ig|diminutive/singular ending (suf)
-il|feminine suffix (suf)
-ion (Mankind)|-son (suf)
-ir|past of intransitive verbs (suf)
-i|adjectival suffix (suf)
-nt|past of transitive verbs (suf)
-og|singular suffix (suf)
-ol|continuative [active] participle; adjective suffix (suf)
-on (Mankind)|masculine suffix (suf)
-o|imperative (suf)
-ra|many Sindarin adverbs end in [this] (suf)
-riel|crowned maiden (suf)
-ui|-ful, having quality, adjective suffix; [as verbal suffix] possibility, suitability, *-able (suf)
-u|a person or being (suf)
-weg (Grammar)|active in doing (suf)
-weg|*name suffix (suf)
-wen|maiden, *female suffix (suf)
-we|person, being, individual; [N.] masculine suffix (suf)
Adan|Man (as a species) (n)
Aeni|(female) angel (n)
Aenu|(male) angel (n)
Anor|Sun (n)
Balan|Vala, [N.] Power, ⚠️God (n)
Cadlaer|July, *After-summer (n)
Cerveth|July (n)
Eblaer|June, ?Before-summer (n)
Eledhon|*Elf-man (n)
Elleth|Elf-maid (n)
Ellon|Elf-man (n)
Eru|God (n)
Feir|Mortal, [N.] mortal man (n)
Firieth|(Female) Mortal (n)
Firion|(Male) Mortal (n)
Forchalad|aurora, (lit.) northern radiance (n)
Fíreb|Mortal (n)
Gavar|*Refuser (n)
Girithron|December, *Shuddering-one (n)
Golodh|one of the wise folk, Noldo (n)
Gwaeron|March, *Windy-one (n)
Gwirith|April, *Freshness (n)
Hadhod|Dwarf (n)
Harchalad|aurora, (lit.) southern radiance (n)
Hithui|November, *Misty-one (n)
Ivanneth|September, *Yavanna-ness (n)
Lothron|May, *Flower-ness (n)
Narbeleth|October, Sun-fading, Sun-waning (n)
Narwain|January, *(lit.) New Fire (n)
Noegin|Petty Dwarf (n)
Nogotheg|Dwarflet (n)
Noll|Noldo (n)
Nínui|February, *Watery (n)
Nórui|June, *Fiery (n)
Ogol|?Elf (n)
Onod|Ent (n)
Oraeron|Sea-day, *Thursday (n)
Oranor|*(lit.) Sun-day, Sunday (n)
Orbelain|*Day of the Valar, Friday (n)
Orgaladhad|Day of the Two Trees, *Tuesday (n)
Orgaladh|Day of the Tree, *Tuesday (n)
Orgilion|*Star-day, Saturday (n)
Orithil|*Moon-day, Monday (n)
Ormenel|*Heavens-day, Wednesday (n)
Perian|Halfling, Hobbit (n)
Rodon|Vala (n)
Rodyn|alternate name of the last day of the Eldarin six-day week (n)
Torog|Troll (n)
a (conj)|and; †by, near, beside (conj)
abgen-|to foresee, expect (vb)
ablad|prohibition, refusal (n)
abor|tomorrow, (lit.) after-day (n)
ab|after (prep)
ach (conj)|*but (conj)
ach (n)|(1) bone; (2) neck, *(upper) spine (n)
achad|rock ridge, neck (geographically) (n)
achar-|to avenge, do back, react, requite (vb)
achared|vengeance (n)
acharn|vengeance, (an act of) revenge (n)
achas|dread, fear (n)
ad-|back, again, re- (pref)
adaba-|to build, erect, establish (vb)
adaneth|(mortal) woman (n)
adar|father (n)
adbed-|to rephrase (vb)
aden|until (prep)
adertha-|to reunite (vb)
aderthad|reuniting (n)
adlanna-|to slope, slant (vb)
adlannas|downfall, ruin (n)
adlant|oblique, slanted (adj)
adlod|sloping, tilted (adj)
aduial|(evening) twilight, *evening (n)
advir|heirloom (n)
aebin|cherry (tree) (n)
aeda-|to revere, worship (vb)
aedaith|reverence, worship, religion (n)
aedh|nest (n)
aegas|mountain peak (n)
aeglir|line of peaks, [N.] range of mountain peaks; ⚠️[ᴱN.] peak, mountain top (n)
aeglos|icicle, (lit.) snow-point; snowthorn (a plant) (n)
aeg|sharp, [N.] pointed, piercing (adj)
aemar|rookery, colony of birds (n)
aenor|god (n)
aerem|icon (n)
aerlinn|*hymn, (lit.) holy song (n)
aeron|saint (n)
aer|*hallowed, holy (adj)
aewen|of birds (adj)
aew|(small) bird (n)
ae|if  (conj)
agla-|to shine out, flash (vb)
aglad|lightning (n)
aglann|ray of light (n)
aglareb|glorious, brilliant, *radiant (adj)
aglar|glory, brilliance, splendour, radiance (n)
aglor|brilliant, glorious (adj)
agol|flash (n)
agrech|contempt (n)
agreitha-|to despise, contemn (vb)
agreithannen|despised (adj)
agreitharol|despicable, contemptible (adj)
ai (interj)|hail, ⚠️[ᴱN.] cry of pain or woe, [G.] oh! (interj)
ai (pron)|*those who (pron)
aich|also (adv)
aif|same (adj)
ain|same, identical (adj)
air|lonely (adj)
aith|spear-point, [ᴱN.] spear, ⚠️thorn (n)
al- (Emotion)|well, happily (pref)
al- (Grammar)|no, not (pref)
alae|?behold (interj)
alaf|elm (n)
alben|no one (pron)
albeth|(word of) good omen (n)
alfeg|cygnet, young swan (n)
alfirin|immortal, (lit.) not dying; a species of flower (adj n)
alfuil|large white sea-bird, albatross, ⚠️†swan (n)
alf|flower (n)
alhad|nowhere (pron)
aliavren|barren (adj)
allu|never (adv)
alnad|nothing (pron)
alphen|no one, nobody (pron)
alph|swan (n)
alu|wholesome, *healthy (adj)
alvar|(good) luck, fortune (n)
alwed|prosperous, fortunate (adj)
alw|wholesome (adj)
am (adv adj)|more (adv adj)
am (adv)|up, [G.] upwards, ⚠️towards head of, above (adv)
amartha-|to define, decree, destine (vb)
amarthannen|decreed, destined, ordained (adj)
amar|world, the Earth, (lit.) settlement, the great habitation (n)
amdir|hope [based on reason], *expectation, (lit.) looking up (n)
amloth|helm crest, (orig.) uprising flower (n)
ammal|(death) agony (n)
amman|why, (lit.) for what (adv)
ammatha-|to maul (vb)
ammos|*breast, chest; ⚠️breastplate (n)
ammuia-|to work (hard) for, to earn (vb)
amon|hill, (isolated) mountain; lump, clump, mass; ⚠️[G.] steep slope (n)
amorvad|breakfast (n)
amor|morning, early day (n)
amosgarn|robin, (lit.) red-breast (n)
amoth|shoulder (n)
amrent|lark (n)
amrûn|sunrise, east, (lit.) of the uprising (n)
an-|intensive prefix (pref)
anann|(for) long (adv)
and (n)|gate, door (n)
andaith|long-mark (n)
andrann|cycle, age, (lit.) long cycle (n)
andrethui|patient, long suffering (adj)
andreth|long-suffering, patience (n)
angerthas|runic alphabetic, (lit.) long rune-rows (n)
anglenna-|to approach (vb)
anglennol|approaching, coming (adj)
angren|of iron (adj)
ang|iron (n)
anha-|to give (vb)
anna- (Possession and Trade)|to give, †add to (vb)
annas|length (n)
anneth|(act of) giving (n)
annon|(great) gate, door (n)
annui|west[ern] (adj)
annûn|sunset, west; (lit.) going down (n)
anta-|to give, add to (vb)
anuir|forever, everlastingly, eternally, in eternity (adv)
anu|male (person or animal) (n adj)
anwar|awe (n)
anwas|manhood, *manliness, masculinity (n)
anwathren|manly, masculine (adj)
an|to, for; ⚠️[N. and G.] of (prep)
aníra-|to desire, *long for (vb)
anóren|sunny (adj)
apha-|to touch (vb)
aphadol|following (adj)
apharch|arid, very dry (adj)
aphas|(sence of) touch (n)
ar(a)-|noble, royal, high (pref)
ar(an)eg|kinglet (n)
ar-|[N.] outside; [S.] without; ⚠️by, beside, [G.] along with, compared with (pref)
aranas|kingship (n)
aran|king, lord, chief, (lit.) high or noble person; [N.] lord (of a specific region) (n)
aras|deer, hart, *stag (n)
arnediad|unnumbered, [N.] without reckoning, numberless, innumerable, countless, endless (adj)
arnoediad|unnumbered, without reckoning (adj)
arod|noble (adj)
arphen|noble, knight (n)
arthor|realm (n)
arwen|noble lady (n)
ar|and, [G.] too, besides (conj)
asgath|skeleton (n)
asgeb|bony (adj)
asgolui|equivalent, (lit.) beside-bear-able (adj)
asg|bone; ⚠️[G.] stone of fruit (n)
ast (Sense Perception)|light or heat of the sun, *warmth (n)
ast|light or heat of the sun (n)
ath-|easy, easily (pref)
atha-|will (future) (vb)
athaelas|*healing herb (n)
athae|*healing herb, healing (n adj)
atheg|[little] father; thumb (n)
athelas|kingsfoil, a healing herb (n)
athgar|easy (easy to do) (adj)
athgen|easily seen (adj)
athor|doctor (n)
athra- (Body Parts and Functions)|to treat medically (vb)
athra- (Spatial Relations)|to cross (to and fro) (vb)
athrabed-|to discuss, exchange words (vb)
athrabeth|conversation, debate, (lit.) interchange of words (n)
athrad|ford, crossing (n)
athranna-|to wrong, mistake (vb)
athren|dusty (adj)
aur|(whole) day, sunlight, [N.] morning (n)
auth|dim shape, spectral or vague apparition (n)
ava-|will not, do not (vb)
avad|refusal, reluctance (n)
avautha-|to ravish, seize (forcibly) (vb)
avauthron|seizer, ravisher (n)
avauth|ravishment; seizure (n)
avnedhor|afternoon (n)
avras|precipice (n)
bach|jacket, coat (n)
bain|beautiful; good, wholesome, favorable; ⚠️fair, fair-haired (adj)
bal-|*to have power (vb)
baladh|worth, importance (n)
balch|fierce, ferocious; [N.] cruel (adj)
balf|excitement, emotion (n)
balla-|to matter; to be of significance, worth, moment (vb)
ball|worthy, important; ⚠️great, mighty (adj)
baltha-|to excite, rouse, stir up, agitate (vb)
balthannen|excited, agitated (adj)
balthol|exciting; excitable (vb)
ban-|?to go (vb)
band|prison, custody, [N.] duress; ⚠️[ᴱN.] hell (n)
bangad|trade, trading (n)
bangath|market (n)
bang|staff (n)
banna-|to imprison (vb)
bannan|prisoner, (lit.) imprisoned-one (n)
bannen|gone (adj)
bar-|to live, dwell, stay (vb)
barad|tower, great towering building, [N.] fort, fortress (n)
baran|brown, golden-brown; [N.] swart, dark brown (adj)
bardha-|to rule, reign (vb)
bardhon|inhabitant, native (n)
bardhor|habitable (adj)
bardh|home (n)
bardor|home land, native land (n)
barf|armour, armor (n)
barna-|to till (land), *cultivate; (orig.) to dwell in (a land) (vb)
barn|safe, protected, secure (adj)
baron|tilled, inhabited (adj)
barthan|dwelling-house, large building of masonry used as a dwelling (n)
bar|house, dwelling, home (n)
bas(t)|bread (n)
basoneth|breadgiver (n)
basta-|to bake (vb)
bauch|price, cost (n)
bauda-|to ban, prohibit, refuse (vb)
bauglir|constrainer; tyrant, oppressor (n)
baura-|to need, require (vb)
baw (interj)|no, do not! (interj)
baw (n)|howling (n)
bedhril|judge (f.) (n)
belaith|mighty (adj)
beleg|great, mighty; large, big, [ᴱN.] huge (adj)
beleitha-|to extol, magnify (vb)
belen|expanded, unrolled, unfurled, set (of sails) (adj)
belon|sail (n)
beltha-|to open out (transitive), expand, unroll, set sail (vb)
bened|chin (n)
bereth|queen, spouse; supreme, sublime (n adj)
berthas|adventure, bold undertaking (n)
berthian|challenge; daring, audacity (n)
besain|the Lady, breadgiver (n)
bess|wife; ⚠️[N.] woman (n)
besta-|to wed, marry (vb)
bestad|wedding, (lit.) a marrying (n)
bestannen|wedded, married (adj)
best|marriage, matrimony, wedlock, ⚠️wedding (n)
bethren|brother in law, kinsman by marriage (n)
bethres|sister in law, *kinswoman by marriage (n)
bethril|spouse (f.) (n)
bethron|spouse (m.) (n)
be|as, like; ⚠️in (prep)
bilebra-|to equal (vb)
bilebren|equable (adj)
bileutha-|to make equal, equalize (vb)
biltha-|to resemble, seem like; to seem likely, be probable (vb)
bilthadren|probable (adj)
blabed|flapping, beating (especially of wings) (n)
blaud|pride (n)
blodren|arrogant, *proud (adj)
bloss|wheat (n)
blê|fat of meat; *fatty, oily, greasy (n adj)
blîw|oil (n)
boda-|to ban, prohibit, refuse, forbid (vb)
boe|must (impersonal), (lit.) *[it] needs (vb)
bond|snouted (adj)
born (Emotion)|[stead]fast (adj)
born (Sense Perception)|hot, red (adj)
bothol|oven (n)
both|fen, marsh; [N.] puddle, small pool (n)
bo|*on (prep)
brach|shawl, wrap, ⚠️plaid (n)
braetha-|to wrap, swathe (vb)
bragollach|sudden flame (n)
bragol|sudden (adj)
brand (n)|steeple (n)
branna-|to scorch (vb)
brant|cooked, done; overdone (adj)
brass|great cliff (n)
brasta-|to tower up, loom (vb)
brath-|to cook (vb)
bregol|quick, sudden, [N.] violent, *fierce (adj)
brethil (Agriculture and Vegetation)|silver-birch; ⚠️[N.] beech (n)
brethil (Social Relations)|princess, (lit.) queen-daughter (n)
bril|glass, crystal (n)
brithon|pebbly (adj)
brith|gravel (n)
bronad|survival (n)
brond|firm, [G.] steadfast, *faithful, constant (adj)
bronnas|steadfastness, constancy (n)
brui|loud, *noisy (adj)
brêg|lively, sudden, quick (adj)
budhulug|dragonfly (n)
budhu|large fly (n)
bund|snout, nose; cape [of land] (n)
bân|fair, good, wholesome, favorable (adj)
bâr|house, dwelling, home; ⚠️[N.] earth (n)
bída-|to compare, liken (vb)
bíleb|equal (adj)
bîl|likeness, similarity (n)
bŷl|(single) service or favour (n)
bŷr|follower, vassal (n)
cab-|to leap, [G.] jump (vb)
cabed|leap (n)
cadhad|dwarf (n)
cadudew|allomorph, (lit.) shaped sign (n)
cadu|shaped, formed (adj)
cad|*after (adv)
caeda-|to lie; to lay (down) (vb)
caer|[N.] flat isle on a river (n)
caetha-|to make to do or be, cause, compel, induce, bring about (vb)
caethad|reason, cause (n)
caethas|causation (n)
caetheb|original (n)
caeth|cause, reason, motive (n)
cae|earth (n)
cafor|flea (n)
cail|fence, palisade of spikes or sharp stakes (n)
cair|ship (n)
cai|hedge (n)
cal-|to shine (vb)
calad|light, brightness, shining, ⚠️fire (n)
calan|day(light) (n)
calardan|lampwright (n)
calar|(portable) lamp (n)
calen|green; †bright, [N.] bright-coloured; ⚠️[S.] fresh, vigorous (adj)
calph|water-vessel, [G.] bucket (n)
camlann|palm of hand (n)
camma-|to make fit, suit, accommodate, adapt (vb)
cammui|suitable, fitting, convenient (adj)
cam|(cupped) hand, holding hand; handful (n)
can-|to cry out, shout, call (vb)
canad|four (cardinal)
canath|quarter (n)
cand|bold (adj)
canga-|to tangle; *to go wrong (vb)
cang|tangled, confused, mixed up, awry; tangle, confusion, mêllay (adj n)
cannas|[abstract] shape (n)
canthil|square (n)
cant|shape; [N.] outline (n)
car-|to do, make (vb)
carach|jaws, rows of teeth (n)
caraed|effective, productive, effectual, efficacious (adj)
caralluin|*red-blue (adj)
caran|red (adj)
caras|city, [N.] city (built above ground); [S.] (orig.) fort or dwelling surrounded by bulwarks, circular earthwall with dike (n)
carch|fang, ⚠️[N.] tooth (n)
cared|action, *doing, making (n)
carfa-|to talk, speak, use tongue (vb)
carf|tool, implement, weapon (n)
carnen|done, made, finished (adj)
caron|actor, agent, doer, maker (n)
carthas|activity (n)
carweg|active; busy (adj)
castol|helmet (n)
cast|cape, headland (n)
cathrae|tressure, *headdress (n)
cauda-|to get flavour of, perceive, notice; ⚠️to taste (of the taster or person) (vb)
caudol|tasteful, endowed with good taste; discreet, circumspect (adj)
caul|(great) burden; affliction (n)
caun (Language and Music)|outcry, clamour (n)
caun (Social Relations)|prince, chief, head (n)
caur|action, doing, making; verb (n)
caust|savour, flavour (n)
cauth|deception, lie (n)
cav-|to receive, *accept (vb)
cavren|acceptable (adj)
caw-|to taste (vb)
caweth|sense of taste, taste, judgement (n)
ceber|stake, spike; ⚠️[N.] ?limestone, -rock (n)
cefn|of earth, earthen (adj)
ceiria-|to cause, bring about (vb)
celair|brilliant, *shining (adj)
celebrin|like silver (in hue or worth), ⚠️[G.] of silver (adj)
celeb|silver (n)
celef|deer, hind (n)
celeg|hasty; [N.] agile, swift; ⚠️[ᴱN.] lambent (adj)
celf|channel (n)
celia-|to illuminate, light up; to illustrate (vb)
celias|(artificial) light, illumination (n)
cell|flowing (adj)
celu|spring, source; ⚠️[G.] rill, stream, runlet (n)
cen-|to see, perceive, look (vb)
cened (n)|looking, *seeing (n)
cened (ordinal)|four (ordinal)
cenedril|mirror, looking-glass, (lit.) looking-crystal (n)
ceredis|crafter (f.) (n)
cerf|knife (n)
cerin|circular mound, artificial hill; [N.] round enclosure (n)
certhas|runes-rows, runic alphabet (n)
certh|rune (n)
cesta-|to seek, search for, look for (vb)
cestaedas|curiosity (n)
cestaed|curious, seeking, inquisitive (adj)
ceth-|to examine, search, interrogate (vb)
cethaeg|horizon (n)
cethia-|to cause interest, to interest (oneself) (vb)
cethiol|interesting (adj)
cevemphast|earth quake (n)
ceven|*earth; Earth (n)
cevorf|potato, (lit.) earth-apple (n)
ce|(1) *might, maybe; (2) may(be), might (adv)
cil-|to choose, select (vb)
cilith|choice, choosing, *selection (n)
cim|blade (n)
cin|you (sg. fam.) (pron)
cirbann|haven (n)
cirias|fleet (of ships) (n)
cirion|sailor, shipman (n)
cirith|cleft, ravine, defile, [N.] pass (n)
ci|thou (pron)
codhon|idol (n)
col-|to bear, carry, wear (vb)
colch|box, chest (n)
coleb|burdensome (adj)
coll (n)|cloak, mantle (n)
collorn|laburnum, *(lit.) orange-tree (n)
colof|orange [fruit] (n)
coltha-|to bear up; to weigh, balance it on scales; to be worth, value or be equivalent to; ⚠️to endure (vb)
colui|light (to carry), not heavy, (lit.) carryable (adj)
com|bellied (adj)
condir|mayor, *(lit.) chief-man (n)
conui|commanding (adj)
cor-|to turn sour, curdle, congeal; to make cheese (vb)
coranor|solar year, (lit.) sun-round (n)
cordh|sour (of milk), curdled (n)
cordof|pippin, *a type of yellow and red apple (n)
corf|ring (for fingers) (n)
corob|skull (n)
corth|curd (n)
coru|cunning, wily (adj)
cor|ring, circle (n)
cotha-|to startle (vb)
coth|enemy, foe; [N.] enmity (n)
cov-|to bow (vb)
cova-|to come together, meet; to gather, assemble (vb)
covad(a)-|to bring together, make meet (vb)
covas|community (n)
covn|empty, void (n)
covra-|to empty (vb)
craban|bird of crow-kind, *raven (n)
cranna-|to accomplish, finish, complete, [G.] achieve (vb)
crannen|perfect (adj)
crech|spittle (n)
crig|elbow (n)
crisg|sharp [edged] (adj)
criss|cleft, [N.] cut, slash, [G.] gash; ⚠️[N.] pass, [G.] gully, ravine (n)
crista-|to slash, cut, slice (vb)
crist|cleaver; ⚠️[N.] sword; [G.] knife; slash, slice (n)
cruin|coloured (adj)
cruith|colour, complexion, appearance (n)
crui|colour (n)
cui(w)|awake, alert, ⚠️alive (adj)
cuia-|to live (vb)
cuida-|to bring to life, enliven, energize (vb)
cuileb|lively, ⚠️alive (adj)
cuilvorn|lifetime (n)
cuina-|to be alive (vb)
cuinas|vitality, liveliness (n)
cuithas|life (period of life); living, livelihood (n)
cuith|[biological process of] life, the vital principle; ⚠️living body (n)
culuin|golden-red, orange (in colour) (adj)
cum|belly (n)
cund|*prince (n)
cungan(d)|viol(in), (lit.) bow-harp (n)
curunis|witch (n)
