(a)larca|rapid; swift (adj)
Isil [þ]|Moon; (lit.) Sheen (n)
Isilya [þ]|*Monday; Moon-day (n)
Italinórë|Italy (n)
Lótessë|*(lit.) Flower-ness; May (n)
Maia|(angelic) spirit; the Beautiful (n)
Maiya|(angelic) spirit (n)
Menelya|*Wednesday; Heavens-day (n)
Metelairë|*(lit.) End-summer; August (n)
Meterrívë|*(lit.) End-winter; January (n)
Máya|angelic spirit (n)
Narquelion (Narqueliond-); quellë|Autumn (n)
Narquelië|October; Sun-fading (n)
Narvinyë|*New-fire; January (n)
Noldorinwa|Gnomish; Goblin (adj)
Noldorin|Gnomish (adj)
Nárië|*Fire-ness; June (n)
Nénimë|*Wet-ness; February (n)
Perian (Periand-)|Halfling (n)
Portucalëo|Portuguese (n)
Quen (Quend-); Quendë|Elf (n)
Quenderin|Quendian; belonging to the Elves as a whole; of the Quendi (adj n)
Quendya|Elvish (n)
Quendë (Religion and Beliefs)|(lit.) One That Speaks (n)
Quenya (Language and Music)|Elf-latin; Elvish; High-elven; †speech (n)
Quenya (Religion and Beliefs)|Elf-latin; Elfspeech; Elvish (Tongue); Quendian; belonging to the Qendi (n)
Quenyarin (adj)|*of Quenya (adj)
Quenyarin (n)|*Elvish (n)
Rana; Rána|Moon; (lit.) Wayward (n)
Ringarë|*Coldness; December (n)
Romënórin|Roman (n)
Sindarin [þ]|Grey-elven (n)
Sindel (Sindeld-) [þ]|Grey-elf (n)
Súlimë [þ]|*Windy-one; March (n)
Torco|Troll (n)
Tyena|China (n)
Tárion|alternate name of the last day of the Eldarin six-day week (n)
Valanya|*Friday; Vala-day (n)
Vala|(Angelic) Power; Authority; God (n)
Valdë (Valdi-); Valmë; Valsi|female god (n)
Valië|Female Vala (n)
Valmo (Valmu-)|male god (n)
Vanimo|Fair Folk; The Beautiful (n)
Víressë|*Freshness; April (n)
Yavannië|*Yavanna-ness; September (n)
a (article)|accusative definite article (article)
a (interj)|O; Oh (interj)
a-|*intensive prefix; 3rd sg. neut. pronoun; infinitive prefix; it (pref)
a; ha; ta; thë; të; ë (pron)|it (pron)
acairisan (acairisamb-)|bride chamber; thalamus (n)
acca; aryë; yú|too (adv)
accal-|to blaze; to shine (suddenly and) brilliantly (vb)
accamatië|over-eating (n)
accamátala|over-eating (adj)
accasucië|over-drinking (n)
accasúcala|over-drinking (adj)
aci|excessive; extreme; vehement (adj)
aha; ursa [þ]|rage (n)
ahtar-|to avenge; to do back; to react; to requite (vb)
ahtarië|reaction (n)
ahtarulas(së)|responsibility; (lit.) aptitude to react (n)
ahto|maker; wright (n)
ahtumat|*(lit.) maker’s meal; supper (n)
ahya-; virya-|to change (vb)
ahúrasilqui; ránuringwi|sun and moon (n)
ai (adv, Grammar)|maybe; suppose; supposing (adv)
ai (adv, Mind and Thought)|*any; maybe; suppose; supposing (adv)
ai (interj)|ah; alas (interj)
aia (adj)|strange; unusual (adj)
aia; alla (interj)|hail (interj)
aiano|stranger (n)
aian|holy thing or object or place (n)
aicalë; antaro; mentë; mintyë; tildë|peak (n)
aicassë; tayormë|mountain peak (n)
aica|dire; fell; sharp; terrible (adj)
aico (aicu-); ollo; varassë|cliff (n)
aicuvoitë|cliffy; rocky (adj)
ailin (ailind-)|lake; pool (n)
ailin|(large) lake; pool (n)
ailumë|anytime (adv)
ailë|beach (n)
aimactar|martyr (m.) (n)
aimahto|martyr; (lit.) blessed slain (n)
aimanen|however (adv)
aima|anything; whatever (pron)
aimo|saint (m.) (n)
aina-|to bless; to hallow; to treat as holy (vb)
ainar (ainast-)|temple [body part] (n)
ainas (*ainass-)|*shrine; fane; hallow; holy place; sanctuary (n)
aina|*divine; holy; numinous; revered; worshipful (adj)
ainima|blessed; holy (of things) (adj)
ainolóra|godless (adj)
ainolórië|godlessness (n)
ainomë|anyplace; anywhere (adv)
aino|god (n)
aipio; pio|cherry (n)
aiqualë|a steep; a steep [thing]; steepness (n)
aiquassë|precipice (n)
aiqua|chief; high; lofty; steep; sublime; tall (adj)
aiquen|anybody; if anybody; whoever (pron)
airalindë|hymn; (lit.) holy song (n)
airasëa [þ]|hyssop (n)
aira|holy; sanctified; worshipful (adj)
aire; enwina; haura; linyenwa; yerna; yára|old (adj)
airemma|icon; (lit.) holy image (n)
airilírë|hymn (n)
airimossë|priesthood (n)
airimo|priest (n)
airita-|to hallow (vb)
airon; laivar; váya; ëaren; ëaron|ocean (n)
airë (airi-)|holiness; holy; sanctity (adj n)
airë; vëa; ëar; ëaren|sea (n)
airëa|holy (applied to persons) (adj)
ais (aist-)|good name (n)
aista-; sorya- [þ-]|to dread (vb)
aita- (Emotion)|to (orig.) make aghast; to astound; to shock; to surprise (vb)
aita- (Religion and Beliefs)|to revere; to worship (vb)
aitalëa|religious; reverent; worshipful (adj)
aitalë|religion; reverence; worship (n)
aitamo|worshiper (n)
aitë|of any sort; of some sort (adj)
aivë|anyhow; anyway; in any way (adv)
aiwë|(small) bird (n)
aiya|behold; hail; lo (interj)
al(a)-|in-; negative prefix; not; un-; without; †-less (pref)
al-|form of the negative particle (pref)
ala- (Agriculture and Vegetation)|*to thrive; to flourish (of other creatures); to grow (of plants) [intr. and trans.]; to plant (vb)
ala-; apta- (Language and Music)|to deny (vb)
ala-; lauya-; ola- (Spatial Relations)|to grow (vb)
alacarna|well-done; well-made (adj)
alacestaima|unsearchable (adj)
alaco|rush; rushing flight; wild wind (n)
alacénima; úcénima|invisible (adj)
alafasta|orderly; tidy (adj)
alahasta; vanya; úharin; úχarin|unmarred (adj)
alahastaima|incorruptable (adj)
alahen (alahend-)|eyeless (adj)
alahta-; hyasta-|to rush (vb)
alahírima|impossible to find; unfindable (adj)
alaica|blunt (adj)
alairë|unholy (adj)
alalbë; lós [þ]; olos (olós-) [þ]|inflorescence (n)
alalla-|*to keep on growing (vb)
alalmë (alalmi-)|elm (tree) (n)
alaloitala|unfailing (adj)
alalvëa|having many elms (adj)
alamen|good omen on departure (n)
alamirwa|cheap; not expensive; not precious (adj)
alamo|cultivator; grower (n)
alamára|no-good (adj)
alanancárima|indestructible (adj)
alanda; halda; landa (Spatial Relations)|broad; wide (adj)
alanessë|*tobacco; nicotiana; pipeweed (n)
alaninquitálima|that cannot be made white (again) (adj)
alantya|*shielded; protected (adj)
alapihta|unshrunk (adj)
alapulúna|unfermented; unleavened (adj)
alapumba|drum (n)
alaquenta|well (happily) said (adj)
alarya-|to be happy or merry; to rejoice (vb)
alas (alast-)|marble (n)
alasaila|unwise (adj)
alasatya [þ]|*communal; common; general; (lit.) not private (adj)
alasca; alaxë|like marble (adj)
alassëa|*merry; happy; joyful (adj)
alassë|happiness; joy; merriment (n)
alasta-|to cheer (up); to make happy (vb)
alasta|marble; of marble (adj)
alasóvina|unwashed (adj)
alat-|great in size; large (pref)
alatya-|to protect; to shield; to ward off (vb)
alavahtaina|undefiled (adj)
alavistaima|unchangeable (adj)
alayambo|hurrah! (interj)
ala|after; before; beyond (prep)
alba; lossë; lotórë; lótë|flower (n)
albë; alvë|elm (n)
alca-|to *shine out; to flash; to glitter (vb)
alcanta-|to make shine (vb)
alcar (Emotion)|brilliance; glory; radiance; splendour (n)
alcar (Sense Perception)|light of day; shining (n)
alcar(e)|brilliance; radiance (n)
alcarin(qua)|brilliant; glorious; radiant (adj)
alcarinqua|glorious; radiant (adj)
alcarvalda; laitima|honourable (adj)
alcarya-|to glorify (vb)
alca|light of day; ray (of light); shining (n)
alcárima|impossible; impossible to make; not feasible (adj)
aldamo; almo|back; shoulder(s) (n)
aldarembina|tree-meshed (adj)
aldarwa|having trees; tree-grown (adj)
alda|branch; tree (n)
aldinga|tree-top (n)
aldomë; únomë|nowhere (pron)
aldëon (aldëond-)|avenue (of trees) (n)
aleldarinwa|unElvish (adj)
aleldarin|unelvish (adj)
alenessë|nicotiana; pipeweed (n)
alermaitë (alermaiti-)|abstract; non-concrete (adj)
alfárima|impossible to pursue (adj)
alfírima|immortal (adj)
alima|fair; good (adj)
alla (Grammar)|hail! (interj)
alla (Language and Music)|welcome (interj)
allumë|never (adv)
almarë|blessedness; blessings; bliss; good fortune (n)
almien|cheers; (lit.) to good fortune (interj)
almárëa; alya; herenya; mána|blessed (adj)
almë|blessing; good (or blessed) thing; piece of good fortune (n)
alnu-; sov-; sovo-|to wash (vb)
alon (alond-)|limestone; (lit.) grow-stone (n)
alqua|swan (n)
alquen|no one; nobody (pron)
altancanta-|to become unfixed (vb)
altarnië|empire (n)
alta|great in size; large (adj)
alumo|leather-worker (n)
alu|(dressed) leather (n)
alwara|*worthless; useless (adj)
alwa|well-grown (adj)
alya (Emotion)|abundant; prosperous; rich (adj)
alya-|to bless (a work); to cause to prosper; to help one (vb)
alómëa; ómalóra|voiceless (adj)
am(a)-; an-|intensive prefix (pref)
am(ba)penda|*sloping up; arduous; difficult; tiresome; uphill (adj)
am(be)na|nearer to (adv)
am(il)yë|*mummy (n)
am-|up(wards) (pref)
ama-|*well; happily (pref)
amacarastië|upbuilding (n)
amaimi; ambë; amil(lë); ammi; ammë; âmi|mother (n)
amanya; manaitë|*blessed (adj)
amapta-|to ravish; to seize and carry off forcibly (vb)
amaquat-|to fulfill; (lit.) to up fill (vb)
amatixë|dot or point placed above the line of writing (n)
amatulya|welcome (of something blessed) (adj)
amatúlië|blessed arrival (n)
amaurëa|dawn; early day; morning (adj)
amaurë|dawn; early day; morning (n)
amavil-|to fly up; to soar (vb)
ama|up (adv)
amba (adj pron)|more (adj pron)
amba (adv)|up(wards) (adv)
ambahep-|to maintain; (lit.) to upkeep (vb)
ambalasar (ambalasarn-)|stalagmite; (lit.) up-growing stone (n)
ambalotsë|uprising-flower (n)
ambal|flag [stone]; shaped stone (n)
ambalë|yellow bird; yellow hammer (n)
ambapenda|arduous; difficult; tiresome; uphill (adj)
ambar (ambart-)|doom; fate; lot (n)
ambarya|global; international; world-wide; worldwide (adj)
ambarónë|Orient; dawn; sunrise; uprising (n)
ambassë|breast-plate; byrne; cuirass; hauberk (n)
ambela|far away beyond; further still beyond (adv)
ambon|hill-side; upward slope (n)
amboraxosta|rib cage (n)
amboremma|bust; (lit.) breast-picture (n)
ambos (ambor-)|*chest; breast (n)
ambostulco|bra; (lit.) breast-support (n)
ambo|hill; rising ground (n)
ambuna|hilly (adj)
ambë (adv)|more (adv)
amilessë|mother-name (n)
amilosto|metropolis (n)
ammalë|yellow bird; ‘yellow hammer’ (n)
ammë; amya; emya|mummy (n)
amna|almost (adv)
amorta-; solta-|to heave (vb)
ampana-; ampanóta-; car-; carasta-|to build (vb)
ampanotalëa|architectural (adj)
ampanotastë|architecture (n)
ampano|building (especially of wood); construction; edifice; wooden hall (n)
ampanóta-|to construct; to erect a (large) building (vb)
ampa|crook; hook (n)
ampenda|uphill (adj)
ampendë|upward slope (n)
ampollië|great effort; struggle (n)
ampícië|less (adv)
amya; emya|(orig.) my mother (n)
an(a)|alongside; to a point near; to(wards); until (prep)
an(da)-; ar(i)-|superlative prefix (pref)
an(ner)|at hand (adv)
ana- (Spatial Relations)|to; towards (pref)
anahtai|although; even though; (lit.) against-that-which (conj)
analelya-|to approach (vb)
ananta|and yet; but yet (conj)
anarië|liberality (n)
anarórë; rómen|sunrise (n)
anasirë|tributary (n)
anastorna|*extremely hard (adj)
anat; apa; pá|against (prep)
anc (anqu-)|handle; loop; ring (n)
anca|jaw; jaws; row of teeth (n)
ancárima|easy; (lit.) very doable (adj)
anda-lepta|long-fingered (adj)
anda-ráma|long-arm(ed); long-wing(ed) (adj)
andalango|giraffe; (lit.) long-neck (n)
andalúmë|for a long while (adv)
andamacil|long sword (n)
andamunda|elephant (n)
andanyarro|ferret; mink; polecat; stoat; weasel; (lit.) long-rat (n)
andanéya|long ago; once upon a time (adv)
andarestë|long-suffering; patience (n)
andarma-|to crash (vb)
andatehta|long mark; long-mark (n)
andatelco|long leg; long stem (n)
andavë|at great length; long (adv)
anda|far; long (adj)
andesilquë|long-haired; long-tressed (adj)
ando (adv)|long (adv)
ando (n)|[great] door; approaches; door; gate; †entrances (n)
andon (andond-)|door; gate; great gate (n)
andorië|dock; landing (place) (n)
andorya-|to dock; to land (vb)
andosan (andosamb-) [þ]|vestibule; (lit.) gate room (n)
andul|long pole (n)
andë|length (n)
andólama|long consonant (n)
andú-; nú-|going down; setting (of sun); west (pref)
andúna; númenya; núna|western (adj)
andúnë (Physical World)|sunset (n)
andúnë (Time)|(orig.) going down; evening; sunset; west (n)
andúta-|to lower (vb)
andúya-; núya-|to descend (vb)
anessë|given (or added) name; nickname; surname (n)
angaina; yereva|of iron (adj)
angal|*reflective surface; mirror (n)
angamendar (angamendár-)|train station; (lit.) iron way-stop (n)
angaraxa; raxasta|train (n)
angatië|railroad track; railway line; (lit.) iron-road (n)
angayanda|miserable (adj)
angayassë|misery (n)
anga|iron (n)
ango (angu-)|*serpent; dragon; snake (n)
angulóceluntë|dragon boat (n)
angulócë; hlócë (hlóci-); lócë (lóci-)|dragon (n)
anna|(orig.) thing handed; *present; brought or sent to a person; gift (n)
annún|at least (adv)
anqua(r); hlas (hlar-)|ear (n)
anqualë|*death agony (n)
anquantaina|complete; thoroughly filled (adj)
anqua|against; opposite (adj adv)
anquin; cabu; cart (*carp-); loxë (loxi-)|bunch (n)
anta-|to give; to present; †to add to (vb)
antac-; pac-|to apply (vb)
antaro|*(lit.) great height; high mountain (n)
anta|*front of the head; cheek; face; jaw(s) (n)
antelwa|later; (lit.) very late (adj)
anto (Body Parts and Functions)|mouth; mouth [as a thing for eating] (n)
anto (Possession and Trade)|giver (m.) (n)
anto (antu-); nangwa|jaw (n)
antorya-|to strengthen [of sound] (vb)
antoryamë; tiutalë; turyandë|strengthening (n)
antë|giver (f.) (n)
anuon; hanustar|monk (n)
anwa; áno|gift (n)
anya-|*to manage; to arrive at; to go to; to reach; to suceed (at something) + infinitive (vb)
anyaitië|distance of capability; range; reach (n)
anyára|*senior; elder (adj)
an|but; for; furthermore; moreover; or; then (conj adv)
anî; nis (niss-); nissë; nís (niss-); nî|woman (n)
ap-|to affect; to concern; to touch one (vb)
apa (prep, Grammar)|on (above but touching); touching (prep)
apa; ar(a); mal; nó; onë (conj)|but (conj)
apa; epë; pó (prep, Time)|after (of time) (prep)
apacendo|prophet; seer (n)
apacenya|of foresight (adj)
apacen|*(lit.) after-sight; foresight (n)
apaica; apaira|conquering (adj)
apanaina-|to regret; (lit.) to after-lament (vb)
apanta-|to display; to open; to reveal; to show (vb)
apantië|*revealing; display (n)
apaquet-|to forebode; to foretell; to predict (vb)
appa-|to touch (vb)
appalë|feeling [physical]; sensation; sense of touch (n)
apsa|cooked food; meat (n)
apsen-|to forgive; to release; to remit (vb)
apta-|to refuse; to say nay (vb)
apterya-|to fix; to repair (vb)
aquapahtië|*(lit.) full-closedness; privacy (n)
aqua|altogether; completely; fully; wholly (adv)
ar (arn-); arnë; hil(de); hína; onna|child (n)
ar(a)-|high; noble (pref)
ar(a); yo|and (conj)
ar(a)|*by; beside; next [to] (prep)
ar-|beside; by-; near; outside (pref)
aralussë|aorist; (lit.) beside-tense (n)
aramallë|side-street (n)
aran; tár|king (n)
aranaitë|*kingly; royal (adj)
arandil|king’s friend; royalist (n)
arandur|minister; steward; (lit.) king’s servant (n)
aranel; turanwen; turillë|princess (n)
aranisquë|frankincense (n)
aranië|kingdom (n)
aranta-|to turn over; (lit.) to give by (vb)
arantyalmë|chess; (lit.) king-game (n)
aranus(së)|kingship (n)
aranya|*royal (adj)
arasso|(male) deer; hart; stag (n)
arat (arac-)|weed (n)
arata; arta|exalted; high; lofty; noble (adj)
arauco; rauca; raucë|demon (n)
ara|beside; outside (prep)
arca-|*to petition (vb)
arca; náha|narrow (adj)
arcandë|*petition (n)
arcanwa|*throne (n)
arcólima|equivalent; (lit.) beside-bear-able (adj)
arda (Social Relations)|particular land or region; realm; region (n)
arda; men (Spatial Relations)|place; spot (n)
ardahyalma|[planetary] crust (n)
are|along; beside (adv)
ari-; ole-|intensive (pref)
arimaitë|*gifted; [most] skillful (adj)
arin; aurë; cala|morning (n)
arinwat|breakfast; (lit.) morning-meal (n)
arinya|early; morning (adj)
aris (arits-)|daughter; maid (n)
arië|daytime (n)
armaro; asambar(o)|*neighbor (n)
armar|goods (collective-noun)
arma|ray of sunlight (n)
aromundo|auroch; kine of Araw (n)
arosto|outskirts (of city, town); suburb(s); suburbia (n)
arpo|seizer; thief (n)
arquenië; arátië|nobility (n)
arquen|knight; noble (n)
arrongo|promptly; right away; very soon (adv)
arta (adv)|etcetera (adv)
arta (n)|fort; fortress (n)
artanwa|award (n)
artapano|chessboard (n)
artarindo; astarindo|bystander; supporter (n)
artatúrë; ohérë|government (n)
arwa|having; in control of; possessing (adj suf)
arya-; lahta-; ráta-|to excel (vb)
aryata-|to improve (vb)
arya|*better; excelling (adj)
aryon; hildë (hildi-)|heir (n)
aryonië|inheritance (n)
aryë|also; as well; besides (adv)
aráto|champion; eminent man; lord; noble (n)
arë (adv)|along; beside; near (adv)
arë; calë; lá; lú (n)|day (n)
arëa|close; nearby (adj)
as(a)- [þ]|easily (pref)
asa [þ]; sá [þ]|I agree of course; of course I do (adv)
asa- [þ]|to agree; to be willing (vb)
asahanyë [þ]|of course; understandably; (lit.) easily understood (adv)
asalastë [þ]|easily heard (adj)
asamahtë [þ]|simple; (lit.) easily handled (adj)
asanótë [þ]|*easily counted (adj)
asar [þ]|festival; fixed time (n)
asar(o) [þ]; asarta [þ]|doctor; leech (n)
ascara|impetuous; rushing; violent (adj)
ascarë [þ]|easily done (adj)
ascat-; saccat-|to break asunder; to rend (vb)
ascenë [þ]; ascénima [þ]|easily seen; visible (adj)
ascárima [þ]|easy [to do] (adj)
ascénië [þ]|*(lit.) easily seen; obviously (adv)
asesta-|to assimilate; to compare; to imitate; to liken; to make like; to model on (vb)
asesta; asestë; vélamë|similarity (n)
asestainë; ovëantainë|imitation (n)
asestainë|assimilation (n)
asië [þ]|comfort; ease (n)
asquétima [þ]|easy to say (adj)
assa|hole; mouth; opening; perforation (n)
asta-|to bake (by exposure to sun); to heat (vb)
astaincë|particle (n)
astai|whereas; (lit.) beside-that-which (conj)
astalda|*valiant; strong (adj)
astal|valour (n)
astamo|member (n)
astarmo|bystander; witness (n)
astar|faith; loyalty (n)
asta|division; month; part (esp. one of other equal parts) (n)
asto; mulo (mulu-)|dust (n)
asumo [þ]|colleague; friend at need; friend with shared interests (n)
asya- [þ]|to assist; to comfort; to ease (vb)
asyar [þ]|assistant (n)
asëa [þ]|healing herb (n)
asëa aranion [þ]|asëa of the Kings; kingsfoil (n)
