-carn; -garn|*-made (suf)
brann|fierce (adj)
branwen|ferocity (n)
bregil; brois|mare (n)
brin|dwarf-glass (n)
brog|horse (n)
brond|firm (adj)
bronnuin; nuimrond; nuinvrond|steadfastness (n)
buir; byr|fire (n)
bâr [mb-]|house (n)
bôn|back (n)
cadog|?shapely (adj)
caifr|flea (n)
caileg; celch|glass (n)
cair|?ship (n)
cais|leap (n)
caiw|lively, quick (adj)
cant|edge (n)
car-|*to make (vb)
cara-|to make, do, perform, act (trans. and absolute) (vb)
carbh|deed (n)
carch|chilly (adj)
cas|skull (n)
caul|helmet (n)
celaith; celebren|of silver (adj)
celeb; tlub|silver (n)
celeg|lambent (adj)
cig|cud (n)
cirtha-|to turn sour (tr.) (vb)
corch|?crow (n)
corn (Food and Drink)|cheese (n)
corn (Spatial Relations)|round ball (n)
coth|wish (n)
craith|circle (n)
crann-|to finish, complete, accomplish (vb)
cranthir|perfect (adj)
crech|spittle (n)
crib-|to bend (vb)
crigen; crithui|circular (adj)
crimtha-|to bend (tr.) (vb)
crithos|ring (n)
cruith|spume (n)
crunc|crow (n)
cuif (cuiv-)|alive (adj)
cuilvorn|lifetime (n)
cuil|life (n)
cuivros|awakening (n)
cum(b)|mound (n)
cunn; gunn|dragon (n)
cunnas; gonnas|dragon’s lair (n)
curann-|to curdle (intr.) (vb)
curw|magic (n)
cwent|?tale (n)
câ|top (n)
cîr|sour, curdled (adj)
cón|box (n)
côm; pau|sickness (n)
cû|bay, cove (n)
dadnuin|sinking (down) (adj)
dadnuv-|*to sink, go down (vb)
dadvenn|downhill; (figuratively) easy-going, easy, not arduous (adj adv)
dadvinn|downhill slope; rash course, impetus, path to destruction (n)
dad|down (adv)
dafuig|dirty (adj)
dag- [nd-]|to slay, kill (vb)
dagros [nd-]; rhangos|slaughter (n)
daila-|to cleave (vb)
dailir|cleaver (n)
dail|axe (blade) (n)
dain (adj)|high, noble, lofty, sublime, divine (adj)
dain; dein (n)|height, summit; height, loftiness, sublimity (n)
dairion; de(i)rion|lord, chief (n)
dai|sky; high (n adj)
dalath|vale (n)
dalhung|not heavy (adj)
dam(b)|blind (adj)
dammog|valueless (adj)
damor|no good (adj)
dan-|negative prefix attached to adjectives (pref)
danc|killed in battle (adj)
daneitheb|thornless (adj)
dangair|mirthless (adj)
danglarweb|without light (adj)
darhod|not free (adj)
daroth|top, point, peak, tip, spike (n)
darw|tired, weary (adj)
dathanc|unsteady (adj)
daw|hush, be silent (interj)
deilian|beech-tree (n)
delu|horrible, loathly (adj)
diant|most (adv)
difedhui|?outlaw (adj)
dimvorn|past ages (n)
dim|bygone, past, ancient (adj)
dir|through, over (prep)
doirion|lord (of a certain district), chief (n)
dolch|stout, thick (adj)
dol|island (n)
dram(b)|heavy blow (n)
drauth|labour (n)
dre|wearisome, irksome (adj)
drim|host, countless number (n)
drog|slave (n)
dron|wood (n)
drú; hinar|dark (adj)
duilin|swallow (n)
dâ|high (adj)
dîr|secret (n)
dôr [nd-]|land, country (n)
e(i)ngion|spearman, †warrior (n)
ech|far away (adv)
egall|very broad (adj)
eglann|very wide (adj)
egos|distance (n)
egren|distant (adj)
eg|far, †wide (adv)
eitheb|thorny, sharp (adj)
eithla-|to spring, well forth (vb)
eithlios; eithlos; ethlios|fountain (n)
eithlod|springing, welling forth (n)
eithra-|to prick, stab (vb)
eithron|warrior (n)
elaig-|to shield, ward off, protect (vb)
elflin|cygnet, *young swan (n)
elirdhi|cruelty (n)
elvain(n)|wondrous, marvelous, wonderful; wonder(ful thing), marvel (adj n)
elvennai|wonderful, marvelous (adj)
elven|wonder, wonderment (n)
eneg|*six (cardinal)
engluid|Stonefaces (collective-noun)
enne(i)rion|adversary, rival (n)
ennion|porter, doorkeeper (n)
en|*then (conj)
esg; esk|sharp upstanding rock in water (n)
fadhw|parchment (n)
falch|cleft, ravine (n)
fan(d)|dog (n)
fang|beard (n)
faug|thirsty (adj)
faus|thirst (n)
feg|bad (adj)
find; finn|hair (n)
fion(n)iel|(fem.) mortal man (n)
fionweg|a man (n)
fionwin|woman; (fem.) mortal man (n)
fion|mortal man (n)
flind; flinn|fleet-footed, swift (adj)
fring|necklace (n)
fuin|night (n)
fîr|a hair (n)
gaduin|bond, obstacle, hindrance (n)
gagl|foolish (adj)
gagros; gagrosaith|greed (n)
gag|greedy (adj)
gail|star; sign, token, heavenly body (n)
gair-|there is room (for) (vb)
gairion|jester (n)
gairuid|funny (adj)
gairwen; gerwen|mirth, fun (adj)
gair|merry (adj)
galad|dawn (n)
gall|wide, broad (adj)
garadren|having room for, convenient, adequate, opportune (adj)
garadros|opportunity (n)
gara|throat (n)
garion|hauberk (n)
garob|robe (n)
gartha-|to set, put in position, appoint (vb)
garthad|open place, square (n)
garthant|placed, appointed, ordained, decreed (adj)
garth|place (n)
garw|shout (n)
gar|?to go (vb)
gaug; gog; gwag|crooked (adj)
girdh|entrails, bowels, inwards (n)
gir|interior, inwards, centre, inner parts, inside, heart (n)
gist-|to know (vb)
glab-; glaba-|to babble (vb)
glabadol|chattering, talkative (adj)
glabroseb|full of the din of voices (adj)
glabros|babble, chatter, babel, din of voices (n)
gladwen|radiance, sunshine (n)
glaithraith|polisher (feminine) (n)
glaiw|light (n)
glam(m) [ng-]|hatred (n)
glann; puig|clean (adj)
glarweb|bright, light (adj)
glarw|ray, radiance (n)
glathra-|to polish (vb)
glathrog|polisher (n)
glavaitha-|to blaze (vb)
glavaith|blaze, burning, blazing light (n)
glebe(i)dion|a vain talker (n)
glib|sticky (adj)
glidheb|like honey (adj)
glinui|honey-bee (n)
glí|honey (n)
glór|gold (n)
go-; gwa-|together, co(n)- (pref)
gobab-|to shake (vb)
gog (Sense Perception)|nimble (adj)
gol-|to sing (vb)
golbh; goluidh; golwai|stinking (adj)
golu|stench (n)
golwad-|to stink (vb)
golw|stink, stench (n)
golyn; gôl|song (n)
gond; gonn|stone, rock (n)
gonebedach-|to approach one another, to become like, resemble (vb)
goneb|similar (adj)
gonnen|of stone (adj)
gonod-|to count (up) (vb)
gorch|bear; fierce fighter (n)
goriad|greater (adj)
gorod (Social Relations)|chief, lord, master; size, might (n)
gorod|cave (n)
gorth|hearth, fireplace (n)
gorw|oak (n)
gost; pant|fear (n)
graim|?fierce (adj)
graug|demon (n)
griw|alimentary canel (n)
grond; gronn|cave, cavern (n)
grug|angry, grieved (adj)
gruith|anger, resentment (n)
gurdh-|to die (vb)
gurdh|death (n)
gurth [ng-]|*death (n)
gwablith|clothes (n)
gwab|garment (n)
gwadh|bark, skin, peel (n)
gwaew; gwá|wind (n)
gwag (Sense Perception)|soft (adj)
gwaist-|to be aware, recognize (vb)
gwaithlos|*sea-shore (n)
gwaith|people, men, folk (n)
gwai|sea (n)
gwannen|?beautiful (adj)
gwant|?beautiful (adj n)
gwardh|dead (adj)
gwas|field (n)
gwath-|to strip (vb)
gwath|bark (n)
gwedhion|husband (n)
gwedhw|matrimony (n)
gweg|man, male (being) (n)
gwerin|enclosure (n)
gwesg|weakly (adv)
gweth|wife (n)
gwiaithos|a person, human (not specifically m. or f.) (n)
gwib; gwî|teors, *penis (n)
gwâr|town (n)
gó|son (n)
gûl [ng-]|wisdom (n)
hab-|to jump (vb)
haib|hungry (adj)
hais|hunger (n)
haith|moist, wet (adj)
hai|scorn (n)
halb|grass, long mowing grass (n)
half|grass (n)
hant|a blow with an axe (n)
han|above (n)
harch|chill, cold (adj n)
hardh|wounded (adj)
harw|wound (n)
haud|seat (n)
heb|about; ?from (prep)
helai|fence (n)
hen(n)|eye (n)
hich-|to vomit (vb)
himp|jewel (n)
hin|from (prep)
hist-|to spit (vb)
hoitha-|*to have sex (with) (vb)
hoith|coitus, *sex (n)
hont|trumpet, trumpeting noise (n)
hoth|host, folk (n)
huch|cunnus, *vagina (n)
hug-|futuere, *to copulate (vb)
huigion; hygion|fututor, *one who copulates (n)
huiriaith; hyriaith|gale (n)
huntha-|to burnish, polish (vb)
hí|sap, juice (n)
hîr|lord (n)
hûn|polished, burnished, shining (adj)
i-|negative (pref)
idanc|masked, *not firm (adj)
idir|no king (n)
inathadren; inathui|innumerable (adj)
i|the (article)
ladwen; teloth|plain (n)
lafn|*animal (n)
lamthanc|snake, *(lit.) forked tongue (n)
leithia-|to release (vb)
leithian|release from bondage (n)
leme|*five (cardinal)
lhacha|flame (n)
lhaden|flat, smooth (adj)
lhaig|sharp (adj)
lhaiw|green (adj)
lhai|folk, host, people (n)
lham(b)|tongue (n)
lhann|broad (adj)
lhant|path (n)
lhas|leaf (n)
lhaur|red (adj)
lhesg|sedge (n)
lhid-|to float, sail (vb)
lhif-; sog-|to drink (vb)
lhigen|small, few, little (adj)
lhigin; ligen|small (adj)
lhim(p); nûd|wet (adj)
lhinc|ice (n)
lhind; lhinn|arrow (n)
lhing|cool (adj)
lhith|dust (n)
lhiw|worm (n)
lhom|shadow (n)
lhonn|heart (n)
lhub|fat (n)
lhuin|pool (n)
lhui|pale (adj)
lhung; lung|heavy (n)
lhuth; luith|magic, spell (n)
lhuv-|to wash (vb)
lhê|finger (n)
lhî|many, a number (n)
limig|drop of water (n)
lim|water (n)
loloth|poplar-tree (n)
loth|flower, lily (n)
mab|hand (n)
mad-|to eat (vb)
madren; medid|edible (adj)
maethon|snuffling (adj)
magli|bear, (lit.) honey-eater (n)
magradh-|?to smell (vb)
mailt|a path (n)
maint|*better (adv)
maitha-|to ravish (vb)
maithion|seizer, ravisher (n)
maithod|rapture (n)
maithweg|ravisher (n)
maith|ravishment; seizure (n)
malen|pale, wan, yellowish, sickly (adj)
malw|yellow (adj)
marn|?ripe (adj)
math|food (n)
maur; môr|good (adj)
medion|eater, feeder (n)
megil|†sword (n)
meidianweb|worthy of being eaten (adj)
meilien|laughing (n)
meria-|to dwell, live, stay (vb)
methal|footstep (n)
midh|mist, drizzle (n)
mig; migligen; tidig|little (of amount) (adj)
mind; minn|?one (cardinal)
mindeb|crown (n)
minedh|fine, slender, thin, small (adj)
moir|goods (n)
morn|black, dark (adj)
muig|cat (n)
muint|best thing (n)
mui|crumb (n)
nabru; naw|booty (n)
nad|thing (n)
naich; narw|pain (n)
naigros|anguish (n)
nain; uin|woman (n)
nainn|blue (adj)
nand; nann|dale (n)
narog|violent (of water, rain, etc.), torrential (adj)
nath; noth|number (n)
naud|treasure (n)
naugl|dwarf (n)
na|of (prep)
ne(i)rion|hero (n)
nebmerion; nebweb|neighbour (n)
nebuin|neighbour (fem.) (n)
neb|near (adv)
neibio|nearly, almost (adv)
nen(n)|water, river, stream (n)
neth|nose (n)
nimp|wan, pale, sickly (adj)
niw|*bee (n)
nod-|to count (vb)
nod|head (n)
nofn|down, set (adj)
norn|?wheel (n)
nuin (Mind and Thought)|mind, thought (n)
nuin; nún (Motion and Transportation)|sinking, going down; west (n)
nui|bee (n)
nuv-|to sink, set (vb)
nírnaith; nîn|weeping (n)
nîr (Emotion)|tear (n)
nîr (Social Relations)|hero, prince, warrior-elf (n)
núnad-|to wester (vb)
núnadol|westering (n)
núr|muscle (n)
o(r)dhraust|without work, workless (adj)
o(r)ngolodh|without gnomes (adj)
odog|much, abundant; large in quantity (adj)
oga|above, on top of (prep)
oif|terror, horror; (evil) phantom, ghost (n)
oith|feud (n)
olerdh|pitiless, cruel, (lit.) without bowels (adj)
on|*he (pron)
or-|privative prefix, without, -less (pref)
orann|doorless (adj)
orch|orc, goblin (n)
ordarn|gateless (adj)
oren|hot (weather) (adj)
orerdh|without bowels, pitiless (adj)
orfang|beardless (adj)
orhaud; orhod|seatless (adj)
orlham; uvlam|dumb (adj)
ormar|houseless (adj)
ormast|breadless (adj)
ornath|numberless (adj)
ornoth|innumerable, without number, countless, numberless (adj)
orn|tree (n)
orod; tain|mountain (n)
orost|?rising (n)
oroth|impetus, speed, haste, rash courage (n)
orsarn|stoneless (adj)
orthalos|courageless (adj)
orthanc|unbroken, without break or cleavage, united, continuous; masked (adj)
orvab|handless (adj)
orvaith (Clothing and Adornment)|garmentless (adj)
orvaith (Law and Judgment)|unravished (adj)
orvang|staffless (adj)
orvath|foodless (adj)
orvlann|without deceit (adj)
orvlod|without pride, spiritless (adj)
orvog|priceless (adj)
orwadh|barkless (adj)
ost|city (n)
os|*around (prep)
o|*than; of (prep)
panthig|coin (n)
pant|money (n)
pathren|fearful (adj)
ped-|to say (vb)
peidion|sayer, soothsayer (n)
peleg; tael|axe (n)
pess|saying, to say, a saying, [sic.] saw (n)
peth|word (n)
pis-|to whisper (vb)
plados|surf, land’s edge (n)
poiant|stern (n)
poi|aft (on a ship) (n)
rhach|carnage, slaughter (n)
rhaid-|to rush, hustle (vb)
rhaid|a rush(ing) (n)
rhanc|corpse, body of one slain in battle (n)
rhang-|to slay in battle (vb)
rheidiant|set free (adj)
rhim|ring, circle (n)
rhogrin|doughty (adj)
rhoidia-|to let go (vb)
rhó-|to arise (vb)
rhód|course, running; way, method (n)
rhôg|strength (n)
rán|moon (n)
sag-|to fight (vb)
sairos|great age (n)
sairothwen|antiquity (n)
sairweg|old man, sage (n)
sairweigian|proverbial wisdom, sage saying (n)
sair|aged, ancient (adj)
sarn|stone (n)
segeth|sword (n)
sîr|stream (n)
taglon|smith (n)
taichr|prop, support (n)
tail; taul|foot (n)
tain|straight (adj)
tanc|firm, steady, steadfast (adj)
tangad-|to fix, make firm (vb)
tangod-; tenged-|to fix (vb)
tangod|fixing, confirming, making (n)
tangos|firmness, steadiness (n)
tarch; tarf|dry (adj)
tarn|gate (n)
tathrin|willow (n)
teiar|brick (n)
teilian|sport, play, game; jest, mockery (n)
telingail|sign of heaven (n)
telum|sky (n)
tengedion|confirmer, fixer, establisher (n)
tha-|to make, cause to be (vb)
thain|level, even (adj)
thala|valiant, hardy, bold (adj)
thalf|grease (n)
thalion|warrior hero (n)
thalos|valour, courage (n)
tham(b)|rigid (adj)
thanc|cleft, divided, split, cloven, forked, bifurcated; cleft, break, breach (adj n)
thing|prince (n)
thirad-|to make complete, fill in the last details (vb)
thiradant|elaborately finished (adj)
thlos|shore (n)
thorn|eagle (n)
thrond|sky lord (n)
thîr|complete, full, accomplished, ended, up to the required number (adj)
tith|breast, teat (n)
tlacha-|to clap, clash, clatter (vb)
tlachol|clashing (adj)
tlach|clap, clash (n)
tlad|hillside, slope (n)
tlais; tlass|splashing, flapping noise (n)
tlaiw|sling (n)
tleth|sloping, slanting, leaning (adj)
tlui|slender (adj)
tlî|butter (n)
tond; tonn|(bored) hole, perforation (n)
tuf|lump, knob (n)
tum(b)|flat vale (n)
tundeb; tunneb; tunnen|full of holes, riddles (adj)
turhod|throne (n)
turu-|to master (vb)
tyth|sweet (to the taste) (adj)
tîr|king (n)
tî|line (n)
tô|fleece, wool (n)
túd|thigh (n)
tûn|mound, bare hill (n)
tûr|power (n)
u(r)dhrog|without slaves (adj)
u(r)ngúl|without wisdom (adj)
u(r)vrog|horseless (adj)
uchuil; urguil|lifeless (adj)
ufeth|without a word (adj)
um-|privative prefix; un-, -less, without (vb)
umaith|naked (adj)
umboth|twilight (n)
ummast|without bread (adj)
ungorod|without a chief (adj)
unnor|without a land (adj)
ur-|privative prefix, without, -less (vb)
uraithr|swordless (adj)
urbeth|wordless (adj)
urdhuilin|without swallows (adj)
urduf|humorless (adj)
urfuin|nightless (adj)
urgeleb|without silver (adj)
urhonn|heartless (adj)
urnor|landless (adj)
urorod|without chief (adj)
urrost|never coming to life (adj)
urwedhw|without mate (adj)
urweth|without wife (adj)
uthir|without a king (adj)
uvlant|pathless (adj)
uvost|without a town (adj)
uwedheb|not married (adj)
ven|toward (n)
yrith|care-free (adj)
yrlhinn|arrowless (adj)
yrlhith|dustless (adj)
yrwidhion|without husband (adj)
ólin|elm (n)
ô|to, on (prep)
únoth|without number, countless (adj)
úr|sun (n)
