(a)lá; ná; nása|yes (interj)
-më; -rë; -ssë; -vë|abstract noun (suf)
-n(yë)|I (suf)
-ndacil|-slayer; -victor (suf)
-ndon|-ily; -like (suf)
-ndor; -nor|country; land (suf)
-ndo|(masculine) agent (suf)
-ngwa; -nqua|our (inclusive dual) (suf)
-nna|(movement) to; allative suffix; at (arriving at a point); onto; towards (suf)
-nta|they (neuter) (suf)
-ntyë|you (plural familiar) (suf)
-nwa|active participle (intransitive verbs); passive suffix (suf)
-nya|my (suf)
-n|dative suffix (suf)
-on (Grammar)|augmentative; great (suf)
-on (Mankind)|masculine suffix (suf)
-o|genitive ending; of (suf)
-r (Grammar)|plural suffix (suf)
-r (Spatial Relations)|motion to or towards a point (suf)
-rin|-ian; language; racial-adjective (suf)
-rya|her; his; its; their (colloquial) (suf)
-s(sa)|3rd person singular neuter (suf)
-s(së)|he; her; him; it; she (suf)
-s(të)|3rd person singular animate (suf)
-s; -së|he; it; she (suf)
-ssa|her; his; its (suf)
-ssë|himself; itself; locative ending; *herself (suf)
-sta (Grammar)|their (dual); verbal noun suffix; your (dual) (suf)
-sta (Quantity and Number)|land; *part (suf)
-stir|face (suf)
-sto|they (dual) (suf)
-t; -tyë|you (familiar) (suf)
-tar|honorific (suf)
-ta|causative verb suffix (suf)
-tima|*-able (suf)
-tië; -ya|verbal suffix (suf)
-ttë|themselves; they (dual) (suf)
-tur|lord; master; ruler (suf)
-twa; -tya|their (dual) (suf)
-tya|your (familiar) (suf)
-t|dual ending; they (object suffix) (suf)
-ula|likelihood or aptitude (suf)
-uva|future tense suffix (suf)
-u|dual ending (suf)
-va|possessive or adjectival ending (suf)
-vë|adverb (suf)
-wë|ancient name suffix (usually but not always masculine) (suf)
-xë|reflexive verbal inflection (suf)
-ya|adjective suffix; her; his; its (colloquial); suffix of endearment (suf)
-yë|and (pairs) (suf)
-ëa|continuative present; ordinal suffix (suf)
-ë|plural of adjectives (suf)
-úmë|[large]; of quantity (suf)
Ainu|holy one; spirit (n)
Aldauya; Aldúya|Day of the Two Trees; *Tuesday (n)
Aldëa|Tree-day (Númenórean); *Tuesday (n)
Ambar|Earth; Settlement; The World; (lit.) Habitation (n)
Anar (Anár-)|Sun (n)
Anarya|Sunday; (lit.) Sun-day (n)
Atan|Man; (lit.) the Second (People) (n)
Casar; Norno; naucon (naucond-)|Dwarf (n)
Cermië|July (n)
Eldalië|Elven-folk; People of the Elves (n)
Eldarin|Elvish (language); of the Eldar (adj n)
Elda|Elf; (lit.) one of the Star-folk (n)
Elenya|Saturday; *Star-day (n)
Eruva|divine (adj)
Eru|God; The One (n)
Hísimë [þ]|November; *Misty-one (n)
Imbar|Habitation (n)
Isil [þ]|Moon; (lit.) Sheen (n)
Isilya [þ]|Moon-day; *Monday (n)
Lótessë|May; *(lit.) Flower-ness (n)
Maia|(angelic) spirit; the Beautiful (n)
Maiya|(angelic) spirit (n)
Menelya|Heavens-day; *Wednesday (n)
Mettelairë|August; *(lit.) End-summer (n)
Metterrívë|January; *(lit.) End-winter (n)
Máya|angelic spirit (n)
Narquelië|October; Sun-fading (n)
Narvinyë|January; *New-fire (n)
Nárië|June; *Fire-ness (n)
Nénimë|February; *Wet-ness (n)
Perian (Periand-)|Halfling (n)
Quenderin|Quendian; belonging to the Elves as a whole; of the Quendi (adj n)
Quendë|Elf; (lit.) One That Speaks (n)
Quenyarin|*of Quenya (adj)
Quenya|Elf-latin; Elvish; High-elven (n)
Ringarë|December; *Coldness (n)
Rána|Moon; (lit.) Wayward (n)
Sindarin [þ]|Grey-elven (n)
Sindel (Sindeld-) [þ]|Grey-elf (n)
Súlimë [þ]|March; *Windy-one (n)
Tárion|alternate name of the last day of the Eldarin six-day week (n)
Valanya|Vala-day; *Friday (n)
Vala|(Angelic) Power; Authority; ‘God’ (n)
Valië|Female Vala (n)
Víressë|April; *Freshness (n)
Yavannië|September; *Yavanna-ness (n)
a (article)|accusative definite article (article)
a (interj)|O; Oh (interj)
a-; na-|infinitive prefix (pref)
accar-; ahtar-|to avenge; to do back; to react; to requite (vb)
aha; ursa [þ]|rage (n)
ahto|maker; wright (n)
ahya-; virya-|to change (vb)
ai (adv)|maybe; suppose; supposing (adv)
ai (interj)|ah; alas (interj)
aia; alla|hail (interj)
aian|holy thing or object or place (n)
aica|dire; fell; terrible (adj)
ailin|a large lake (n)
aimenal; lirulin|lark (n)
aina-|to bless; to hallow; to treat as holy (vb)
ainas (*ainass-)|fane; hallow (n)
aina|holy; numinous; revered (adj)
ainima|blessed; holy (of things) (adj)
aiquen|if anybody; whoever (pron)
aira|holy; sanctified (adj)
airita-|to hallow (vb)
airë (airi-)|holiness; holy; sanctity (adj n)
airëa|holy (applied to persons) (adj)
aistana; amanya; manaitë; manaquenta; manna|*blessed (adj)
aista|*holy (adj)
aiwë|(small) bird (n)
aiya|behold; hail; lo (interj)
al(a)-; ama-|happily; well (pref)
al(a)-; la-|in-; not; un- (pref)
ala-; apta-|to deny (vb)
ala-|to grow; to plant (vb)
alacarna|well-done; well-made (adj)
alahasta; vanya; úharin|unmarred (adj)
alahen (alahend-)|eyeless (adj)
alalbë; alalmë; lós [þ]; olos (olós-) [þ]|inflorescence (n)
alalvëa|having many elms (adj)
alamen|good omen on departure (n)
alanessë; alenessë|nicotiana; pipeweed (n)
alaquenta|well (happily) said (adj)
alasaila|unwise (adj)
alassë|happiness (n)
alatulya|welcome (adj)
alatúlië|welcome (n)
alba; alma; insil; lótë|flower (n)
albë; alvë|elm (n)
alca-; tin-; tintila-|to glitter (vb)
alcarin(qua)|brilliant; glorious (adj)
alcar|brilliance; glory; radiance; splendour (n)
aldarembina|tree-meshed (adj)
alda|tree (n)
aldinga|tree-top (n)
aleldarinwa|unElvish (adj)
aleldarin|unelvish (adj)
alima; alya|fair; good (adj)
alla|welcome (interj)
allumë|never (n)
almë|blessing; good (or blessed) thing; piece of good fortune (n)
alqua|swan (n)
alta|radiance (n)
aluvallë|never again (adv)
aluvar|never (adv)
alya-|to bless (a work); to cause to prosper; to help one (vb)
am(be)na|nearer to (adv)
am(il)yë; emya; mamil|*mummy (n)
am-; oro-|up (pref)
amaltil|*mother finger (n)
amatulya|welcome (of something blessed) (adj)
amatúlië|blessed arrival (n)
amaurë|dawn; early day; morning (n)
amba (adj pron)|more (adj pron)
amba (adv)|up(wards) (adv)
ambalotsë|uprising-flower (n)
ambar (ambart-)|doom; fate (n)
ambarónë|dawn (n)
ambela|far away beyond; further still beyond (adv)
ambona; oro; orto; umbo(n)|hill (n)
ambo|hill; mount; rising ground (n)
ambuna|hilly (adj)
ambë|more (adv)
amil(lë); emil; ontari(l)|mother (n)
amilessë|mother-name (n)
amorta-|to heave (vb)
ampa|hook (n)
amya-; mai-|admirable; excellent (pref)
amya|mummy; (orig.) my mother (n)
an(a)|alongside; to; to a point near; towards (prep)
an(da)-; ar(i)-|superlative prefix (pref)
an-|intensive prefix (pref)
ana-|plu-; to; towards (pref)
anastorna|*extremely hard (adj)
anca|jaws (n)
ancárima|easy; (lit.) very doable (adj)
andamacil|long sword (n)
andanéya|long ago; once upon a time (adv)
andatehta|long-mark (n)
andavë|at great length; long (adv)
anda|far; long (adj)
ando|[great] door; gate (n)
andú-; nú-|going down; setting (of sun); west (pref)
andúna; núna|western (adj)
andúnë|evening; sunset; west; (orig.) going down (n)
andúta-; núta-|to lower (vb)
andúya-; núya-|to descend (vb)
anel; nettë; seldë; yeldë|daughter (n)
anessë|given (or added) name; nickname; surname (n)
angal|mirror (n)
anga|iron (n)
anna|brought or sent to a person; gift; (orig.) thing handed (n)
anon; yondo; yonyo|son (n)
anqualë; unqualë|death agony (n)
anta-|to give; to present (vb)
anta|jaw (n)
antil; eneldë; enellë; enestil; lependë|*middle finger (n)
anto; páva|mouth (n)
antorya-|to strengthen [of sound] (vb)
antoryamë|strengthening (n)
anwa|gift (n)
anya-|to arrive at; to go to; to reach (vb)
an|but; for; furthermore; moreover; or; then (conj adv)
ap-|to affect; to concern; to touch one (vb)
apa; epë; opo; pó|after (of time) (prep)
apa; mal; nó; ono; onë|but (conj)
apacenya|of foresight (adj)
apacen|foresight; *(lit.) after-sight (n)
apa|against; on (above but touching); touching (prep)
appa-|to touch (vb)
apsen-|to forgive; to release; to remit (vb)
apta-|to refuse; to say nay (vb)
aquapahtië|privacy; *(lit.) full-closedness (n)
aqua|altogether; completely; fully; wholly (adv)
aquet-; endaquet-; tóquet-|to answer (vb)
ar(a)-|high; noble (pref)
ar(a)|beside; next [to]; out (prep)
ar(i)-|good (pref)
ar-|beside; by-; near (pref)
aran; aráto|king (n)
arandil|king’s friend; royalist (n)
arandur|minister; steward; (lit.) king’s servant (n)
aranel|princess (n)
aranië; túrinasta; túrindië|kingdom (n)
aranus(së)|kingship (n)
aranya|*royal (adj)
arata; arta|exalted; high; lofty; noble (adj)
arauco; rauca|demon (n)
arca-; hyam-|*to pray (vb)
arca-|to petition (vb)
arcandë|*petition (n)
arcanwa; mahalma; tarhanwa|throne (n)
arcas (arcast-)|crown (n)
arda|particular land or region; realm; region (n)
arimaitë|skilful (adj)
armaro; asambar(o)|*neighbor (n)
arma|ray of sunlight (n)
arpo|seizer; thief (n)
arquen|knight; noble (n)
artarindo; astarindo|bystander; supporter (n)
arta|etcetera (adv)
arya-; lahta-; ráta-|to excel (vb)
arya|excelling; *best [with definite article + genitive]; *better (adj)
ar|and (conj)
aráto|champion; eminent man; lord; noble (n)
as(a)- [þ]|easily (pref)
as; lé; ó|with (prep)
asa- [þ]|to agree; to be willing (vb)
asalastë [þ]|easily heard (adj)
asanótë [þ]|*easily counted (adj)
asar [þ]|festival; fixed time (n)
asar(o) [þ]; asarta [þ]|doctor; leech (n)
ascenë [þ]; ascénima [þ]|easily seen; visible (adj)
asië [þ]|comfort; ease (n)
asta-|to bake (by exposure to sun); to heat (vb)
astalda|strong; *valiant (adj)
astarmo|bystander; witness (n)
astar|faith; loyalty (n)
asta|division; month; part (esp. one of other equal parts) (n)
asumo [þ]|colleague; friend at need; friend with shared interests (n)
asya- [þ]|to assist; to comfort; to ease (vb)
asëa [þ]|athelas; healing herb (n)
asëa aranion [þ]|asëa of the Kings; kingsfoil (n)
at(a)-|double; second time (pref)
ataformaitë|ambidextrous (adj)
atalantëa|downfallen; ruinous (adj)
atalantë|collapse; downfall (n)
atamaitë|two-handed (adj)
atamir|heirloom (n)
ataquanta-|to double fill; to fill a second time; *to refill (vb)
ataquetië|repetition; saying again (n)
atar (n)|father (n)
atar (prep)|*for (prep)
atartil|thumb [nursery rhymes] (n)
atatya|double (adj)
attalya|biped; *(lit.) two-footed (n adj)
atta|two (cardinal)
atto|daddy; father (familiar/family) (n)
attëa; atya|second (ordinal)
atya|(my) father; daddy (n)
au (Mind and Thought)|if only (adv)
au (Spatial Relations)|away; not here (of position); off (adv)
au-|away (from) (pref)
aucir-|to cut off (and get rid of or lose a portion) (vb)
aunotë(a); únotë(a)|not counted; uncounted (adj)
aura|possession; thing owned (n)
aurë|day (as opposed to night); daylight; morning; sunlight (n)
ausa [þ]|dim shape; spectral or vague apparition (n)
auta-; mai-; öa-|to possess (vb)
auta-; öa-|to keep; to own (vb)
auta-|to be lost; to depart; to disappear; to go (away); to leave; to pass away (vb)
auta; engë; né|ago (adv)
autas (*autass-)|a former occur[rence] (n)
auvanëa; úvanë(a)|without beauty (adj)
auvië|possession (abstract); *the act of possessing (n)
ava (adv adj)|*outer (adv adj)
ava (interj)|strong or curt refusal (interj)
ava- (vb, Language and Music)|to forbid; to refuse (vb)
ava- (vb, Motion and Transportation)|to be lost; to depart; to disappear; to go away (vb)
ava-; vá-|negation (refusing or forbidden) (pref)
avalatya-; holya-; holta-|to close; to shut (vb)
avalda|excited; move[d]; stirred (adj)
avalerya-|to deprive of liberty; to restrain (vb)
avanir|unwill (n)
avanwa|banned; forbidden; refused (adj)
avanyárima|not to be told or related; unspeakable; what one must not tell (adj)
avaquétima|not to be said; that must not be said (adj)
avar|away down (adv)
avatyar-|*to forgive; (lit.) to do away with (vb)
axan|commandment; law; rule (n)
axo|bone; neck (n)
axë|neck (vertebrae); rock ridge (n)
ca(na)sta; cansat|one fourth (fraction)
ca(ta); cana|at back of place; behind (prep)
caina; quainëa|tenth (ordinal)
cainen; cëa(n); quain; quëan|ten (cardinal)
caista; cast|one tenth (fraction)
caistanótië; maquanotië|decimal system (n)
caita-|to lie (down); *to lay (transitive) (vb)
cal-|to shine (vb)
cala; cálë|light (n)
calambar|*light-fated (adj)
calar; calma|lamp (n)
calarus (calarust-)|polished copper (n)
calca; cilin|glass (n)
calima|bright; luminous (adj)
calina|bright; light; sunny; (lit.) illumined (adj)
calmatan|lampwright (n)
calmatéma|k-series (n)
calma|(device for shining) light (n)
calta-; tinta-|to kindle (vb)
cam-; cav-|to receive (vb)
camba|(cupped) hand; hollow of the hand (n)
cambë; má|hand (n)
canta (cardinal)|four (cardinal)
canta (n)|framework; shape (n)
canta-|to ? (vb)
cantaro|shaper (n)
cantil; lepecan (lepecant-); lepentë|fourth finger (n)
cantië|pattern (n)
cantëa|fourth (ordinal)
canwa; cendelë|face (n)
canwa|announcement; order (n)
canya-|?to command (vb)
car-|to do; to make (vb)
caraitië|activity; business (n)
caraitë (caraiti-)|active; busy (adj)
carassë|built fort or dwelling surrounded by bulwarks (n)
carasta-|to build (vb)
caraxë|*jagged hedge of spikes (n)
carca|[sharp] rock; fang (n)
carda; carma|deed (n)
carina|done (adj)
carië|doing; making (n)
carma (Physical Acts and Materials)|implement; means; tool; weapon (n)
carma (Warfare and Hunting)|helm (n)
carmë|art; making; production; structure (n)
carnë (carni-)|red; scarlet (adj)
carpa-|to speak; to talk; to use tongue (vb)
carpassë|etc.; full organized language; including system; metre; mouth-system; vocabulary (n)
carpa|(entire) mouth; phonetic system (n)
carrëa|tressure (n)
carva; colba; móna|*womb (n)
cas (car-); cára|head (n)
cas(ta)|to(wards) the top; upwards (adv)
castol(o); solma [þ]; solos [þ-]; sól [þ]|helmet (n)
cat-|to fashion; to shape (vb)
cauma|protection; shelter; shield (n)
celima|fluent (adj)
celumë|flood (tide); flowing; stream (n)
celundë|welling forth (n)
celussë|freshet; water falling out swiftly from a rocky spring (n)
celva|animal; living thing that moves (n)
cemen|earth; the earth (n)
cen-|to behold; to look; to see (vb)
cenai|if it be that (conj)
cenasit; cenasta|if it be so; may be; perhaps (adv)
cenda-|to observe (for some time); to read; to watch (intensively) (vb)
cenda|inspection; reading (n)
cendë; tillë; tilma|point (n)
centa|enquiry; *essay (n)
cenwa; hentië; tengwië|?reading (n)
cenya|*seeing (adj)
cen|sight (n)
cenítë|seeing; *able to see (adj)
certa|rune (n)
ces- [þ]|to examine (in order to find something); to search (vb)
cesta-; maquet-|to ask (vb)
cesta-|to search for; to seek (vb)
cesya- [þ]|to cause interest; to interest (oneself); (lit.) to cause one to enquire (vb)
ceu; céva|fresh; new (adj)
ceula|?alive (of vegetable) (adj)
ceulë|*renewal (n)
ceura; ceurë; céva|renewed (adj)
ceuran (*ceurán-)|new-moon (n)
ceuranar (ceuranár-)|new sun after solstice (n)
ceuta-|to refresh; to renew (vb)
cilintilla; cilintír|looking-glass (n)
cilinyul (*cilinyulm-)|drinking-vessel (made of glass) (n)
cilmessë|self-name (n)
cilmë|choice; choosing (n)
cimba|brink; edge (n)
cinta; níca|small (adj)
cir-; nac-; rista-|to cut (vb)
circa|sickle (n)
cirincë|scarlet-plumed species of bird (n)
cirmacin (cirmacim-)|knife-edge (n)
cirma|knife (n)
cirya (Motion and Transportation)|(sharp-prowed) ship; swift gliding (n)
cirya (Physical World)|cleft; pass (n)
ciryamo|mariner (n)
ciryando; ciryaquen|sailor (n)
ciryaquen|shipman (n)
ciryatan (*ciryatam-)|shipbuilder; shipwright (n)
ciuca; cyúca|*thigh (n)
coimas (*coimass-)|lembas; life-bread (n)
coimen (coimend-)|life-year (n)
coirëa|living (adj)
coirë|early spring; stirring (n)
coita-|to be alive; to have life; *to live (vb)
coivië; coivë; cuivië|life (n)
col-|to bear; to wear; to *carry (vb)
colbamarië|gestation; *(lit.) womb-residence (n)
colbanavië|gestation; *(lit.) womb-being (n)
colindo|bearer (n)
colla|borne; cloak; vestment; worn (adj)
collo|cloak (n)
coloitië|endurance; fortitude; staunchness (n)
coloitë (coloiti-)|capable of bearing; enduring; tolerant (of) (adj)
comya-; hosta-|to collect (vb)
condo; heru; hér; túrin|lord (n)
coranar (coranár-)|(solar) year; (lit.) sun-round (n)
corma; millë|ring (n)
coron (corn-)|mound (n)
corto|circle (n)
cotto|*enemy (n)
cuima|animal; creature (n)
cuita-|to live (vb)
cuiva; laman (lamn-)|animal (n)
cuivië; cuivë|awakening (n)
culumalda|laburnum; *(lit.) orange-tree (n)
cundo (cundu-)|guardian; lord (n)
cunta-; cunya-|to rule (vb)
curo (curu-)|skillful (?device) (n)
curu|skill (n)
curwë|skill of the hand; technical skill and invention (n)
cuv-|to conceal (vb)
cuvoitë (cuvoiti-)|hiding; secretive; treacherous (adj)
cuvo|hider (n)
cyermë|prayer (n)
cáno|chief(tain); commander; governor; ruler (n)
cárima|able to be done; feasible; possible (to do) (adj)
cé; iqui; qui; quí(ta)|if (conj)
céla|maybe not (adv)
cénima|visible (adj)
cé|may (be) (adv)
cëa; hahta|*hedge (n)
címa|edge of a cutting weapon/tool (n)
cíta-; quista-|to suppose (vb)
cólima|bearable; light (of burdens and things comparable, troubles, labors, afflications) (adj)
cólo|burden (n)
cöacalina|indwelling spirit; light of the house (n)
cöa|booth; building used for a dwelling or other purposes; house; hut; outhouse; shed (n)
cúna-|to bend (vb)
cúna|bent; curved (adj)
cúvima|concealable (adj)
ec-|can; may; to have a chance of (vb)
ecces- [þ]|to find out; to bring out by examining or eyeing[?] (vb)
ecellë|hedgehog; urchin (n)
ecet|short stabbing sword (n)
effírië; urtu|death (n)
ehtelë|issue of water; spring (n)
ela|behold! (interj)
elenya|adjective referring to the stars; stellar; *of the stars (adj)
elen|star (n)
elmë|we (emphatic inclusive); *we (emphatic exclusive) (pron)
elp-|to anoint (vb)
elvë; ilmë|we (emphatic inclusive) (pron)
elvëa|starlike (adj)
elyë|you (emphatic polite) (pron)
emel|love [abstract] (n)
emer-|?to herd (sheep) (vb)
emerwen|shepherdess (n)
emma|*picture (n)
emmo; emmë|*we (emphatic exclusive dual) (pron)
emmë|mother (familiar/family); mummy (n)
empollië|*harder (adv)
emya|(orig.) my mother (n)
en(a); tensi; tenta|still (adv)
en-|again; re- (pref)
enda|centre; heart (n)
endëa; entya|middle (adj)
endë|centre; middle (n)
enelmo|go-between; intermediary; intervener; mediator (n)
enel|between; in the middle (prep)
enenquë; quainquë|sixteen (cardinal)
engo; incë; ingë|*we (emphatic dual) (pron)
engwa|sickly (adj)
engwë|thing [that exists] (n)
engë|in the past (adv)
enquanta-|to refill (vb)
enquesta|one sixth (fraction)
enquet-|to repeat; to say again (vb)
enquië|Elvish week of six days (n)
enquëa|sixth (ordinal)
enquë|six (cardinal)
entan|tomorrow (n)
enta|another; one more (adj)
entul-|to come again; to *return (vb)
entulessë|return (n)
entya|central (adj)
entë (adv)|further(more); moreover; what is more (adv)
entë (n)|centre (n)
envinyata-|to heal; to renew (vb)
enwa|yet (adv)
enwina; yára|old (adj)
enyal-|to recall (vb)
enyalië|memory; (lit.) recalling (n)
en|then soon (adv)
ep(e)ta|following that; thence; thereupon; whereupon (conj)
epeni|before (adv)
epessë|after-name (n)
epetai|consequently; thence; thereupon; whereupon; (lit.) following which (fact) (conj)
epë|before (in all relations but time); following (prep)
eques (equess-)|(current or proverbial) dictum; quotation from someone’s uttered words; saying (n)
equë|said; says; to say (vb)
erdë|singularity (n)
eressëa|lonely (adj)
eressë|isolation; separation; solitude (n)
erinqua|alone; single (adj)
erma; orma|(physical) matter (n)
er|alone; one (adj adv)
essë; issë|he; it (emphatic); *she (pron)
essë|name (n)
estat-|to distribute in even portions (vb)
estel|hope; trust; *faith (n)
estirnë|brow (n)
esto|they (emphatic dual) (pron)
et(e)-|*out (pref)
etelehta-; eterúna-|*to deliver (vb)
eteminya; tolya|prominent (adj)
ethenta-|to read aloud (vb)
etsurya- [þ]|to go out (vb)
etta|*therefore; (lit.) out of that (conj)
etya|exiled (adj)
et|out (of) (prep)
exa; hyana|other (adj)
exë|the other (n)
ezel(la); laica; laiqua|green (adj)
faila|fair-minded; generous; just (adj)
fairë|phantom; spirit (disembodied) (n)
fai|*before of time (adv)
falassë|(wave-beaten) shore; line of surf; seashore (n)
falasta-|to foam; to surge (vb)
falma|(crested or foaming) wave; breaker (n)
fana|(bright) shape or figure; bodily form of an angelic spirit; raiment; veil (n)
fanga|beard (n)
fanta-|to cloak; to mantle; to veil (vb)
fantercenya|penetrating of sight or understanding; perspicacious (adj)
fanto|whale (n)
fanwa|screen; veil (n)
fanwë|steam; vapour (n)
fanyarë|the skies (not heaven or firmament); the upper airs and clouds (n)
fanya|(white) cloud; white and shining [thing] (n)
fara-|to hunt (vb)
faralë|hunting (n)
farnë (farni-)|ash; rowan (n)
felco|cave; mine; underground dwelling (n)
felmë|emotion; *impulse (n)
felya|boring; mine; tunnel; underground dwel[ling] (n)
fendë; fenna|door (n)
ferya-|to make ready (promptly) (vb)
fifíru-|to slowly fade away (vb)
filincë|finch (n)
fimbë (fimbi-); lelya|slender (adj)
finca|clever (in petty ways) (adj)
finda (Body Parts and Functions)|-haired; having hair (adj)
finda (Spatial Relations)|fine and delicately made (adj)
findelë|lock [of hair]; tress (n)
findessë|head of hair; person’s hair as a whole (n)
findilë|head of hair (n)
findë|hair (especially of the head); tress or plait of hair (n)
finta-|to decorate a thing with delicate work; to finish off; to make; to show skill (vb)
fintalë|trick (n)
finwa; formaitë; fínëa|dexterous (adj)
finwa|clever; delicate; fine (adj)
finya-|to do/make a thing (with fine work) (vb)
finya|clever (adj)
finë (fini-)|(single) hair; filament (n)
fir-|to die; to fade (vb)
firya|human; mortal (adj)
for-|north; right-hand (pref)
formaitë|righthanded (adj)
forma|right-hand (n)
formen|north (n)
forna|northern (adj)
fá; föa|breath; puff of breath (n)
fána; fánë; ninquë (ninqui-)|white (adj)
férima|(quickly) available; ready to hand (adj)
fëafelmë|*spirit-impulse (n)
fëa|(indwelling or incarnate) spirit; soul (n)
fínë|dexterity (n)
fírima|mortal; *(lit.) able to die (adj)
fírië|death (of Men); *natural death (n)
fó|nay; no (interj)
föalócë|*breath-dragon (n)
hac-|to yawn (vb)
hahta; yonwa|fence (n)
haia|in the distance (adv)
haila|far beyond (adj)
hala|cast shadow (n)
halda; halla; tára|tall (adj)
ham-; nam-; nav-; nem-|to judge (vb)
hamna|(artificial) mound; pile (n)
hampa|delayed; kept; restrained (adj)
han-|*back as an answer or return by another agent (pref)
han; lá|beyond (prep)
hanno|brother (diminutive) (n)
hanquenta|answer (n)
hantalë|thanksgiving (n)
hanwa|seat (n)
har-|to sit; to stay (vb)
haranyë|century (100 years) (n)
harina; hastaina; sahta; úvana|marred (adj)
harma; maina|treasure (n)
harya-; mai-; sam-|to have (vb)
hasa- [þ]|to (help to) cure; to make easy; to treat (medically); to treat kindly (vb)
hasta-|to mar (vb)
hatal|spear (n)
haura; yána|huge (adj)
haura|hoard; store (n)
havar|a loaf or cake of bread (n)
heca|be gone!; stand aside! (interj)
hecilo|one lost or forsaken by friends; outcast; outlaw (m.); waif (n)
hecil|one lost or forsaken by friends; outcast; outlaw; waif (n)
hecilë|one lost or forsaken by friends; outcast; outlaw (f.); waif (n)
hehta-|to abandon; to exclude; to forsake; to leave out; to put aside (vb)
hela|*other than (conj)
helca|ice-cold; icy (adj)
hen (hend-)|eye (n)
hendumaica|sharp-eye[d] (adj)
henfanwa|eye-screen; veil upon eyes (n)
henta-|to examine; to eye; to read; to scan (vb)
hententa-|to spot with eye (vb)
hequa|except; excluding; leaving aside; not counting (prep adv)
heren; tyellë|order (n)
heri|lady (n)
heru|master (n)
hildë (hildi-)|follower; heir (n)
hintil|baby (finger) (n)
hinyë|baby (n)
hir-; tuv-|to find (vb)
hlapu-|to blow; to fly or stream in the wind (vb)
hlar-|to hear (vb)
hlas (hlar-)|ear (n)
hlimbë|gliding; sleek; sliding; slippery (adj)
hloima|poison; poisonous substance (n)
hloirëa|venomous (adj)
hloirë|poison; poisonousness; venom (n)
hloita-|to envenom; to fill with poison; to poison (vb)
hlonaitë; hlonitë|phonetic (adj)
hlócë (hlóci-)|reptile; serpent; snake; worm (n)
hlón(a) (hlon-)|noise; sound (n)
hlöa|fenland; flood (n)
hlúvo (hlúvu-); lúvo (lúvu-)|fat; greasy (adj)
holla; holma; pahta|?shut (adj)
holmo|heartily; sincerely (adv)
honda|hearted (adj)
hondoringa|cold-hearted (adj)
hondo|(seat of the) deepest feelings; [metaphorical] heart (n)
hosta-|to assemble; to gather (hastily together); to pile up (vb)
hrai(a)|awkward; difficult; easy; stiff (adj)
hrai-|hard; *difficult (pref)
hraicenë; hraicénima|hard to see; scarcely visible (adj)
hrainotë|*hard to count (adj)
hrai|awkward; difficult; stiff (adj)
hranga-|to thwart (vb)
hranga|awkward; difficult; hard; stiff (adj)
hravan|wild beast (n)
hresta|beach; shore (n)
hrissë|fall of snow (n)
hristil|snow (?peak) (n)
hrisya- [þ]|to snow (impersonal) (vb)
hriz-; nicu-; niqu-|to snow (vb)
hrondo|(physical) body; corporeal form (n)
