(a)lá|yes (interj)
-lmo|we (inclusive dual) (suf)
-lmë²|we (inclusive) (suf)
-lmë¹|we (exclusive) (suf)
-lta|theirs (suf)
-ltya|theirs (suf)
-ltë|they (suf)
-lva|our (inclusive) (suf)
-lvë|we (inclusive) (suf)
-lwa|our (inclusive) (suf)
-lwë|we (inclusive) (suf)
-lya²|imperfect participle (suf)
-lya¹|your (polite) (suf)
-l|you (polite) (suf)
-lë|abstract noun, ⚠️adverb (suf)
-matya|-eating (suf)
-ma|instrumental (suf)
-men(d-)|a single action (suf)
-mie|*noun ending (suf)
-mma²|our (exclusive) (suf)
-mma¹|our (exclusive dual) (suf)
-mmo|we (exclusive dual) (suf)
-mmë²|we (exclusive) (suf)
-mmë¹|we (exclusive dual) (suf)
-mo|agental suffix (suf)
-më|abstract noun (suf)
-n(yë)|I (suf)
-nca|your (plural familiar) (suf)
-ncë|you (plural familiar) (suf)
-ndacil|-victor, -slayer (suf)
-ndon|-like, -ily (suf)
-ndor|land, country (suf)
-ndo|(masculine) agent (suf)
-ndë|feminine agent (suf)
-nen|instrumental (suf)
-ngo|we (inclusive dual) (suf)
-ngwa|our (inclusive dual) (suf)
-ngwë|we (inclusive dual) (suf)
-ngë|we (inclusive dual) (suf)
-nil|-friend, -lover (suf)
-nna|(movement) to, towards, onto, at (arriving at a point); allative suffix (suf)
-non|-place, -spot (forms place-names, area nouns) (suf)
-nor|land, country (suf)
-nqua|our (inclusive dual) (suf)
-nquë|thou-and-I (dual) (suf)
-nta²|they (neuter) (suf)
-nta¹|their (suf)
-ntya|theirs (suf)
-ntyë|you (plural familiar) (suf)
-ntë|they (suf)
-nur|-servant (suf)
-nwa|passive suffix; active participle (intransitive verbs); [ᴹQ.] perfective participle (suf)
-nwë|we (exclusive dual) (suf)
-nya|my (suf)
-n²|dative (suf)
-n¹|I (suf)
-on²|augmentative, great (suf)
-on¹|masculine suffix (suf)
-o|of; genitive ending (suf)
-r(o)|agental suffix (suf)
-rin|-ian, racial-adjective, language (suf)
-rya²|their (colloquial) (suf)
-rya¹|his, her, its (suf)
-r²|motion to or towards a point, *archaic allative (suf)
-r¹|plural suffix (suf)
-rë|abstract noun (suf)
-s(sa)|3rd person singular neuter (suf)
-s(së)|he, she, it; him, her, it (suf)
-s(të)|3rd person singular animate (suf)
-ssa|his, her, its (suf)
-ssë²|abstract noun (suf)
-ssë³|himself, *herself, itself (suf)
-ssë¹|locative ending (suf)
-sta²|verbal noun suffix (suf)
-sta³|your (dual) (suf)
-sta¹|*part; [ᴹQ.] close grouping, ⚠️land (suf)
-sta⁴|their (dual) (suf)
-stir|face (suf)
-sto|they (dual) (suf)
-stë²|they (dual) (suf)
-stë¹|you (dual) (suf)
-s|he, she, it (suf)
-së|he, she, it (suf)
-tar|honorific (suf)
-ta|causative verb suffix (suf)
-tima|*-able (suf)
-tië|verbal suffix (suf)
-tta|their (dual) (suf)
-ttë²|themselves (suf)
-ttë¹|they (dual) (suf)
-tur|master, lord, ruler, ⚠️[ᴹQ.] victor (suf)
-twa|their (dual) (suf)
-tya²|their (dual) (suf)
-tya¹|your (familiar) (suf)
-tyë|you (familiar) (suf)
-t²|they (object suffix) (suf)
-t³|you (familiar) (suf)
-t¹|dual ending (suf)
-ula|likelihood or aptitude (suf)
-uva|future tense suffix (suf)
-u|dual ending (suf)
-va|possessive or adjectival ending (suf)
-vë|abstract noun, adverb (suf)
-wë|ancient name suffix (usually but not always masculine) (suf)
-xa|your (dual) (suf)
-xë²|you (dual) (suf)
-xë¹|reflexive verbal inflection (suf)
-ya²|suffix of endearment (suf)
-ya³|his, her, its (colloquial) (suf)
-ya¹|adjective suffix (suf)
-ya⁴|verbal suffix (suf)
-ye|and (pairs) (suf)
-ëa²|ordinal suffix (suf)
-ëa¹|continuative present (suf)
-úmë|[large], of quantity (suf)
Ainu|holy one, angelic spirit (m.); ⚠️[ᴱQ.] (pagan) god (n)
Aldauya|*Tuesday, Day of the Two Trees (n)
Aldëa|*Tuesday, Tree-day (Númenórean) (n)
Aldúya|*Tuesday, Day of the Two Trees (n)
Ambar|The World, Earth, (lit.) Habitation, Settlement (n)
Américárin|American (adj)
Anahristo|Antichrist (n)
Anarya|Sunday, (lit.) Sun-day (n)
Anar|Sun (n)
Asiya|Asia (n)
Atan|Man, (lit.) the Second (People) (n)
Casar|Dwarf (n)
Cermië|July (n)
Cimrinórin|Welsh (n)
Eldalië|People of the Eldar, Elven-folk, [ᴹQ.] Elf-folk (n)
Eldarin|of the Eldar; Elvish (language) (adj n)
Elda|Elf, (lit.) one of the Star-folk (n)
Elenya|Saturday, *Star-day (n)
Endëranda|Middle-Ages (n)
Ennosta|Renaissance (n)
Erutercáno|prophet, (lit.) God-herald (n)
Eruva|divine (adj)
Eru|The One, God (n)
Eärenya|Sea-day, *Thursday (n)
Eä|Creation, the (Material) Universe, Cosmos, †World; it is, let it be, [ᴹQ.] all that is (n)
Faranconórë|France (n)
Foinicer|Phoenicians (n)
Foralcar|aurora, (lit.) northern radiance (n)
Hellenórë|Greece, Greek people (n)
Hristondur|Christian, (lit.) Servant of Christ (n)
Hyaralcar|aurora, (lit.) southern radiance (n)
Hísimë|November, *Misty-one (n)
Imbar|Habitation (n)
Isilya|*Monday, Moon-day (n)
Isil|Moon, (lit.) Sheen (n)
Italinórë|Italy (n)
Lótessë|May, *(lit.) Flower-ness (n)
Maia|(angelic) spirit, the Beautiful (n)
Maiya|(angelic) spirit (n)
Menelya|*Wednesday, Heavens-day (n)
Mettelairë|August, *(lit.) End-summer (n)
Metterrívë|January, *(lit.) End-winter (n)
Máya|angelic spirit (n)
Narquelië|October, Sun-fading (n)
Narvinyë|January, *New-fire (n)
Norno|Dwarf (n)
Nárië|June, *Fire-ness (n)
Nénimë|February, *Wet-ness (n)
Perian|Halfling (n)
Portucalëo|Portuguese (n)
Quenderin|Quendian, of the Quendi, belonging to the Elves as a whole (adj n)
Quendya|Elvish (n)
Quendë|Elf, (lit.) One That Speaks (n)
Quenyarin|*of Quenya (adj)
Quenya|Elvish, High-elven, Elf-latin, †speech; ⚠️[ᴹQ.] belonging to the Qendi, Quendian (n)
Ringarë|December, *Coldness (n)
Romënórin|Roman (n)
Rána|Moon, (lit.) Wayward (n)
Sindarin|Grey-elven (n)
Sindel|Grey-elf (n)
Súlimë|March, *Windy-one (n)
Torco|Troll (n)
Tyena|China (n)
Tárion|alternate name of the last day of the Eldarin six-day week (n)
Valanya|*Friday, Vala-day (n)
Vala|(Angelic) Power, Authority, ⚠️God (n)
Valië|Female Vala (n)
Víressë|April, *Freshness (n)
Yavannië|September, *Yavanna-ness (n)
a-|infinitive prefix (pref)
acas|neck (n)
accal-|to blaze, shine (suddenly and) brilliantly (vb)
accamatië|over-eating (n)
accamátala|over-eating (adj)
accar-|to do back, react; to requite, avenge (vb)
accasucië|over-drinking (n)
accasúcala|over-drinking (adj)
aha|rage (n)
ahtar-|to do back, react; to requite, avenge (vb)
ahtar-|to do back, react; ⚠️to requite, avenge (vb)
ahtarië|reaction; ⚠️vengeance (n)
ahtarulas(së)|responsibility, (lit.) aptitude to react (n)
ahto|wright, maker (n)
ahto|wright, maker (n)
ahya-|to change (vb)
aian|holy thing or object or place (n)
aia|hail (interj)
aia|strange, unusual (adj)
aica|fell, terrible, dire; [ᴹQ.] sharp (adj)
aico|cliff (n)
ailin|(large) lake, [ᴹQ.] pool (n)
ailumë²|sometimes, at times (adv)
ailumë¹|anytime (adv)
aimahto|martyr, (lit.) blessed slain (n)
aimanen|however (adv)
aima|anything, whatever (pron)
aimenal|lark (n)
aimo|saint (n)
aina-|to hallow, bless, treat as holy (vb)
ainas|hallow, fane, *shrine, holy place, sanctuary (n)
aina|holy, revered, numinous, *divine, ⚠️[ᴱQ.] worshipful (adj)
ainima|any kind of (pron)
ainima|blessed, holy (of things) (adj)
ainocimië|reverence, piety, godliness (n)
ainocimya|reverent, pious (adj)
ainolóra|godless (adj)
ainolórië|godlessness (n)
ainomë|anyplace, anywhere (adv)
aino|god (n)
aipio|cherry (n)
aiqualë|steepness, a steep [thing] (n)
aiquassë|precipice (n)
aiqua|anything, whatever (pron)
aiquen|if anybody, whoever, [ᴺQ.] anybody (pron)
airalindë|hymn, (lit.) holy song (n)
airasëa|hyssop (n)
aira|holy, sanctified, [ᴱQ.] worshipful (adj)
airelinna|hymn, (lit.) holy song (n)
airemma|icon, (lit.) holy image (n)
airilírë|hymn (n)
airimossë|priesthood (n)
airimo|priest (n)
airita-|to hallow (vb)
airon|ocean (n)
airëa|holy (applied to persons) (adj)
airë²|sea (n)
airë¹|holy; sanctity, holiness (adj n)
aistana|*blessed (adj)
aista|*holy (adj)
aita-²|to astound, surprise, shock, (orig.) make aghast (vb)
aita-¹|to revere, worship (vb)
aitalëa|reverent, worshipful, religious (adj)
aitalë|reverence, worship, religion (n)
aitamo|worshiper (n)
aitë|of some sort, of any sort (adj)
aivë|anyway, anyhow, in any way (adv)
aiwestë|bird’s nest (n)
aiwë|(small) bird (n)
aiya|hail; behold, lo (interj)
ai²|supposing, suppose, maybe; *any (adv)
ai¹|ah, alas (interj)
al(a)-²|well, happily (pref)
al(a)-¹|in-, un-, not; †-less, without (pref)
ala-²|to deny (vb)
ala-¹|to grow (of plants) [intr. and trans.], plant; *to thrive, flourish (of other creatures) (vb)
alacarna|well-done, well-made (adj)
alacestaima|unsearchable (adj)
alacestima|unsearchable (adj)
alacénima|invisible (adj)
alafasta|tidy, orderly (adj)
alahastaima|incorruptable (adj)
alahasta|unmarred (adj)
alahastima|incorruptable (adj)
alahen|eyeless (adj)
alahta-|to rush (vb)
alahírima|unfindable, impossible to find (adj)
alaica|blunt (adj)
alairë|unholy (adj)
alalbë|inflorescence (n)
alalla-|*to keep on growing (vb)
alalmë|inflorescence (n)
alaloitala|unfailing (adj)
alalunga|light, unheavy (adj)
alalvëa|having many elms (adj)
alamen|good omen on departure (n)
alamirwa|cheap, not precious, not expensive (adj)
alamo|cultivator, grower (n)
alamára|no-good (adj)
alanancárima|indestructible (adj)
alanessë|nicotiana, pipeweed, *tobacco (n)
alapihta|unshrunk (adj)
alapulúna|unleavened, unfermented (adj)
alapálima|unshakable (adj)
alaquenta|well (happily) said (adj)
alaquen|nobody, no one (pron)
alarya-|to be happy or merry, rejoice (vb)
alasaila|unwise (adj)
alasatya|common, general, *communal, (lit.) not private (adj)
alassëa|joyful, happy, *merry (adj)
alassë|happiness, [ᴹQ.] joy, merriment (n)
alasta-²|to be merry, rejoice (vb)
alasta-¹|to make happy, cheer (up) (vb)
alasta|of marble, marble (adj)
alas|marble (n)
alasóvina|unwashed (adj)
alatulya|welcome (adj)
alatya-|to shield, ward off, ⚠️protect (vb)
alatúlië|welcome (n)
alavahtaina|undefiled (adj)
alavistaima|unchangeable (adj)
alavistima|unchangeable (adj)
alavéla|different, various [pl.] (adj)
alba|flower (n)
albë|elm (n)
alca-|to glitter, *shine out, flash (vb)
alcarin(qua)|glorious, brilliant, [ᴹQ.] radiant (adj)
alcarvalda|honourable (adj)
alcarya-|to glorify (vb)
alcar|glory, splendour, radiance, brilliance (n)
alcárima|not feasible, impossible (adj)
aldarembina|tree-meshed (adj)
alda|tree, ⚠️[ᴱQ.] branch (n)
aldeon|avenue (of trees) (n)
aldinga|tree-top (n)
aldomë|nowhere (pron)
aleldarinwa|unElvish (adj)
aleldarin|unelvish (adj)
alenessë|nicotiana, pipeweed (n)
alermaitë|abstract, non-concrete (adj)
alima|fair, good (adj)
alimya|different, (lit.) not-same (adj)
alla|welcome, hail (interj)
allumë|never (adv)
alma|flower (n)
almien|cheers, (lit.) to good fortune (interj)
almo|shoulder, ⚠️back (n)
almë|good (or blessed) thing, blessing, piece of good fortune (n)
alon|limestone, (lit.) grow-stone (n)
alqua|swan (n)
alquen|nobody, no one (pron)
altarnië|empire (n)
alta|radiance (n)
alumo|leather-worker (n)
alu|(dressed) leather (n)
alvë|elm (n)
alya-|to cause to prosper, bless (a work), help one (vb)
alya|[ᴹQ.] rich, prosperous, abundant, blessed; ⚠️[Q.] fair, good (adj)
am(a)-|intensive prefix (pref)
am(be)na|nearer to (adv)
am(il)ye|*mummy (n)
am-|up, [ᴱQ.] upwards (pref)
ama-|*well, happily (pref)
amacarastië|upbuilding (n)
amaltil|*mother finger (n)
amanya|*blessed (adj)
amapta-|to ravish, seize and carry off forcibly (vb)
amaquat-|to fulfill, (lit.) up fill (vb)
amatulya|welcome (of something blessed) (adj)
amatírë|hope (n)
amatúlië|blessed arrival (n)
amaurëa|dawn, early day, morning (adj)
amaurë|dawn, early day, morning (n)
amavil-|to fly up, soar (vb)
ambahep-|to maintain, (lit.) upkeep (vb)
ambalasar|stalagmite, (lit.) up-growing stone (n)
ambalotsë|uprising-flower (n)
ambarya|worldwide, world-wide, international, global (adj)
ambar|fate, doom, [ᴱQ.] lot (n)
ambarónë|dawn; [ᴹQ.] uprising, sunrise, Orient (n)
amba²|more (adj pron)
amba¹|up(wards) (adv)
ambela|further still beyond, far away beyond (adv)
ambona|hill (n)
amboraxosta|rib cage (n)
amboremma|bust, (lit.) breast-picture (n)
ambostulco|bra, (lit.) breast-support (n)
ambos|breast, *chest (n)
ambo|hill, rising ground, ⚠️mount (n)
ambuna|hilly (adj)
ambë|more (adv)
amil(lë)|mother (n)
amilessë|mother-name (n)
amilosto|metropolis (n)
ammë|mummy, mother (n)
amna|almost (adv)
amna|nearer to (adv)
amorta-|to heave (vb)
ampa|hook, [ᴹQ.] crook (n)
ampollië|great effort, struggle (n)
ampícië|less (adv)
amya-²|[unglossed] (vb)
amya-¹|excellent, admirable (pref)
amya|mummy, (orig.) my mother (n)
amyára|elder (n)
an(a)|to, towards, to a point near, alongside; ⚠️[ᴱQ.] until (prep)
an(da)-|superlative prefix (pref)
an-|intensive prefix (pref)
ana-|to, towards (pref)
ana-²|plu- (pref)
ana-¹|to, towards (pref)
anahtai|although, even though, (lit.) against-that-which (conj)
analelya-|to approach (vb)
anasirë|tributary (n)
anastorna|*extremely hard (adj)
anat|against (prep)
anca|jaws; [ᴹQ.] jaw, row of teeth (n)
ancárima|easy, (lit.) very doable (adj)
andalango|giraffe, (lit.) long-neck (n)
andamacil|long sword (n)
andanyarro|weasel, ferret, mink, stoat, polecat, (lit.) long-rat (n)
andanéya|long ago, once upon a time (adv)
andarestë|long-suffering, patience (n)
andarma-|to crash (vb)
andatehta|long-mark (n)
andavië|struggle, strong effort (n)
andavë|long, at great length (adv)
anda|long, far (adj)
andorië|landing (place), dock (n)
andorya-|to land, dock (vb)
andosan|vestibule, (lit.) gate room (n)
ando|gate, [great] door; †entrances, approaches (n)
andë|length (n)
andú-|going down, setting (of sun), west (pref)
andúna|western (adj)
andúnë|sunset, evening, (orig.) going down; west (n)
andúta-|to lower (vb)
andúya-|to descend (vb)
anel|daughter (n)
anessë|given (or added) name, nickname, surname (n)
angal|mirror, *reflective surface (n)
angamendar|train station, (lit.) iron way-stop (n)
angaraxa|train (n)
angatië|railway line, railroad track, (lit.) iron-road (n)
anga|iron (n)
angulóceluntë|dragon boat (n)
angwenda|chain (n)
anna|gift, (orig.) thing handed, brought or sent to a person, *present (n)
annún|at least (adv)
anon|son (n)
anqualë|*death agony (n)
anquantaina|complete, thoroughly filled (adj)
anqua|opposite, against (adj adv)
anta-|to give, present; †to add to (vb)
antac-|to apply (vb)
anta|[ᴹQ.] face, *front of the head, [ᴱQ.] cheek; ⚠️[Q.] jaw (n)
anta|jaw (n)
antelwa|later, (lit.) very late (adj)
antil|*middle finger (n)
antolatta|bridle, (lit.) mouth-strap (n)
antorya-|to strengthen [of sound] (vb)
antoryamë|strengthening (n)
anto|mouth [as a thing for eating]; ⚠️[ᴱQ.] jaw (n)
anwavë|surely, certainly (adv)
anwa|gift (n)
anya-|to reach, arrive at, go to; *to manage, suceed (at something) + infinitive (vb)
anyaitië|range, reach, distance of capability (n)
anyára|elder, *senior (adj)
an|for, but, then, or; moreover, furthermore (conj adv)
ap-|to touch one, concern, affect (vb)
apacendo|seer, prophet (n)
apacenya|of foresight (adj)
apacen|foresight, *(lit.) after-sight (n)
apacíta-|to assume, make premature judgements (vb)
apalúmë|future, (lit.) after-time (n)
apanaina-|to regret, (lit.) after-lament (vb)
apanta-|to open, reveal, show, display (vb)
apantië|display, *revealing, ⚠️revelation (n)
apaquet-|to forebode, foretell, predict (vb)
apa²|touching, against, on (above but touching) (prep)
apa³|but (conj)
apa¹|after (of time) (prep)
appa-|to touch (vb)
appalë|sense of touch, sensation, feeling [physical] (n)
apsen-|to remit, release, forgive (vb)
apta-|to refuse, deny, say nay (vb)
aptaina|cooked, broiled (adj)
apterya-|to repair, fix (vb)
aquapahtië|privacy, *(lit.) full-closedness (n)
aqua|fully, completely, altogether, wholly (adv)
aquet-|to answer (vb)
ar(a)-|noble, high (pref)
ar(a)|beside, next [to], *by; ⚠️out, [ᴹQ.] outside (prep)
ar(i)-|superlative prefix; ⚠️good; [ᴱQ.] intensive (pref)
ar-|by-, beside, near; ⚠️[ᴹQ.] outside (pref)
aralussë|aorist, (lit.) beside-tense (n)
aramallë|side-street (n)
arandil|king’s friend, royalist (n)
arandur|minister, steward, (lit.) king’s servant (n)
aranel|princess (n)
aranisquë|frankincense (n)
aranië|kingdom (n)
aranta-|to turn over, (lit.) give by (vb)
arantyalmë|chess, (lit.) king-game (n)
aranus(së)|kingship (n)
aranya|*royal (adj)
aran|king (n)
arasso|hart, stag, (male) deer (n)
arassë|deer, hart, stag (n)
arata|high, noble, exalted, lofty (adj)
arauco|demon (n)
arca-|*to petition, ⚠️pray (vb)
arcandë|*petition (n)
arcanwa|*throne (n)
arcólima|equivalent, (lit.) beside-bear-able (adj)
arcöa|palace, (lit.) noble-house (n)
ardahyalma|[planetary] crust (n)
arda|region, realm, particular land or region; ⚠️[ᴱQ.] place, spot (n)
arimaitë|[most] skillful, *gifted (adj)
arinwat|breakfast, (lit.) morning-meal (n)
armaro|*neighbor (n)
arma|ray of sunlight (n)
aromundo|auroch, kine of Araw (n)
arosto|suburb(s), suburbia, outskirts (of city, town) (n)
arpo|seizer, thief (n)
arquenië|nobility (n)
arquen|noble, knight (n)
arra|[unglossed] (adj)
arrongo|right away, promptly, very soon (adv)
artanwa|award (n)
artapano|chessboard (n)
artaquet-|to converse, debate (vb)
artaquetië|conversation (n)
artaquetta|debate, discussion (n)
artarindo|bystander; supporter (n)
artatúrë|government (n)
arta²|high, noble, exalted, lofty (adj)
arta¹|etcetera (adv)
arya-|to excel (vb)
aryata-|to improve (vb)
arya|excelling, *better (adj)
aryonië|inheritance (n)
aryë|also, as well, besides, too (adv)
ar|and; ⚠️[ᴱQ., ᴹQ.] but (conj)
arátië|nobility (n)
aráto|champion, eminent man, noble, lord, ⚠️king (n)
arëa|close, nearby (adj)
arë|beside, along, near (adv)
as(a)-|easily (pref)
asa-|to be willing, agree (vb)
asahanyë|understandably, of course, (lit.) easily understood (adv)
asalastë|easily heard (adj)
asalsambë|guest-room (n)
asamahte|simple, (lit.) easily handled (adj)
asambar(o)|*neighbor (n)
asanótë|*easily counted (adj)
asar(o)|doctor, leech (n)
asarta|doctor, leech (n)
asar|fixed time, festival (n)
asa|guest (n)
ascara|violent, rushing, impetuous (adj)
ascarë|easily done (adj)
ascenë|visible, easily seen (adj)
ascárima|easy [to do] (adj)
ascénima|visible, easily seen (adj)
ascénië|obviously, *(lit.) easily seen (adv)
asië|ease, comfort (n)
asquétima|easy to say (adj)
asta-|to heat, bake (by exposure to sun) (vb)
astaincë|particle (n)
astai|whereas, (lit.) beside-that-which (conj)
astalda|*valiant; ⚠️strong (adj)
astalda|strong, *valiant (adj)
astal|valour (n)
astamo|member (n)
astarindo|bystander; supporter (n)
astarmo|bystander; witness (n)
astar|faith, loyalty (n)
asta|month; division, part (esp. one of other equal parts) (n)
asumo|friend at need, friend with shared interests, colleague (n)
asya-|to ease, assist, comfort (vb)
asyar|assistant (n)
as|with (prep)
asëa aranion|kingsfoil, asëa of the Kings (n)
asëa|healing herb, ⚠️athelas (n)
at(a)-|double, [repeat a] second time; [ᴱQ.] bi-, twi-; [ᴹQ.] back, again, re- (pref)
at-|to catch, capture (vb)
atacar-|to revenge, (lit.) back-make (vb)
atacarmë|vengeance, reaction (n)
ataformaitë|ambidextrous (adj)
atahenta-|to revise, (lit.) re-examine (vb)
atalantëa|ruinous, downfallen (adj)
atalantë|collapse, downfall (n)
atamaitë|two-handed (adj)
atamenta-|to transmit (vb)
atamentië|transmission (n)
atamir|heirloom (n)
atannahtar|man-slayer (n)
atanta-|to give back (vb)
atapengëa|bilabial (of consonants) (adj)
ataquanta-|*to refill, fill a second time, double fill (vb)
ataquer|bike, bicycle (n)
ataquetië|saying again, repetition (n)
atartil|thumb [nursery rhymes] (n)
atartur|patriarch, (lit.) master-father (n)
atar²|*for (prep)
atar¹|father (n)
atatya|double (adj)
atesta-|to mention (vb)
atomëa|atomic (adj)
atomë|atom (n)
atsinta-|to recognize (vb)
attalya|biped, *(lit.) two-footed (n adj)
atta|two (cardinal)
attindo|doubt, (lit.) two mind (n)
attië|group of two, couple, pair (n)
atto|daddy, father (familiar/family) (n)
attëa|second (ordinal)
atya²|second (ordinal)
atya¹|daddy, (my) father (n)
atyenárë|anniversary (n)
atyo|*daddy (n)
au-|away (from) (pref)
auca|foolish (adj)
aucelië|sewer, (lit.) away-flowing (n)
aucir-|to cut off (and get rid of or lose a portion) (vb)
aucië|foolishness (n)
aucol-|to remove, (lit.) bear away (vb)
auhanta|refuse, trash, garbage, (lit.) thing thrown away (n)
aulerya-|to rid, free somebody of something (vb)
aumanca-|to sell, (lit.) trade away (vb)
aumapando|abductor, (lit.) away-seizer (n)
auma|machine (n)
aumenta-|to dismiss, divorce, (lit.) away-send (vb)
aumentalë|dismissal, divorce (n)
aunotë(a)|not counted, uncounted (adj)
aupenya|complete, without lack (adj)
aupsar-|to wipe away (vb)
auqua|awkward, clumsy ⚠️(of things), difficult (adj)
auquer-|to reject, (lit.) turn away (vb)
aura|possession, thing owned (n)
aurehen|dandelion, (lit.) day-eye (n)
aurië|wealth [in possessions], property (n)
aurëa|sunny, sunlit; *daytime (adj)
aurë|day (as opposed to night), daylight, morning; ⚠️sunlight, [ᴱQ.] sunshine, gold light, warmth (n)
ausatië|especially, (lit.) setting aside (adv)
ausa|dim shape, spectral or vague apparition (n)
auta-²|to possess, own, keep (vb)
auta-¹|to go (away), depart, leave; to disappear, be lost, pass away (vb)
autaila|going, passing, nearly gone (adj)
autamar|museum, (lit.) hall of the past (n)
autas|a former occur[rence] (n)
auta|ago (adv)
autulya-|to deport, (lit.) bring away (vb)
autulyalë|deportation (n)
aut|fool, clumsy fellow (n)
auvanëa|without beauty (adj)
auvië|possession (abstract), *the act of possessing (n)
au²|if only (adv)
au¹|away, off, not here (of position) (adv)
ava-²|negation (refusing or forbidden) (pref)
ava-¹|to refuse, forbid (vb)
avalatya-|to close, shut (vb)
avalda|move[d], stirred, excited (adj)
avalerya-|to restrain, to deprive of liberty (vb)
avamarwa|homeless (adj)
avamat-|to fast, (lit.) refuse to eat (vb)
avanev-|to avoid, (lit.) refuse to face (vb)
avanir|unwill (n)
avanut-|to untie (vb)
avanwa|refused, forbidden, banned (adj)
avanyárima|unspeakable, what one must not tell, not to be told or related (adj)
avaquétima|not to be said, that must not be said (adj)
avarta-|to abandon (vb)
avatup-|to uncover, expose (vb)
avatyar-|*to forgive, (lit.) do away with (vb)
ava²|strong or curt refusal (interj)
ava¹|[ᴹQ.] outside, beyond; outer, exterior (adv adj)
avëalta-|to resemble closely (vb)
awalda|move[d], stirred, excited (adj)
axanwëa|logical (adj)
axanwë|logic, (orig.) law of thought (n)
axan|commandment, [divine] law or rule (n)
axendë|marrow (n)
axosta|skeleton (n)
axo²|neck (n)
axo¹|bone (n)
axula|bony (adj)
axë|neck [vertebrae], *(upper) spine; rock ridge (n)
axë|steel (n)
axína|(of) steel, *like steel (adj)
a²|accusative definite article (article)
a¹|O, Oh (interj)
aþa-|to be willing, agree (vb)
aþa|I agree of course, of course I do (adv)
aþumo|friend at need, friend with shared interests, colleague (n)
ca(na)sta|one fourth, *quarter (fraction)
ca(ta)|behind, at back of place; [ᴹQ.] after (prep)
cacanna-|to announce repeatedly, herald, propagate, advertise (vb)
cacannalë|advertisement (n)
cacar-|to continue, *keep on doing (vb)
cacarpa-|to chatter (vb)
cacátu-|to design, shape or fashion slowly (vb)
cacáva|cocoa (n)
cahta|cause, motive, reason (n)
caimenya|horizontal (adj)
caimen|horizontal direction (n)
caina|tenth (ordinal)
cainen|ten (cardinal)
cainu-|to lie down, *bend down; [with locative] to endure, suffer (from) (vb)
caira|eager [to do] (adj)
caistanótië|decimal system (n)
caista|one tenth (fraction)
caita-²|*to lay (transitive); [ᴱQ.] to place, ⚠️lie down (vb)
caita-¹|to lie (down) (vb)
cal-|to shine (vb)
calaina|serene (adj)
calainë|serenity, ⚠️serene (n)
calambar|*light-fated (adj)
calampa|spoon (n)
calarus|polished copper (n)
calarwa|optical (adj)
calar|lamp (n)
